OKRES	KODZASTUP	COBVODU	POR_STR_HL	OSTRANA	PORCISLO	JMENO	PRIJMENI	TITULPRED	TITULZA	VEK	POVOLANI	BYDLISTEN	PSTRANA	NSTRANA	PLATNOST	POHLAVI
7101	553484	1	1	470	1	Vladimír	Solodujev			46	podnikatel	Skorošice	99	166	A	M
7101	553484	1	2	902	1	Irena	Mastná	Ing.		66	důchodkyně	Skorošice	99	80	A	F
7101	553484	1	3	47	1	Zdeněk	Čecháček			42	OSVČ	Skorošice	99	47	A	M
7101	553484	1	4	901	1	Josef	Šuba	Bc.		58	OSVČ	Skorošice	99	80	A	M
7101	553484	1	5	1	1	Libor	Filo			40	živnostník	Skorošice	99	1	A	M
7101	553484	1	1	470	2	Emilie	Brezniaková			57	soukromý zemědělec	Skorošice	99	166	A	F
7101	553484	1	2	902	2	Zbyněk	Kopecký			67	důchodce	Skorošice	99	80	A	M
7101	553484	1	3	47	2	Jana	Horsák			43	preventista ztráty bydlení	Skorošice	99	47	A	F
7101	553484	1	4	901	2	Ludmila	Andělová	Mgr. Bc.		55	státní zaměstnanec	Skorošice	99	80	A	F
7101	553484	1	5	1	2	Helena	Paschkeová	Mgr.		46	ředitelka Charity Jeseník	Skorošice	99	1	A	F
7101	553484	1	1	470	3	Ilona	Prokopová			47	pracovník v sociálních službách	Skorošice	99	166	A	F
7101	553484	1	2	902	3	Terezie	Kučová			42	sociální pracovnice	Skorošice	99	80	A	F
7101	553484	1	3	47	3	Jana	Nepožitková			47	asistent pedagoga	Skorošice	99	47	A	F
7101	553484	1	4	901	3	Martin	Bandík	Ing.		46	státní zaměstnanec	Skorošice	99	80	A	M
7101	553484	1	5	1	3	Josef	Anděl	Ing.		60	ředitel	Skorošice	99	1	A	M
7101	553484	1	1	470	4	František	Kadlec			68	starosta	Skorošice	99	166	A	M
7101	553484	1	2	902	4	Božena	Lančaričová			59	OSVČ	Skorošice	99	80	A	F
7101	553484	1	3	47	4	Miroslav	Čecháček			64	starobní důchodce	Skorošice	47	47	A	M
7101	553484	1	4	901	4	Dagmar	Kabelová			57	administrativní pracovník	Skorošice	99	80	A	F
