OKRES	KODZASTUP	COBVODU	POR_STR_HL	OSTRANA	PORCISLO	JMENO	PRIJMENI	TITULPRED	TITULZA	VEK	POVOLANI	BYDLISTEN	PSTRANA	NSTRANA	PLATNOST	POHLAVI
8103	598917	1	1	768	1	Martin	Gebauer	MUDr.		48	lékař, náměstek hejtmana	Mizerov	768	768	A	M
8103	598917	1	2	1037	1	Věra	Vantuchová	Ing.		64	samost. odborný pracovník	Mizerov	1037	1037	A	F
8103	598917	1	3	7	1	Jan	Wolf	Ing.		50	primátor města Karviné	Hranice	7	7	A	M
8103	598917	1	4	1375	1	Petr	Rabas			65	trenér juda	Ráj	137	137	A	M
8103	598917	1	5	47	1	Miroslav	Hajdušík	Ing.	MBA	34	náměstek primátora Karviné	Ráj	47	47	A	M
8103	598917	1	6	1327	1	Andrzej	Szyja	Mgr.		39	ředitel ZŠ a MŠ Družby	Nové Město	1	1	A	M
8103	598917	1	7	1350	1	Petr	Letocha			34	majitel digitální agentury	Mizerov	166	166	A	M
8103	598917	1	8	1114	1	Martin	Bojko			36	živnostník	Ráj	1114	1114	A	M
8103	598917	1	1	768	2	Iveta	Hudzietzová	Mgr.		50	ředitelka školy	Hranice	768	768	A	F
8103	598917	1	2	1037	2	Marta	Siudová			57	ČID	Mizerov	1037	1037	A	F
8103	598917	1	3	7	2	Blanka	Dadoková	Mgr.		69	ředitelka sociálních služeb Karviná	Ráj	99	7	A	F
8103	598917	1	4	1375	2	Karin	Szczyrbová	Ing.		37	ekonomka, překladatelka	Mizerov	79	79	A	F
8103	598917	1	5	47	2	Naděžda	Antalová			56	vedoucí provozu	Hranice	47	47	A	F
8103	598917	1	6	1327	2	Martin	Juraszek			45	jednatel společnosti	Mizerov	53	53	A	M
8103	598917	1	7	1350	2	Zuzana	Klusová	Mgr.		33	PR koordinátorka, členka spolku S.O.S. Karviná	Nové Město	720	720	A	F
8103	598917	1	8	1114	2	Ladislav	Hammer			36	obchodník s novými vozy	Ráj	1114	1114	A	M
8103	598917	1	1	768	3	Antonín	Barák			56	OSVČ, učitel tance	Nové Město	768	768	A	M
8103	598917	1	2	1037	3	Zdeňka	Pawlicová			62	účetní	Fryštát	1037	1037	A	F
8103	598917	1	3	7	3	Zdeněk	Vojkůvka	MUDr.		44	lékař - chirurg	Mizerov	99	7	A	M
8103	598917	1	4	1375	3	Marcel	Petřkovský			37	podnikatel	Fryštát	99	80	A	M
8103	598917	1	5	47	3	Karel	Wiewiórka			66	náměstek primátora Karviné	Mizerov	47	47	A	M
