OKRES	KODZASTUP	COBVODU	POR_STR_HL	OSTRANA	PORCISLO	JMENO	PRIJMENI	POHLAVI	TITULPRED	TITULZA	VEK	POVOLANI	BYDLISTEN	PSTRANA	NSTRANA	PLATNOST
2103	532274	1	1	901	1	Zdeněk	KOFENT	M			53	starosta obce	Družec	99	80	A
2103	532274	1	1	901	2	Pavel	KOPTA	M	Ing.		39	stavební inženýr	Družec	99	80	A
2103	532274	1	1	901	3	Antonín	LOMECKÝ	M	Ing.		71	důchodce	Družec	99	80	A
2103	532274	1	1	901	4	Irena	BUMBOVÁ	F	MUDr.		59	dětská lékařka	Družec	99	80	A
2103	532274	1	1	901	5	Lucie	SLEJŠKOVÁ	F	Mgr.		41	učitelka na mateřské dovolené	Družec	99	80	A
2103	532274	1	1	901	6	Vladimír	DRVOTA	M			74	důchodce	Družec	99	80	A
2103	532274	1	1	901	7	Václav	KVÁČA	M			72	důchodce	Družec	99	80	A
2103	532274	1	1	901	8	Lubomír	KOUCKÝ	M	Ing.		62	projektant	Družec	99	80	A
2103	532274	1	1	901	9	Jan	SUCHOPÁREK	M			49	trenér kopané	Družec	99	80	A
2103	532274	1	2	47	1	Jaroslav	KOFENT	M			71	důchodce	Družec	47	47	A
2103	532274	1	2	47	2	Jaroslava	HESOVÁ	F			69	prodavačka	Družec	47	47	A
2103	532274	1	2	47	3	Magdalena	LAHODOVÁ	F	Dr. Ing.		47	vedoucí laboratoří	Družec	99	47	A
2103	532274	1	2	47	4	Anna	ROTHOVÁ	F			71	důchodce	Družec	47	47	A
2103	532274	1	2	47	5	Vladimír	HES	M			46	dělník - opravář	Družec	99	47	A
2103	532274	1	2	47	6	Blanka	HVĚZDOVÁ	F			56	úřednice	Družec	99	47	A
2103	532274	1	2	47	7	Aleš	SVÍTEK	M			43	skladník	Družec	99	47	A
2103	532274	1	2	47	8	Jaroslav	ČÁP	M			65	důchodce	Družec	99	47	A
