OKRES	KODZASTUP	COBVODU	POR_STR_HL	OSTRANA	PORCISLO	JMENO	PRIJMENI	POHLAVI	TITULPRED	TITULZA	VEK	POVOLANI	BYDLISTEN	PSTRANA	NSTRANA	PLATNOST
2104	533947	1	1	47	1	Antonín	Kubů	M			72	místostarosta obce	Žiželice	47	47	A
2104	533947	1	1	47	2	Josef	Kukla	M	Ing.		75	zemědělský technik	Žiželice	99	47	A
2104	533947	1	1	47	3	Petr	Špinka	M			62	podnikatel	Žiželice	47	47	A
2104	533947	1	1	47	4	Věra	Barešová	F			68	kuchařka	Žiželice	99	47	A
2104	533947	1	1	47	5	Václav	Horyna	M			62	strojní zámečník	Končice	47	47	A
2104	533947	1	1	47	6	Josef	Malík	M			58	zedník	Kundratice	99	47	A
2104	533947	1	1	47	7	Jaroslav	Dlouhý	M	Ing.		70	učitel	Žiželice	99	47	A
2104	533947	1	1	47	8	Milan	Zima	M			68	seřizovač - zámečník	Žiželice	47	47	A
2104	533947	1	1	47	9	Miroslav	Strnad	M			60	dělník	Žiželice	99	47	A
2104	533947	1	1	47	10	Božena	Pánková	F			70	dělnice	Žiželice	47	47	A
2104	533947	1	1	47	11	Kamil	Heřman	M			55	podnikatel	Loukonosy	99	47	A
2104	533947	1	2	1183	1	Ferdinand	Chalupa	M			35	OSVČ	Žiželice	1183	1183	A
2104	533947	1	2	1183	2	Ferdinand	Chalupa	M			62	dělník	Žiželice	1183	1183	A
2104	533947	1	3	902	1	Radan	Eliáš	M	Ing.		61	starosta	Žiželice	99	80	A
2104	533947	1	3	902	2	Jarmila	Doležalová	F			63	úřednice	Končice	99	80	A
2104	533947	1	3	902	3	Milan	Mikšovský	M			52	podnikatel	Končice	99	80	A
2104	533947	1	3	902	4	Michal	Pavlík	M			39	policista	Končice	99	80	A
2104	533947	1	3	902	5	Pavel	Vodička	M			46	podnikatel	Žiželice	99	80	A
2104	533947	1	3	902	6	Martin	Kubů	M			49	provozní	Žiželice	99	80	A
2104	533947	1	3	902	7	Petra	Smutná	F			45	zootechnička	Loukonosy	99	80	A
2104	533947	1	3	902	8	Václav	Kunc	M			60	tesař	Žiželice	99	80	A
2104	533947	1	3	902	9	Martin	Ďoubal	M			26	soukromý zemědělec	Žiželice	99	80	A
2104	533947	1	3	902	10	Petra	Hrušková	F			41	kuchařka	Hradišťko II	99	80	A
2104	533947	1	3	902	11	Adam	Eliáš	M	Mgr.		33	manažer	Pod Vinicí	99	80	A
2104	533947	1	4	1	1	Stanislav	Štumpf	M	Ing.		42	projektový manažer	Žiželice	1	1	A
2104	533947	1	5	901	1	Miroslav	Štěrba	M			55	technický pracovník	Končice	99	80	A
2104	533947	1	5	901	2	Josef	Živný	M			57	technický pracovník	Žiželice	99	80	A
2104	533947	1	5	901	3	František	Vosáhlo	M	MUDr.		56	lékař	Žiželice	99	80	A
2104	533947	1	5	901	4	Jiří	Novotný-Kuzma	M			41	grafik	Žiželice	99	80	A
2104	533947	1	5	901	5	Aleš	Vokál	M	Ing.		40	vývojový inženýr	Pod Vinicí	99	80	A
2104	533947	1	5	901	6	Jiří	Bareš	M			45	údržbář elektro	Žiželice	99	80	A
2104	533947	1	5	901	7	František	Polák	M			26	OSVČ	Žiželice	99	80	A
2104	533947	1	5	901	8	Martin	Špinka	M			43	OSVČ	Končice	99	80	A
2104	533947	1	5	901	9	Monika	Vrbická	F			45	expedient	Hradišťko II	99	80	A
2104	533947	1	5	901	10	Aleš	Lukša	M	MUDr.		54	lékař - stomatolog	Žiželice	99	80	A
2104	533947	1	5	901	11	Dagmar	Šťastná	F			55	ředitelka MŠ	Žiželice	99	80	A
