OKRES	KODZASTUP	COBVODU	POR_STR_HL	OSTRANA	PORCISLO	JMENO	PRIJMENI	POHLAVI	TITULPRED	TITULZA	VEK	POVOLANI	BYDLISTEN	PSTRANA	NSTRANA	PLATNOST
2105	534633	1	1	901	1	Leoš	Fiala	M	Ing.		55	sportovně - technický ředitel ČTS	Zruč nad Sázavou	99	80	A
2105	534633	1	1	901	2	Pavel	Ziecina	M			37	soukromý podnikatel	Zruč nad Sázavou	99	80	A
2105	534633	1	1	901	3	Stanislav	Švábenický	M			44	obchodní manažer	Zruč nad Sázavou	99	80	A
2105	534633	1	1	901	4	Michaela	Náhlovská	F	Ing.		27	inženýrka kvality	Zruč nad Sázavou	99	80	A
2105	534633	1	1	901	5	Andrea	Pacalová	F	Bc.		48	administrativní pracovnice	Zruč nad Sázavou	99	80	A
2105	534633	1	1	901	6	Martin	Kuthan	M			45	stavební technik	Zruč nad Sázavou	99	80	A
2105	534633	1	1	901	7	Lukáš	Vavřina	M			31	soukromý podnikatel	Zruč nad Sázavou	99	80	A
2105	534633	1	1	901	8	Iva	Potůčková	F	Mgr.		63	učitelka v důchodu	Zruč nad Sázavou	99	80	A
2105	534633	1	1	901	9	Miroslav	Hyhlík	M			59	dispečer ČEZ a.s.	Zruč nad Sázavou	99	80	A
2105	534633	1	1	901	10	František	Herout	M	Ing.		28	vedoucí maloobchodního prodeje	Zruč nad Sázavou	99	80	A
2105	534633	1	1	901	11	Pavel	Tkadlec	M			50	energodispečer DP hl.m. Prahy, a.s.	Zruč nad Sázavou	99	80	A
2105	534633	1	1	901	12	Tereza	Krutilová	F			33	učitelka základní umělecké školy	Zruč nad Sázavou	99	80	A
2105	534633	1	1	901	13	Pavel	Benčat	M			36	zaměstnanec Želivská provozní a.s.	Zruč nad Sázavou	99	80	A
2105	534633	1	1	901	14	Jiří	Přenosil	M			60	soukromý podnikatel	Nesměřice	99	80	A
2105	534633	1	1	901	15	František	Matějka	M			71	důchodce	Zruč nad Sázavou	99	80	A
2105	534633	1	2	470	1	Martin	Hujer	M	Mgr.		49	starosta	Zruč nad Sázavou	99	166	A
2105	534633	1	2	470	2	Jiří	Říha	M			52	investiční projektant	Zruč nad Sázavou	99	80	A
2105	534633	1	2	470	3	Josef	Förster	M	PhDr.	Ph.D.	47	vědecký pracovník, vysokoškolský učitel	Zruč nad Sázavou	99	80	A
2105	534633	1	2	470	4	Pavel	Novotný	M	Ing.		43	finanční ředitel	Zruč nad Sázavou	99	80	A
2105	534633	1	2	470	5	Zdeněk	Voslář	M			44	podnikatel	Zruč nad Sázavou	99	80	A
2105	534633	1	2	470	6	Zdeněk	Richter	M			44	ředitel společnosti	Zruč nad Sázavou	99	80	A
2105	534633	1	2	470	7	Jaroslav	Bělina	M	Ing.		55	agronom	Zruč nad Sázavou	99	80	A
2105	534633	1	2	470	8	Roman	Výborný	M	Ing.		52	ředitel akciové společnosti	Zruč nad Sázavou	99	80	A
2105	534633	1	2	470	9	Ivo	Šimek	M	Ing.		54	ředitel zahraniční společnosti	Zruč nad Sázavou	99	80	A
2105	534633	1	2	470	10	Jitka	Trojanová	F	Mgr.		39	projektový manažer	Zruč nad Sázavou	99	80	A
2105	534633	1	2	470	11	Alena	Hajská	F	JUDr.		66	advokátka	Zruč nad Sázavou	99	80	A
2105	534633	1	2	470	12	Pavel	Vrzáček	M	Bc.		48	ředitel odbytu	Zruč nad Sázavou	99	80	A
2105	534633	1	2	470	13	Ivana	Stará	F	Mgr. Bc.		48	ředitelka ZŠ	Zruč nad Sázavou	99	80	A
2105	534633	1	2	470	14	Jan	Klčo	M	Mgr.		37	ředitel dětského domova	Zruč nad Sázavou	99	80	A
2105	534633	1	2	470	15	Jiří	Moravec	M			39	vedoucí nákupu	Zruč nad Sázavou	99	80	A
