OKRES	KODZASTUP	COBVODU	POR_STR_HL	OSTRANA	PORCISLO	JMENO	PRIJMENI	TITULPRED	TITULZA	VEK	POVOLANI	BYDLISTEN	PSTRANA	NSTRANA	PLATNOST	POHLAVI
2107	536172	1	1	902	1	Libor	Šotek	Ing.		52	obchod IT	Krnsko	99	80	A	M
2107	536172	1	2	901	1	Ivan	Grasev	JUDr.		63	starosta	Řehnice	99	80	A	M
2107	536172	1	3	903	1	Pavel	Kristlík			38	podnikatel	Krnsko	99	80	A	M
2107	536172	1	1	902	2	Jan	Umlauf	Ing.		46	vedoucí pracovník	Krnsko	99	80	A	M
2107	536172	1	2	901	2	František	Honc			44	řidič	Řehnice	99	80	A	M
2107	536172	1	3	903	2	Václav	Kredba			44	technik	Krnsko	99	80	A	M
2107	536172	1	1	902	3	Jiří	Havelka			47	IT administrátor	Krnsko	99	80	A	M
2107	536172	1	2	901	3	Vlastimil	Kovář			44	technik	Krnsko	99	80	A	M
2107	536172	1	3	903	3	Dominika	Poživilová Michailidu	MgA.		38	výtvarnice	Krnsko	720	80	A	F
2107	536172	1	1	902	4	Pavel	Hrnčíř	Ing.		39	nákupčí	Krnsko	99	80	A	M
2107	536172	1	2	901	4	Josef	Povolný	Mgr.		44	ředitel Dětského domova Krnsko	Krnsko	99	80	A	M
2107	536172	1	3	903	4	Petra	Říhová	MgA.		35	marketingový specialista	Krnsko	99	80	A	F
2107	536172	1	1	902	5	Petr	Linhart	Ing.		48	OSVČ	Krnsko	99	80	A	M
2107	536172	1	2	901	5	Aleš	Pitrmoc			47	technik	Řehnice	99	80	A	M
2107	536172	1	3	903	5	Terezie	Soukalová			31	asistentka	Krnsko	99	80	A	F
2107	536172	1	1	902	6	Jitka	Vokurková	Ing.		40	auditor	Krnsko	99	80	A	F
2107	536172	1	2	901	6	Zdeněk	Sučík			45	seřizovač	Krnsko	99	80	A	M
2107	536172	1	3	903	6	Marcela	Bohutinská			47	prodavačka	Krnsko	99	80	A	F
2107	536172	1	1	902	7	Jana	Ohlídalová	Mgr.		44	právnička	Krnsko	99	80	A	F
2107	536172	1	2	901	7	Iva	Slaninová			49	podnikatelka	Krnsko	99	80	A	F
2107	536172	1	3	903	7	Gabriela	Dvořáková			46	učitelka	Krnsko	99	80	A	F
2107	536172	1	1	902	8	Helena	Kvajsarová			72	důchodce	Krnsko	99	80	A	F
2107	536172	1	1	902	9	Josef	Crha			74	daňový poradce	Krnsko	99	80	A	M
