OKRES	KODZASTUP	COBVODU	POR_STR_HL	OSTRANA	PORCISLO	JMENO	PRIJMENI	POHLAVI	TITULPRED	TITULZA	VEK	POVOLANI	BYDLISTEN	PSTRANA	NSTRANA	PLATNOST
8105	568261	1	1	1	1	Antonín	Knápek	M	Ing.	Ph.D.	45	konstruktér	Budišovice	1	1	A
8105	568261	1	1	1	2	Marek	Štivar	M			46	obchodně technický pracovník	Budišovice	99	1	A
8105	568261	1	1	1	3	Tomáš	Gregor	M	Ing.		63	projektový manažer	Budišovice	99	1	A
8105	568261	1	1	1	4	Radek	Bartonec	M			48	zámečník - svářeč	Budišovice	99	1	A
8105	568261	1	1	1	5	Marek	Juchelka	M			33	automechanik	Budišovice	99	1	A
8105	568261	1	1	1	6	Alena	Ptáčková	F	PhDr.		56	klinický logoped	Budišovice	99	1	A
8105	568261	1	1	1	7	Jiří	Pchálek	M	Ing.		68	důchodce	Budišovice	1	1	A
8105	568261	1	2	470	1	Petr	Uvíra	M	Ing.		53	starosta	Budišovice	99	166	A
8105	568261	1	2	470	2	Jiří	Popiolek	M	Ing.		47	redaktor, editor	Budišovice	99	166	A
8105	568261	1	2	470	3	Petr	Hudeček	M			37	operátor turbogenerátorů	Budišovice	99	166	A
8105	568261	1	2	470	4	Radoslava	Mikovská	F	Mgr.		63	učitelka	Budišovice	99	166	A
8105	568261	1	2	470	5	Ivo	Gelnar	M			53	prodejce elektro	Budišovice	99	166	A
8105	568261	1	2	470	6	Jaromír	Carbol	M			46	podnikatel	Budišovice	99	80	A
8105	568261	1	2	470	7	Kateřina	Chmelová	F			20	studentka VŠ	Budišovice	99	80	A
8105	568261	1	2	470	8	Hana	Baránková	F			66	důchodkyně	Budišovice	99	80	A
8105	568261	1	2	470	9	Petra	Lichá	F		DiS.	38	mateřská dovolená	Budišovice	99	80	A
