OKRES	KODZASTUP	COBVODU	POR_STR_HL	OSTRANA	PORCISLO	JMENO	PRIJMENI	TITULPRED	TITULZA	VEK	POVOLANI	BYDLISTEN	PSTRANA	NSTRANA	PLATNOST	POHLAVI
8106	554235	1	1	1383	1	Michal	Poláček	MUDr.	MBA	56	lékař	Stará Bělá	99	1191	A	M
8106	554235	1	2	355	1	Markéta	Nováčková		DiS.	39	produkční	Stará Bělá	99	80	A	F
8106	554235	1	3	53	1	David	Mrkvica	Dr. Ing.		48	programátor - analytik	Stará Bělá	53	53	A	M
8106	554235	1	4	47	1	Zdeněk	Dlouhý	Ing.		66	státní zaměstnanec	Stará Bělá	47	47	A	M
8106	554235	1	5	901	1	Mojmír	Krejčíček	RNDr.		57	starosta	Stará Bělá	99	80	A	M
8106	554235	1	1	1383	2	Radim	Kubajura			48	živnostník	Stará Bělá	99	1191	A	M
8106	554235	1	2	355	2	Michal	Hořínek	Mgr.		41	právník	Stará Bělá	1	1	A	M
8106	554235	1	3	53	2	Stanislav	Kokeš			60	zemědělec	Stará Bělá	53	53	A	M
8106	554235	1	4	47	2	Drahomír	Lyčka			71	důchodce	Stará Bělá	47	47	A	M
8106	554235	1	5	901	2	Petr	Zezulka	Mgr.		40	zástupce ředitele ZŠ	Stará Bělá	99	80	A	M
8106	554235	1	1	1383	3	Pavel	Ďurďa	Ing.		54	manažer	Stará Bělá	99	1191	A	M
8106	554235	1	2	355	3	Ivana	Richterová			58	pracovník Církve Československé husitské	Stará Bělá	99	80	A	F
8106	554235	1	3	53	3	Ladislav	Dlouhý			70	důchodce	Stará Bělá	53	53	A	M
8106	554235	1	4	47	3	Jiří	Rakus			26	dělník	Stará Bělá	99	47	A	M
8106	554235	1	5	901	3	Milan	Folta			64	důchodce	Stará Bělá	99	80	A	M
8106	554235	1	1	1383	4	Marek	Galajda	Ing.		28	ekonom	Stará Bělá	99	1191	A	M
8106	554235	1	2	355	4	Pavel	Stuchlý	Mgr.		42	středoškolský učitel	Stará Bělá	1	1	A	M
8106	554235	1	3	53	4	Petr	Kutáč	doc. PhDr.	Ph.D.	46	vysokoškolský pedagog	Stará Bělá	53	53	A	M
8106	554235	1	4	47	4	Alena	Fabianová	Ing.		62	technolog	Stará Bělá	47	47	A	F
8106	554235	1	5	901	4	Tomáš	Grygar	Ing.		53	jednatel společnosti	Stará Bělá	99	80	A	M
8106	554235	1	1	1383	5	Ladislav	Adámek			55	podnikatel	Stará Bělá	99	1191	A	M
8106	554235	1	2	355	5	Soňa	Kutáčová	MUDr.		42	lékař	Stará Bělá	99	80	A	F
8106	554235	1	3	53	5	Pavel	Rydrych			49	živnostník	Stará Bělá	99	53	A	M
8106	554235	1	4	47	5	Stanislav	Brillant			68	důchodce	Stará Bělá	47	47	A	M
8106	554235	1	5	901	5	Hana	Kokešová	Mgr.		48	zdravotní sestra	Stará Bělá	99	80	A	F
8106	554235	1	1	1383	6	Martina	Vávrová	Ing.		34	manažerka	Stará Bělá	99	1191	A	F
8106	554235	1	2	355	6	Martin	Gelnar	Ing.		34	obchodní manažer	Stará Bělá	1	1	A	M
8106	554235	1	3	53	6	Jiří	Toma			50	bezpečnostní pracovník	Stará Bělá	99	53	A	M
8106	554235	1	4	47	6	Radim	Šindel	Ing.		39	projektant	Stará Bělá	47	47	A	M
8106	554235	1	5	901	6	Iveta	Morysová	Mgr. et Mgr.		29	pedagogický poradce	Stará Bělá	99	80	A	F
