OKRES	KODZASTUP	COBVODU	POR_STR_HL	OSTRANA	PORCISLO	JMENO	PRIJMENI	POHLAVI	TITULPRED	TITULZA	VEK	POVOLANI	BYDLISTEN	PSTRANA	NSTRANA	PLATNOST
5302	575909	1	1	802	1	David	Zídka	M			37	invalidní důchodce	Újezd u Přelouče	99	80	A
5302	575909	1	2	808	1	David	Bulis	M	Bc.		48	obchodní ředitel Hastex & Haspr s.r.o.	Újezd u Přelouče	99	80	A
5302	575909	1	3	810	1	Martin	Černý	M	Lic.		43	policie ČR	Újezd u Přelouče	99	80	A
5302	575909	1	4	801	1	Pavel	Volejník	M			61	automechanik	Újezd u Přelouče	99	80	A
5302	575909	1	5	804	1	Helena	Šandová	F			48	účetní	Újezd u Přelouče	99	80	A
5302	575909	1	6	806	1	Karolina	Veselá	F			35	asistentka VO	Újezd u Přelouče	99	80	A
5302	575909	1	7	807	1	Lenka	Hellingerová	F			56	pracovnice kontroly	Újezd u Přelouče	99	80	A
5302	575909	1	8	803	1	Milan	Vosáhlo	M			61	OSVČ	Újezd u Přelouče	99	80	A
5302	575909	1	9	811	1	Rudolf	Vosáhlo	M			56	řidič	Újezd u Přelouče	99	80	A
5302	575909	1	10	812	1	Jiří	Zima	M	Mgr.		41	vedoucí oddělení PČR	Újezd u Přelouče	99	80	A
5302	575909	1	11	809	1	Jiří	Kníže	M			39	seřizovač vstřikovacích lisů	Újezd u Přelouče	99	80	A
5302	575909	1	12	805	1	Dana	Vozábová	F			46	OSVČ - kosmetička	Újezd u Přelouče	99	80	A
