OKRES	KODZASTUP	COBVODU	POR_STR_HL	OSTRANA	PORCISLO	JMENO	PRIJMENI	TITULPRED	TITULZA	VEK	POVOLANI	BYDLISTEN	PSTRANA	NSTRANA	PLATNOST	POHLAVI
3104	509621	1	1	903	1	Martin	Volf			40	manažer restaurace	Třebkov	99	80	A	M
3104	509752	1	1	811	1	Vladislav	Kunc			33	OSVČ	Křižanov	99	80	A	M
3104	529877	1	1	802	1	Jiří	Kozák			47	vedoucí výroby	Okrouhlá	99	80	A	M
3104	529885	1	1	1	1	Ladislav	Beneš			51	technolog	Stehlovice	1	1	A	M
3104	549240	1	1	7	1	Ondřej	Veselý	JUDr.		42	poslanec	Budějovické Předměstí	7	7	A	M
3104	549258	1	1	766	1	Lenka	Hronková	Bc.	MBA	41	personalistka	Údraž	99	766	A	F
3104	549266	1	1	7	1	Miloslav	Kolář			54	technik	Bilinka	7	7	A	M
3104	549291	1	1	901	1	Jaroslav	Kofroň			60	starosta obce	Božetice	99	80	A	M
3104	549304	1	1	47	1	Stanislav	Češka			52	starosta obce	Branice	99	47	A	M
3104	549321	1	1	807	1	Aleš	Novák			69	důchodce	Cerhonice	99	80	A	M
3104	549339	1	1	901	1	Vladimír	Pánek			55	uvolněná funkce starosty (OSVČ)	Čimelice	99	80	A	M
3104	549347	1	1	901	1	Tomáš	Korejs	Ing.		52	starosta	Čížová	99	80	A	M
3104	549363	1	1	387	1	Ivana	Mašíková			44	technický pracovník	Oldřichov	99	80	A	F
3104	549380	1	1	902	1	Václav	Peterka			57	technik elektro	Drhovle Ves	99	80	A	M
3104	549398	1	1	901	1	Jana	Matoušková	Bc.		36	starostka	Heřmaň	99	80	A	F
3104	549410	1	1	903	1	Luboš	Čapek			48	soustružník	Dobrošov	99	80	A	M
3104	549428	1	1	901	1	Petr	Król			48	OSVČ	Níkovice	99	80	A	M
3104	549452	1	1	901	1	Jaroslav	Kubec			65	důchodce	Květuš	99	80	A	M
3104	549479	1	1	902	1	Ondřej	Končelík			38	státní zaměstnanec	Jetětice	99	80	A	M
3104	549487	1	1	47	1	Miroslava	Hrdličková	Ing.		62	ekonomka	Kestřany	47	47	A	F
3104	549495	1	1	801	1	Tomáš	Malý	Ing.		34	OSVČ	Kluky	99	80	A	M
3104	549509	1	1	804	1	František	Kříž			45	řidič	Kostelec nad Vltavou	99	80	A	M
3104	549517	1	1	1	1	Otakar	Chudáček	Mgr.	Dr.	49	projekt. manažer	Kovářov	99	1	A	M
3104	549525	1	1	903	1	Radek	Brejcha			38	projektový specialista	Králova Lhota	99	80	A	M
3104	549541	1	1	901	1	Václav	Šmíd			43	OSVČ	Kučeř	99	80	A	M
3104	549568	1	1	901	1	Blanka	Hlavínová			55	starostka	Lety	99	80	A	F
3104	549576	1	1	7	1	Martin	Třeštík	Mgr.		62	místostarosta města Milevska	Milevsko	7	7	A	M
3104	549584	1	1	901	1	Petr	Bílek	Ing.		42	administrativní pracovník	Mirotice	99	80	A	M
3104	549592	1	1	47	1	Ludmila	Šimková			68	důchodkyně	Mirovice	47	47	A	F
3104	549606	1	1	901	1	Růžena	Blížilová			58	státní zaměstnanec	Pohoří	99	80	A	F
3104	549614	1	1	901	1	Josef	Vaněček			56	učitel	Myslín	99	80	A	M
3104	549657	1	1	804	1	Milan	Kyrian			38	policista	Nevězice	99	80	A	M
3104	549681	1	1	901	1	Jan	Mára			45	OSVČ - truhlář	Staré Sedlo	99	80	A	M
3104	549703	1	1	903	1	Michal	Kříž			41	traktorista	Oslov	99	80	A	M
3104	549711	1	1	902	1	Tomáš	Hrach			42	obchodní manažer	Dolní Ostrovec	99	80	A	M
3104	549754	1	1	902	1	Inka	Opavová			38	soukromý zemědělec	Podolí I	99	80	A	F
3104	549771	1	1	53	1	Jaromír	Hlaváč			51	starosta	Protivín	99	53	A	M
3104	549797	1	1	901	1	Libor	Štván			46	živnostník	Přeštěnice	99	80	A	M
3104	549801	1	1	901	1	Petr	Matouš	Mgr.		44	starosta	Putim	99	80	A	M
3104	549827	1	1	901	1	Renata	Hanusová			49	starostka obce	Ražice	99	80	A	F
3104	549843	1	1	47	1	Stanislav	Sedláček			71	důchodce	Sepekov	47	47	A	M
3104	549851	1	1	813	1	Ladislav	Zdeněk			33	pracovník ČEVAK	Skály	99	80	A	M
3104	549860	1	1	901	1	Jana	Patceltová			45	vedoucí pošty	Slabčice	99	80	A	F
3104	549878	1	1	901	1	František	Šíp	Ing.		48	soukromý zemědělec	Smetanova Lhota	99	80	A	M
3104	549932	1	1	809	1	Petr	Velický			44	automechanik	Kukle	99	80	A	M
3104	549975	1	1	901	1	Pavel	Vondruška			49	státní zaměstnanec	Bilina	99	80	A	M
3104	549991	1	1	7	1	Josef	Urych			52	OSVČ	Stará Vráž	99	7	A	M
3104	550001	1	1	902	1	Martin	Troják			45	OSVČ	Vrcovice	99	80	A	M
3104	550027	1	1	902	1	Petr	Kápl			53	starosta	Horní Záhoří	99	80	A	M
3104	550035	1	1	802	1	Pavel	Chvojan			44	řidič	Zbelítov	99	80	A	M
3104	550043	1	1	901	1	Ladislav	Sobotka			65	starosta	Zběšičky	99	80	A	M
3104	550060	1	1	901	1	Marie	Trpková			53	ekonomka	Zbislav	99	80	A	F
3104	561509	1	1	901	1	Jan	Němec			69	důchodce	Probulov	99	80	A	M
