OKRES	KODZASTUP	COBVODU	POR_STR_HL	OSTRANA	PORCISLO	JMENO	PRIJMENI	POHLAVI	TITULPRED	TITULZA	VEK	POVOLANI	BYDLISTEN	PSTRANA	NSTRANA	PLATNOST
3204	539937	1	1	801	1	Vladimír	Týml	M			40	operátor CNC	Skašov	99	80	A
3204	539937	1	2	804	1	Karel	Šrámek	M			47	referent odboru MěÚ	Skašov	99	80	A
3204	539937	1	3	811	1	Martin	Fišák	M			26	zámečník - svářeč	Skašov	99	80	A
3204	539937	1	4	809	1	Petr	Hůrka	M			53	servisní technik	Skašov	99	80	A
3204	539937	1	5	805	1	Martin	Šertl	M			47	lesní hospodář	Skašov	99	80	A
3204	539937	1	6	808	1	Jaroslav	Malota	M			51	podnikatel	Skašov	99	80	A
3204	539937	1	7	807	1	Radek	Přibáň	M			49	OSVČ	Skašov	99	80	A
3204	539937	1	8	812	1	Martin	Fiala	M			44	řidič	Skašov	99	80	A
3204	539937	1	9	814	1	Libuše	Brandová	F	Mgr.		69	důchodce	Skašov	99	80	A
3204	539937	1	10	803	1	Vladimír	Tolar	M			48	programátor	Skašov	99	80	A
3204	539937	1	11	806	1	Jiří	Schuster	M			39	lakýrník	Skašov	99	80	A
3204	539937	1	12	813	1	Josef	Bašta	M			53	OSVČ	Skašov	99	80	A
3204	539937	1	13	802	1	Luboš	Tříska	M	Bc.	DiS.	37	referent na odboru životního prostředí	Skašov	99	80	A
3204	539937	1	14	810	1	Jan	Hořejší	M			48	invalidní důchodce	Skašov	99	80	A
