OKRES	KODZASTUP	COBVODU	POR_STR_HL	OSTRANA	PORCISLO	JMENO	PRIJMENI	TITULPRED	TITULZA	VEK	POVOLANI	BYDLISTEN	PSTRANA	NSTRANA	PLATNOST	POHLAVI
3203	558427	1	1	470	1	Václav	Štětina	Ing.		66	starosta	Šťáhlavy	99	166	A	M
3203	558427	1	2	901	1	Ondřej	Maglić	Mgr.		40	odborný archivář	Šťáhlavy	99	80	A	M
3203	558427	1	1	470	2	Dagmar	Špalová	Mgr.		49	učitelka	Šťáhlavice	99	80	A	F
3203	558427	1	2	901	2	Jakub	Šedivý	Mgr.		33	učitel	Šťáhlavy	99	80	A	M
3203	558427	1	1	470	3	Daniel	Lucák	Ing.		48	vedoucí výroby	Šťáhlavy	99	80	A	M
3203	558427	1	2	901	3	Zuzana	Sermešová	Mgr.		40	manažer	Šťáhlavy	99	80	A	F
3203	558427	1	1	470	4	Pavel	Štětina	JUDr.		42	právník	Šťáhlavy	99	80	A	M
3203	558427	1	2	901	4	Vojtěch	Synáč			63	důchodce	Šťáhlavy	99	80	A	M
3203	558427	1	1	470	5	Jan	Tafat	Ing.		42	IT manažer	Šťáhlavy	99	80	A	M
3203	558427	1	2	901	5	Ivo	Hucl			57	OSVČ	Šťáhlavice	99	80	A	M
3203	558427	1	1	470	6	Jiří	Škorpil	MUDr.		50	lékař	Šťáhlavy	99	80	A	M
3203	558427	1	2	901	6	Vladimír	Šimek	Ing.		66	důchodce	Šťáhlavy	99	80	A	M
3203	558427	1	1	470	7	Eva	Bezděkovská			53	as. ředitele	Šťáhlavice	99	80	A	F
3203	558427	1	2	901	7	Stanislav	Peroutka			51	technik STK	Šťáhlavy	99	80	A	M
3203	558427	1	1	470	8	Petr	Lakatoš			56	elektrikář	Šťáhlavy	99	80	A	M
3203	558427	1	2	901	8	Alena	Hankerová	Mgr.		70	důchodce	Šťáhlavy	99	80	A	F
3203	558427	1	1	470	9	David	Nimrichter			48	OSVČ	Šťáhlavy	99	80	A	M
3203	558427	1	2	901	9	Michal	Peroutka			27	vedoucí logistik	Šťáhlavy	99	80	A	M
3203	558427	1	1	470	10	Markéta	Dobrá	Mgr.		43	právník	Šťáhlavice	99	80	A	F
3203	558427	1	2	901	10	Aleš	Pojar			32	servis robotiky	Šťáhlavy	99	80	A	M
3203	558427	1	1	470	11	Milan	Kůla			66	chovatel koní	Šťáhlavice	99	80	A	M
3203	558427	1	2	901	11	Alexandr	Drohobeckyj		DiS.	26	zdravotnický záchranář	Šťáhlavy	99	80	A	M
3203	558427	1	1	470	12	Alena	Sládková	Ing.		57	OSVČ	Šťáhlavy	99	80	A	F
3203	558427	1	2	901	12	Zdeněk	Myslík	Ing.		39	ekolog	Šťáhlavy	99	80	A	M
3203	558427	1	1	470	13	Roman	Trefil			41	truhlář	Šťáhlavy	99	80	A	M
3203	558427	1	2	901	13	Petr	Balek			43	výrobní ředitel	Šťáhlavy	99	80	A	M
3203	558427	1	1	470	14	Jiří	Kokoška			36	elektrikář	Šťáhlavy	99	80	A	M
3203	558427	1	2	901	14	Marek	Šimek			40	OSVČ	Šťáhlavy	99	80	A	M
3203	558427	1	1	470	15	Jiří	Karban			49	OSVČ	Šťáhlavy	99	80	A	M
3203	558427	1	2	901	15	Petra	Kynclová	MUDr.		36	lékařka	Šťáhlavy	99	80	A	F
