OKRES	KODZASTUP	COBVODU	POR_STR_HL	OSTRANA	PORCISLO	JMENO	PRIJMENI	POHLAVI	TITULPRED	TITULZA	VEK	POVOLANI	BYDLISTEN	PSTRANA	NSTRANA	PLATNOST
1199	538736	1	1	53	1	Jitka	Mokrá	F	JUDr.		43	právník	Praha-Satalice	53	53	A
1199	538736	1	1	53	2	Martin	Höfler	M	Ing.		38	projektant dopravních staveb	Praha-Satalice	53	53	A
1199	538736	1	1	53	3	Ivo	Fiala	M	Ing.		54	ředitel obchodní společnosti	Praha-Satalice	99	53	A
1199	538736	1	1	53	4	Marek	Nesvačil	M			45	stavební technik	Praha-Satalice	53	53	A
1199	538736	1	1	53	5	Radka	Jelínková	F	Ing.		43	učitelka	Praha-Satalice	99	53	A
1199	538736	1	1	53	6	Michal	Zavaďák	M			29	IT projektový manažer	Praha-Satalice	99	53	A
1199	538736	1	1	53	7	Vojtěch	Vaňhara	M			68	projektant	Praha-Satalice	53	53	A
1199	538736	1	1	53	8	Jiří	Pohl	M	Ing.		67	konstruktér	Praha-Satalice	53	53	A
1199	538736	1	1	53	9	Věra	Hanzlíková	F			43	účetní	Praha-Satalice	99	53	A
1199	538736	1	1	53	10	Oldřich	Fiala	M	Ing.		62	vedoucí úředník	Praha-Satalice	99	53	A
1199	538736	1	1	53	11	Vít	Mokrý	M			38	ředitel kulturního a vzdělávacího centra	Praha-Satalice	53	53	A
1199	538736	1	2	1	1	Bohumil	Pechr	M	ing.		67	informatik	Praha-Satalice	1	1	A
1199	538736	1	2	1	2	Antonín	Škoch	M	MUDr. Bc.	Ph.D.	42	vědecký pracovník	Praha-Satalice	99	1	A
1199	538736	1	2	1	3	Karolina	Bílková	F			36	chemička	Praha-Satalice	99	1	A
1199	538736	1	2	1	4	Jiří	Vácha	M			62	řidič	Praha-Satalice	99	1	A
1199	538736	1	2	1	5	Magdalena	Šálková	F			64	kožešnice	Praha-Satalice	99	1	A
