OKRES	KODZASTUP	COBVODU	POR_STR_HL	OSTRANA	PORCISLO	JMENO	PRIJMENI	POHLAVI	TITULPRED	TITULZA	VEK	POVOLANI	BYDLISTEN	PSTRANA	NSTRANA	PLATNOST
2111	540749	1	1	7	1	Jiří	Vokrouhlík	M			44	starosta obce	Milešov	99	7	A
2111	540749	1	1	7	2	Valter	Kraus	M			55	soukromý zemědělec	Milešov	99	7	A
2111	540749	1	1	7	3	Miroslav	Květ	M			47	řidič	Milešov	99	7	A
2111	540749	1	1	7	4	Martina	Lišková	F			50	pracovník v restauraci	Milešov	99	7	A
2111	540749	1	1	7	5	Jiří	Šťastný	M			44	soukromý podnikatel	Milešov	99	7	A
2111	540749	1	1	7	6	Alena	Kokšteinová	F			51	poštovní úředník	Milešov	99	7	A
2111	540749	1	1	7	7	Jiří	Burian	M			48	technik údržby	Milešov	99	7	A
2111	540749	1	1	7	8	Jan	Kapounek	M			47	dělník	Milešov	99	7	A
2111	540749	1	2	901	1	Miroslav	Šplíchal	M			50	místostarosta obce	Přední Chlum	99	80	A
2111	540749	1	2	901	2	Vladimír	Holan	M			47	agronom	Milešov	99	80	A
2111	540749	1	2	901	3	Václav	Svoboda	M			65	důchodce	Klenovice	99	80	A
2111	540749	1	2	901	4	Josef	Holan	M			52	řidič	Milešov	99	80	A
2111	540749	1	2	901	5	Jan	Valenta	M			54	správce kempu	Milešov	99	80	A
2111	540749	1	2	901	6	Jiřina	Válová	F			48	OSVČ	Milešov	99	80	A
2111	540749	1	2	901	7	Vladimír	Löffelmann	M			55	kuchař	Klenovice	99	80	A
2111	540749	1	2	901	8	Pavel	Vaněček	M			43	soukromý podnikatel	Milešov	99	80	A
