OKRES	KODZASTUP	COBVODU	POR_STR_HL	OSTRANA	PORCISLO	JMENO	PRIJMENI	POHLAVI	TITULPRED	TITULZA	VEK	POVOLANI	BYDLISTEN	PSTRANA	NSTRANA	PLATNOST
2111	513547	1	1	809	1	Zdeněk	Lerch	M			47	obchodní zástupce	Příčovy	99	80	A
2111	513547	1	2	804	1	Petr	Pištěk	M			39	truhlář	Příčovy	99	80	A
2111	513547	1	3	805	1	Jan	Valenta	M			41	řidič	Příčovy	99	80	A
2111	513547	1	4	808	1	Věra	Krutinová	F			49	vedoucí výroby	Příčovy	99	80	A
2111	513547	1	5	807	1	Galina	Humhalová	F			50	účetní	Příčovy	99	80	A
2111	513547	1	6	810	1	Václav	Pichl	M			48	servisní technik	Příčovy	99	80	A
2111	513547	1	7	803	1	Michal	Jiráček	M			34	správce výpočetní techniky	Příčovy	99	80	A
2111	513547	1	8	812	1	Pavel	Spilka	M			48	řidič	Příčovy	99	80	A
2111	513547	1	9	802	1	František	Pilík	M			46	dispečer	Příčovy	99	80	A
2111	513547	1	10	806	1	Mikuláš	Radosta	M			43	pracovník v sociálních službách	Příčovy	99	80	A
2111	513547	1	11	801	1	Pavel	Kymla	M			46	starosta obce	Příčovy	99	80	A
2111	513547	1	12	811	1	Iva	Chwastková	F			42	učitelka ZŠ	Příčovy	99	80	A
