OKRES	KODZASTUP	COBVODU	POR_STR_HL	OSTRANA	PORCISLO	JMENO	PRIJMENI	POHLAVI	TITULPRED	TITULZA	VEK	POVOLANI	BYDLISTEN	PSTRANA	NSTRANA	PLATNOST
3206	559857	1	1	901	1	Milan	Huml	M			52	pedagogický pracovník	Cheznovice	99	80	A
3206	559857	1	1	901	2	Jana	Urxová	F			44	záchranářka	Cheznovice	99	80	A
3206	559857	1	1	901	3	Pavel	Mráček	M			38	dřevomodelář	Cheznovice	99	80	A
3206	559857	1	1	901	4	Martin	Šťastný	M			46	údržbář	Cheznovice	99	80	A
3206	559857	1	1	901	5	Pavel	Štochl	M	Bc.		30	manager	Cheznovice	99	80	A
3206	559857	1	1	901	6	Pavel	Huml	M			41	prodavač PHM	Cheznovice	99	80	A
3206	559857	1	1	901	7	Miloslav	Krejčík	M			34	mistr výroby	Cheznovice	99	80	A
3206	559857	1	1	901	8	Irena	Suchá	F			36	kontrolorka	Cheznovice	99	80	A
3206	559857	1	1	901	9	Jan	Huml	M			35	slévač	Cheznovice	99	80	A
3206	559857	1	2	902	1	Jan	Sevald	M	Ing.		65	soukromý podnikatel	Cheznovice	99	80	A
3206	559857	1	2	902	2	Marcela	Jedličková	F			49	obchodní referentka	Cheznovice	99	80	A
3206	559857	1	2	902	3	Václav	Kratochvíl	M			53	řidič	Cheznovice	99	80	A
3206	559857	1	2	902	4	Světlana	Belšánová	F	Mgr. Ing.		34	učitelka	Cheznovice	99	80	A
3206	559857	1	2	902	5	Petr	Urx	M			37	dřevomodelář	Cheznovice	99	80	A
3206	559857	1	2	902	6	Libor	Palek	M			54	frézař CNC	Cheznovice	99	80	A
3206	559857	1	2	902	7	Jiří	Palek	M			52	obráběč kovů NC	Cheznovice	99	80	A
3206	559857	1	2	902	8	Alois	Stupka	M			55	řidič	Cheznovice	99	80	A
3206	559857	1	2	902	9	Václav	Štochl	M			42	řidič	Cheznovice	99	80	A
3206	559857	1	3	903	1	Josef	Kolář	M			62	starosta	Cheznovice	99	80	A
3206	559857	1	3	903	2	Vladimír	Melichar	M			66	důchodce	Cheznovice	99	80	A
3206	559857	1	3	903	3	Josef	Huml	M			30	elektrikář	Cheznovice	99	80	A
3206	559857	1	3	903	4	Václava	Langová	F			46	dělnice	Cheznovice	99	80	A
3206	559857	1	3	903	5	Jiří	Švihla	M			43	elektrikář	Cheznovice	99	80	A
3206	559857	1	3	903	6	Blanka	Fischerová	F			43	vychovatelka	Cheznovice	99	80	A
3206	559857	1	3	903	7	Aleš	Kroc	M			43	řidič	Cheznovice	99	80	A
3206	559857	1	3	903	8	Jiří	Kratochvíl	M			49	elektromechanik	Cheznovice	99	80	A
3206	559857	1	3	903	9	Michal	Šlapák	M			30	seřizovač	Cheznovice	99	80	A
