OKRES	KODZASTUP	COBVODU	POR_STR_HL	OSTRANA	PORCISLO	JMENO	PRIJMENI	POHLAVI	TITULPRED	TITULZA	VEK	POVOLANI	BYDLISTEN	PSTRANA	NSTRANA	PLATNOST
3206	579033	1	1	809	1	Jindřich	Šustr	M			62	jednatel firmy	Kornatice	99	80	A
3206	579033	1	2	808	1	Oldřich	Jedlička	M			37	programátor	Kornatice	99	80	A
3206	579033	1	3	810	1	Michal	Šustr	M			38	asistent obchodního zástupce	Kornatice	99	80	A
3206	579033	1	4	803	1	Václav	Terelmes	M			55	OSVČ	Kornatice	99	80	A
3206	579033	1	5	813	1	Petr	Skála	M			51	IT manager	Kornatice	99	80	A
3206	579033	1	6	812	1	Aleš	Tuček	M			64	projektový manažer	Kornatice	99	80	A
3206	579033	1	7	807	1	František	Šilhánek	M			68	důchodce	Kornatice	99	80	A
3206	579033	1	8	802	1	Jaromír	Čech	M			36	podnikatel	Kornatice	99	80	A
3206	579033	1	9	811	1	Pavel	Šefl	M			36	lesník	Kornatice	99	80	A
3206	579033	1	10	805	1	Luděk	Bouchner	M			55	lékař	Kornatice	99	80	A
3206	579033	1	11	804	1	Luděk	Ducz	M			57	účetní	Kornatice	99	80	A
3206	579033	1	12	806	1	Aleš	Rojík	M			42	IT konzultant	Kornatice	99	80	A
3206	579033	1	13	801	1	Josef	Krátký	M			35	kontrolor	Kornatice	99	80	A
