OKRES	KODZASTUP	COBVODU	POR_STR_HL	OSTRANA	PORCISLO	JMENO	PRIJMENI	POHLAVI	TITULPRED	TITULZA	VEK	POVOLANI	BYDLISTEN	PSTRANA	NSTRANA	PLATNOST
3106	510068	1	1	806	1	Milan	Zach	M			42	podnikatel	Čečelovice	99	80	A
3106	510068	1	2	812	1	Josef	Skala	M	Ing.		65	manažer projektu	Čečelovice	99	80	A
3106	510068	1	3	805	1	František	Krejčí	M			65	důchodce	Čečelovice	99	80	A
3106	510068	1	4	804	1	Klára	Končelová	F			18	student	Čečelovice	99	80	A
3106	510068	1	5	802	1	Lukáš	Tkáč	M			36	elektrikář	Čečelovice	99	80	A
3106	510068	1	6	801	1	Marie	Kalbáčová	F	Ing. Mgr.		51	úřednice	Čečelovice	99	80	A
3106	510068	1	7	811	1	Augustin Jindřich	Šipla	M			19	student	Čečelovice	99	80	A
3106	510068	1	8	807	1	Luboš	Vachl	M			58	podnikatel - OSVČ	Čečelovice	99	80	A
3106	510068	1	9	810	1	Milan	Stejskal	M			58	podnikatel	Čečelovice	99	80	A
3106	510068	1	10	813	1	Petr	Kalbáč	M	Ing.		51	úředník	Čečelovice	99	80	A
3106	510068	1	11	815	1	Angelo	Weber	M			69	důchodce	Čečelovice	99	80	A
3106	510068	1	12	809	1	František	Skala	M			36	ředitel	Čečelovice	99	80	A
3106	510068	1	13	814	1	Lenka	Kůtová Končelová	F			42	auditor	Čečelovice	99	80	A
3106	510068	1	14	808	1	Tomáš	Lávička	M			42	OSVČ podnikatel	Čečelovice	99	80	A
3106	510068	1	15	803	1	Bohumil	Braun	M			58	podnikatel	Čečelovice	99	80	A
