OKRES	KODZASTUP	COBVODU	POR_STR_HL	OSTRANA	PORCISLO	JMENO	PRIJMENI	POHLAVI	TITULPRED	TITULZA	VEK	POVOLANI	BYDLISTEN	PSTRANA	NSTRANA	PLATNOST
3106	551953	1	1	902	1	Tomáš	Bednařík	M	Ing.		47	manažer projektů	Újezd	99	80	A
3106	551953	1	1	902	2	Miloslav	Vaněček	M	Bc.		31	odborný pracovník muzea	Vodňany II	99	80	A
3106	551953	1	1	902	3	Radka	Madarová	F			45	manažerka projektů	Vodňany II	99	80	A
3106	551953	1	1	902	4	Jaroslav	Hryzbil	M	Bc.		43	podnikatel	Vodňany II	99	80	A
3106	551953	1	1	902	5	Pavel	Janšta	M	Mgr.		34	živnostník	Vodňany I	99	80	A
3106	551953	1	1	902	6	Dagmar	Sladká	F	Bc.		52	ředitelka mateřské školy	Vodňany II	99	80	A
3106	551953	1	1	902	7	Viktor	Blaščák	M	Ing.		70	lesní inženýr	Pražák	99	80	A
3106	551953	1	1	902	8	Ondřej	Šmíd	M			33	technik	Vodňany II	99	80	A
3106	551953	1	1	902	9	Martina	Havlínová	F	Bc.		57	učitelka mateřské školy	Vodňany I	99	80	A
3106	551953	1	1	902	10	Vladimír	Petřík	M	Ing.		30	technik zabezpečovacích zařízení	Vodňany II	99	80	A
3106	551953	1	1	902	11	Daniel	Hroneš	M			25	pracovník v sociálních službách	Vodňany II	99	80	A
3106	551953	1	1	902	12	Dagmar	Šmídová	F			58	učitelka	Vodňany II	99	80	A
3106	551953	1	1	902	13	Petra	Buchtelová	F			48	živnostník	Vodňany II	99	80	A
3106	551953	1	1	902	14	Michal	Brož	M			45	výčepní	Vodňany I	99	80	A
3106	551953	1	1	902	15	Radka	Lencová	F			48	živnostník	Vodňany II	99	80	A
3106	551953	1	1	902	16	Petra	Dudáková	F	Mgr.		49	učitelka	Vodňany I	99	80	A
3106	551953	1	1	902	17	Radovan	Vrba	M			52	živnostník	Vodňany II	99	80	A
3106	551953	1	1	902	18	Dominika	Jarošová	F			21	studentka arteterapie	Vodňany II	99	80	A
3106	551953	1	1	902	19	Radka	Kuncová	F			45	živnostník	Vodňany I	99	80	A
3106	551953	1	1	902	20	Ondřej	Madar	M	Bc.		24	student architektury	Vodňany II	99	80	A
3106	551953	1	1	902	21	Radek	Kuncipál	M			48	manažer	Vodňany II	99	80	A
3106	551953	1	2	53	1	Pavel	Mádl	M	Ing.		59	manažer provozu	Vodňanské Svobodné Hory	53	53	A
3106	551953	1	2	53	2	Martin	Šnajdar	M	Ing.		61	programátor	Vodňany II	53	53	A
3106	551953	1	2	53	3	Stanislav	Podlaha	M	Mgr.		66	důchodce	Vodňany II	53	53	A
3106	551953	1	2	53	4	Romana	Rédlová	F			46	pedagožka	Vodňany II	53	53	A
3106	551953	1	2	53	5	Jiří	Malkus	M			53	elektromechanik	Vodňany I	53	53	A
