OKRES	KODZASTUP	COBVODU	POR_STR_HL	OSTRANA	PORCISLO	JMENO	PRIJMENI	POHLAVI	TITULPRED	TITULZA	VEK	POVOLANI	BYDLISTEN	PSTRANA	NSTRANA	PLATNOST
7105	539961	1	1	53	1	Jitka	Zahradníková	F	Mgr.		36	učitelka	Libina	99	53	A
7105	539961	1	1	53	2	Eduard	Čápek	M	Mgr.		47	učitel	Libina	53	53	A
7105	539961	1	1	53	3	David	Hrubý	M			35	vedoucí výroby	Libina	53	53	A
7105	539961	1	1	53	4	Monika	Charvátová	F			35	účetní	Libina	99	53	A
7105	539961	1	1	53	5	Martin	Borák	M			27	stavbyvedoucí	Dolní Libina	99	53	A
7105	539961	1	1	53	6	Luděk	Zahradník	M	Ing.		49	referent prodeje	Libina	99	53	A
7105	539961	1	1	53	7	Marta	Kurucová	F	Mgr.		46	učitelka	Dolní Libina	99	53	A
7105	539961	1	1	53	8	Jaroslav	Polák	M			35	OSVČ	Dolní Libina	99	53	A
7105	539961	1	1	53	9	Dobroslav	Voženílek	M			66	technik	Libina	99	53	A
7105	539961	1	1	53	10	Ilona	Škůrková	F	Ing.		30	ekonom	Dolní Libina	99	53	A
7105	539961	1	1	53	11	Ludmila	Keitzlová	F			44	dispečer	Libina	99	53	A
7105	539961	1	1	53	12	Jaroslav	Kranich	M	Ing.		35	stavbyvedoucí	Libina	99	53	A
7105	539961	1	1	53	13	Marie	Niederlová	F			69	důchodkyně	Obědné	99	53	A
7105	539961	1	1	53	14	Pavel	Talanda	M			42	jednatel společnosti	Libina	53	53	A
7105	539961	1	1	53	15	Lukáš	Mazal	M			39	soukromý zemědělec	Dolní Libina	99	53	A
7105	539961	1	2	721	1	Tomáš	Kobza	M	Mgr. Ing.		40	starosta obce, ekonom, právník	Dolní Libina	99	721	A
7105	539961	1	2	721	2	Ladislav	Nevřala	M	Bc.		51	policista	Libina	99	721	A
7105	539961	1	2	721	3	Jiří	Pluskal	M			45	obsluha ČOV, předseda TJ Libina	Libina	99	721	A
7105	539961	1	2	721	4	Jana	Němečková	F	Ing.		56	pracovnice v sociálních službách	Libina	721	721	A
7105	539961	1	2	721	5	Aleš	Skála	M	Mgr.		35	učitel, trenér mládeže	Libina	99	721	A
7105	539961	1	2	721	6	Václav	Svrchokryl	M	MUDr.		27	lékař, vysokoškolský pedagog	Libina	99	721	A
7105	539961	1	2	721	7	Lukáš	Vrána	M			42	stavební technik	Libina	99	721	A
7105	539961	1	2	721	8	Miroslav	Pelikán	M			52	živnostník	Libina	99	721	A
7105	539961	1	2	721	9	Karel	Řehák	M			67	živnostník	Libina	99	721	A
7105	539961	1	2	721	10	Petra	Mazalová	F	Ing.		42	dopravní specialistka	Dolní Libina	99	721	A
7105	539961	1	2	721	11	Eva	Chromá	F			57	vedoucí školní jídelny	Libina	99	721	A
7105	539961	1	2	721	12	Radek	Přibyl	M			42	živnostník	Dolní Libina	99	721	A
7105	539961	1	2	721	13	Miloslav	Resler	M			63	důchodce	Obědné	99	721	A
7105	539961	1	2	721	14	Eliška	Grmelová	F			60	učitelka mateřské školy	Libina	99	721	A
7105	539961	1	2	721	15	Ivana	Dirbáková	F	Ing.		53	vedoucí stavebního oddělení	Dolní Libina	99	721	A
7105	539961	1	3	166	1	Aranka	Jarošová	F			54	ředitelka MŠ Libina	Libina	166	166	A
7105	539961	1	3	166	2	Petr	Vicenec	M			33	ředitel provozu ŽDB Drátovna a.s.	Libina	99	166	A
7105	539961	1	3	166	3	Miroslav	Snášel	M			47	jednatel společnosti	Dolní Libina	99	166	A
7105	539961	1	3	166	4	Pavel	Majzner	M			45	hasič a obsluha Sběrného dvoru	Obědné	99	166	A
7105	539961	1	3	166	5	Jarmila	Zouharová	F	Bc.		48	učitelka MŠ Libina	Obědné	99	166	A
7105	539961	1	3	166	6	Ludmila	Gogolková	F			54	pracovnice ve školství	Libina	99	166	A
7105	539961	1	3	166	7	David	Ledr	M			45	OSVČ	Libina	99	166	A
7105	539961	1	3	166	8	Zdeňka	Hrubá	F		DiS.	43	vedoucí sociálních služeb	Libina	99	166	A
7105	539961	1	3	166	9	Irena	Greplová	F			70	důchodkyně	Libina	99	166	A
7105	539961	1	3	166	10	Jiří	Blažek	M			51	operátor výroby	Dolní Libina	99	166	A
7105	539961	1	3	166	11	Dagmar	Rabová	F			48	rodičovská dovolená	Dolní Libina	99	166	A
7105	539961	1	3	166	12	Roman	Sczeponiak	M			37	OSVČ zemědělec	Dolní Libina	99	166	A
7105	539961	1	3	166	13	Jiří	Hnilička	M			63	OSVČ	Libina	99	166	A
7105	539961	1	3	166	14	Jiří	Ptáček	M			56	řidič	Libina	99	166	A
7105	539961	1	3	166	15	Radoslava	Žáková	F			63	důchodkyně	Libina	99	166	A
7105	539961	1	4	47	1	Tereza	Lišková	F			34	učitelka ZUŠ	Libina	47	47	A
7105	539961	1	4	47	2	Miroslav	Fruhwirth	M	Ing.		60	výrobní ředitel SUMTEX	Libina	99	47	A
