OKRES	KODZASTUP	COBVODU	POR_STR_HL	OSTRANA	PORCISLO	JMENO	PRIJMENI	TITULPRED	TITULZA	VEK	POVOLANI	BYDLISTEN	PSTRANA	NSTRANA	PLATNOST	POHLAVI
3107	552241	1	1	901	1	Pavel	Rothbauer			63	starosta	Mašovice	99	80	A	M
3107	552241	1	1	901	2	Štěpán	Hladík	Ing.		48	vedoucí logistiky	Hartvíkov	99	80	A	M
3107	552241	1	1	901	3	Vladimír	Seidl			68	důchodce	Horní Hořice	99	80	A	M
3107	552241	1	1	901	4	Jiří	Filip			54	vedoucí dispečer	Lejčkov	99	80	A	M
3107	552241	1	1	901	5	Jiří	Hladík			51	technik	Chotčiny	99	80	A	M
3107	552241	1	1	901	6	Radek	Čekal			42	OSVČ	Pořín	99	80	A	M
3107	552241	1	1	901	7	Jan	Kohout			48	OSVČ	Mašovice	99	80	A	M
3107	552241	1	1	901	8	Vlastislav	Srbek			52	živnostník	Hartvíkov	99	80	A	M
3107	552241	1	1	901	9	Petr	Macek			44	nástrojař	Pořín	99	80	A	M
3107	552241	1	1	901	10	Jana	Vítů			45	účetní	Lejčkov	99	80	A	F
3107	552241	1	1	901	11	Josef	Rosol			51	řidič	Horní Hořice	99	80	A	M
3107	552241	1	1	901	12	Hana	Ješetová			64	důchodce	Horní Hořice	99	80	A	F
3107	552241	1	1	901	13	Jiřina	Příkopová			44	vedoucí směny	Dolní Hořice	99	80	A	F
3107	552241	1	1	901	14	František	Válka			46	řidič	Oblajovice	99	80	A	M
3107	552241	1	1	901	15	Tomáš	Marounek			38	elektromechanik	Pořín	99	80	A	M
