OKRES	KODZASTUP	COBVODU	POR_STR_HL	OSTRANA	PORCISLO	JMENO	PRIJMENI	POHLAVI	TITULPRED	TITULZA	VEK	POVOLANI	BYDLISTEN	PSTRANA	NSTRANA	PLATNOST
4206	567728	1	1	901	1	Eva	Kardová	F			57	místostarostka	Moldava	99	80	A
4206	567728	1	1	901	2	Jaroslav	Sečánský	M			46	dělník	Moldava	99	80	A
4206	567728	1	1	901	3	Miroslav	Karda	M	Ing.		62	podnikatel	Moldava	99	80	A
4206	567728	1	1	901	4	Renata	Fialová	F			51	pracovnice infocentra	Moldava	99	80	A
4206	567728	1	1	901	5	Pavel	Karda	M			60	dělník údržby obce	Moldava	99	80	A
4206	567728	1	1	901	6	Jan	Škalban	M			26	dělník údržby obce	Moldava	99	80	A
4206	567728	1	1	901	7	Petr	Teplý	M			38	dělník údržby obce	Moldava	99	80	A
4206	567728	1	1	901	8	Miloš	Hanuš	M			57	dělník údržby obce	Moldava	99	80	A
4206	567728	1	1	901	9	Rudolf	Patzelt	M			32	technik	Moldava	99	80	A
4206	567728	1	2	364	1	Michal	Cuc	M	Ing.		40	provozní ředitel	Moldava	5	5	A
4206	567728	1	2	364	2	Marcel	Münzberger	M			50	majitel bezpečnostní agentury	Moldava	99	80	A
4206	567728	1	2	364	3	Luboš	Suchý	M			35	mechanik měření emisí	Moldava	99	80	A
4206	567728	1	2	364	4	Jakub	Pěkný	M	Ing.		32	hasič	Moldava	99	80	A
4206	567728	1	2	364	5	Miluše	Svitáková	F			59	invalidní důchodce	Moldava	99	80	A
4206	567728	1	2	364	6	Vojtěch	Kužel	M			31	podnikatel - zemědělec	Moldava	99	80	A
4206	567728	1	2	364	7	Miroslav	Pěkný	M			67	důchodce	Moldava	99	80	A
4206	567728	1	2	364	8	Vlastimil	Čáp	M			60	podnikatel - restauratér	Nové Město	99	80	A
4206	567728	1	2	364	9	Daniel	Dvořák	M			52	podnikatel - strojní mechanik	Nové Město	99	80	A
4206	567728	1	3	902	1	Jaroslav	Pok	M			48	OSVČ	Moldava	99	80	A
4206	567728	1	3	902	2	Luboš	Proněk	M			62	OSVČ	Nové Město	99	80	A
4206	567728	1	3	902	3	Iveta	Boudišová	F			46	OSVČ	Moldava	99	80	A
4206	567728	1	3	902	4	Lenka	Nováková	F			52	OSVČ	Moldava	99	80	A
4206	567728	1	3	902	5	Josef	Houdek	M			59	soukromý zemědělec	Moldava	99	80	A
4206	567728	1	3	902	6	Vlastimil	Teplý	M			63	důchodce	Moldava	99	80	A
4206	567728	1	3	902	7	Naděžda	Sábová	F			66	důchodce	Nové Město	99	80	A
4206	567728	1	3	902	8	Jan	Kotelenský	M			45	OSVČ	Moldava	99	80	A
4206	567728	1	3	902	9	Vlasta	Kozlerová	F			50	zdravotní sestra	Nové Město	99	80	A
