OKRES	KODZASTUP	COBVODU	POR_STR_HL	OSTRANA	PORCISLO	JMENO	PRIJMENI	TITULPRED	TITULZA	VEK	POVOLANI	BYDLISTEN	PSTRANA	NSTRANA	PLATNOST	POHLAVI
6104	591173	1	1	901	1	Petr	Kudláč	Ing.		33	rozpočtář, místostarosta	Mohelno	99	80	A	M
6104	591173	1	2	470	1	Jiří	Kostelník			65	starosta	Mohelno	99	166	A	M
6104	591173	1	3	1	1	Pavel	Kudláč	Ing.		61	podnikatel	Mohelno	99	1	A	M
6104	591173	1	1	901	2	Jiří	Drápela			33	technik testování a spouštění	Mohelno	99	80	A	M
6104	591173	1	2	470	2	Jiří	Šanda			45	státní zaměstnanec	Mohelno	99	166	A	M
6104	591173	1	3	1	2	David	Hlaváč	Ing.		38	analytik/konzultant	Mohelno	53	1	A	M
6104	591173	1	1	901	3	Jaroslav	Hošek			31	komponentový inženýr	Mohelno	99	80	A	M
6104	591173	1	2	470	3	Alena	Bártková			59	ředitelka mateřské školy	Mohelno	99	166	A	F
6104	591173	1	3	1	3	Martin	Kryška			46	podnikatel	Mohelno	1	1	A	M
6104	591173	1	1	901	4	Radka	Kopečková	Ing.		39	projektová manažerka	Mohelno	99	80	A	F
6104	591173	1	2	470	4	Magda	Cabejšková			39	vedoucí prodejny	Mohelno	99	166	A	F
6104	591173	1	3	1	4	Ivana	Hlaváčová Gembalová	MUDr.		36	lékařka	Mohelno	99	1	A	F
6104	591173	1	1	901	5	Karel	Malý	Mgr.		35	podnikatel	Mohelno	99	80	A	M
6104	591173	1	2	470	5	Jiří	Valeš			46	živnostník	Mohelno	99	166	A	M
6104	591173	1	3	1	5	František	Vlašín			40	stavební montér, kostelník	Mohelno	99	1	A	M
6104	591173	1	1	901	6	Libuše	Nováčková			49	ekonomka	Mohelno	99	80	A	F
6104	591173	1	2	470	6	Věra	Chytková			47	zdravotní sestra	Mohelno	99	166	A	F
6104	591173	1	3	1	6	Jiří	Knotek			56	truhlář, zahrádkář	Mohelno	1	1	A	M
6104	591173	1	1	901	7	Petr	Cejpek			27	specialista technické bezpečnosti	Mohelno	99	80	A	M
6104	591173	1	2	470	7	Jan	Světlík			44	lesní technik	Mohelno	99	166	A	M
6104	591173	1	3	1	7	Jana	Krejčová	Mgr.		70	důchodkyně	Mohelno	99	1	A	F
6104	591173	1	1	901	8	Petr	Horký			25	kontrolor kvality	Mohelno	99	80	A	M
6104	591173	1	2	470	8	Simona	Kostelníková			40	sekretářka	Mohelno	99	166	A	F
6104	591173	1	3	1	8	Petr	Knotek			20	student	Mohelno	99	1	A	M
6104	591173	1	1	901	9	Zdeněk	Gros			30	podnikatel	Mohelno	99	80	A	M
6104	591173	1	2	470	9	Lubomír	Ostrý	Mgr.		55	učitel	Mohelno	99	166	A	M
6104	591173	1	3	1	9	Božena	Drápelová			56	podnikatelka	Mohelno	99	1	A	F
6104	591173	1	1	901	10	Miroslav	Kopeček			33	technický pracovník	Mohelno	99	80	A	M
6104	591173	1	2	470	10	Eva	Eliášová	Ing.		52	úřednice	Mohelno	99	166	A	F
6104	591173	1	3	1	10	Ladislav	Knotek			73	důchodce	Mohelno	99	1	A	M
6104	591173	1	1	901	11	Petr	Horký	Ing.		53	ekonom	Mohelno	99	80	A	M
6104	591173	1	2	470	11	Vlastislav	Musil			48	státní zaměstnanec	Mohelno	99	166	A	M
6104	591173	1	3	1	11	Zdeňka	Šišáková			64	podnikatelka	Mohelno	99	1	A	F
6104	591173	1	1	901	12	Andrea	Došková			34	OSVČ	Mohelno	99	80	A	F
6104	591173	1	2	470	12	Martin	Hošek	Ing.	Ph.D.	44	akademický pracovník	Mohelno	99	166	A	M
6104	591173	1	3	1	12	Pavel	Vlašín			52	osobní pokladní	Mohelno	99	1	A	M
6104	591173	1	1	901	13	Helena	Němcová			47	technolog	Mohelno	99	80	A	F
6104	591173	1	2	470	13	Milada	Červinčáková	Mgr.		45	učitelka	Mohelno	99	166	A	F
6104	591173	1	3	1	13	Pavla	Vochyánová			42	pánská krejčová	Mohelno	99	1	A	F
6104	591173	1	1	901	14	Martin	Horký	Bc.		30	technik vodních elektráren	Mohelno	99	80	A	M
6104	591173	1	2	470	14	Zuzana	Borkovcová			35	OSVČ	Mohelno	99	166	A	F
6104	591173	1	3	1	14	Rudolf	Mohelský			56	zámečník	Mohelno	99	1	A	M
6104	591173	1	1	901	15	Veronika	Grosová	Bc.		23	studentka	Mohelno	99	80	A	F
6104	591173	1	2	470	15	Karel	Hort			36	technik	Mohelno	99	80	A	M
6104	591173	1	3	1	15	Milada	Štěpánová			63	důchodkyně	Mohelno	99	1	A	F
