OKRES	KODZASTUP	COBVODU	POR_STR_HL	OSTRANA	PORCISLO	JMENO	PRIJMENI	POHLAVI	TITULPRED	TITULZA	VEK	POVOLANI	BYDLISTEN	PSTRANA	NSTRANA	PLATNOST
6104	591327	1	1	810	1	Jiří	Vybíral	M			36	dělník	Oponešice	99	80	A
6104	591327	1	2	803	1	Jaroslav	Moltaš	M			55	inspektor, auditor	Oponešice	99	80	A
6104	591327	1	3	807	1	Zdeněk	Procházka	M			49	zámečník	Oponešice	99	80	A
6104	591327	1	4	809	1	Michal	Dvořák	M			28	policista	Oponešice	99	80	A
6104	591327	1	5	804	1	Jaroslav	Benda	M	Ing.		49	zemědělec	Oponešice	99	80	A
6104	591327	1	6	805	1	Jiří	Nevěčný	M			52	technik	Oponešice	99	80	A
6104	591327	1	7	801	1	Pavel	Rehardt	M			33	řidič M.K.D.	Oponešice	99	80	A
6104	591327	1	8	802	1	Josef	Fráňa	M			60	dělník	Oponešice	99	80	A
6104	591327	1	9	808	1	Lenka	Mandátová	F			36	učitelka	Oponešice	99	80	A
6104	591327	1	10	806	1	Luboš	Ondrák	M			48	technik	Oponešice	99	80	A
