OKRES	KODZASTUP	COBVODU	POR_STR_HL	OSTRANA	PORCISLO	JMENO	PRIJMENI	POHLAVI	TITULPRED	TITULZA	VEK	POVOLANI	BYDLISTEN	PSTRANA	NSTRANA	PLATNOST
5205	579165	1	1	901	1	Miloslav	Tomíček	M	JUDr.		71	starosta	Dolní Lánov	99	80	A
5205	579165	1	1	901	2	Jiří	Svatý	M	Bc.		43	projektant	Dolní Lánov	99	80	A
5205	579165	1	1	901	3	Pavel	Jančula	M			54	podnikatel	Dolní Lánov	99	80	A
5205	579165	1	1	901	4	Jiří	Kaván	M			37	podnikatel	Dolní Lánov	53	80	A
5205	579165	1	1	901	5	Michal	Trobl	M			48	zaměstnanec	Dolní Lánov	99	80	A
5205	579165	1	1	901	6	Jiří	Pavliš	M	Ing.		64	podnikatel	Dolní Lánov	99	80	A
5205	579165	1	1	901	7	Olga	Finková	F			45	OSVČ	Dolní Lánov	99	80	A
5205	579165	1	1	901	8	Slavomír	Vyklický	M			43	zaměstnanec	Dolní Lánov	99	80	A
5205	579165	1	1	901	9	Pavel	Šimůnek	M	Ing.		49	učitel	Dolní Lánov	99	80	A
5205	579165	1	1	901	10	Jana	Tumová	F			55	vychovatelka	Dolní Lánov	99	80	A
5205	579165	1	1	901	11	Miroslav	Hofman	M			45	obchodní zástupce	Dolní Lánov	99	80	A
5205	579165	1	2	524	1	Miroslava	Matějáková	F			50	OSVČ	Dolní Lánov	99	80	A
5205	579165	1	2	524	2	Libor	Voděrek	M			57	živnostník	Dolní Lánov	99	80	A
5205	579165	1	2	524	3	Naděžda	Bezstarosti	F			59	OSVČ	Dolní Lánov	99	80	A
5205	579165	1	2	524	4	Helena	Cermanová	F		DiS.	37	mzdová účetní	Dolní Lánov	99	80	A
5205	579165	1	2	524	5	Jan	Vondráček	M			59	domovník	Dolní Lánov	99	80	A
5205	579165	1	2	524	6	Stanislav	Matěják	M	Ing.		56	OSVČ	Dolní Lánov	99	80	A
5205	579165	1	2	524	7	Miroslava	Křížková	F			64	vychovatelka	Dolní Lánov	99	80	A
5205	579165	1	2	524	8	Tomáš	Hanč	M	Ing.		42	programátor	Dolní Lánov	99	80	A
5205	579165	1	2	524	9	Martin	Novák	M			37	OSVČ	Dolní Lánov	99	80	A
5205	579165	1	2	524	10	Jaroslava	Hájková	F			35	strojírenský dělník	Dolní Lánov	99	80	A
5205	579165	1	2	524	11	Alfréd	Pucher	M			63	strážce národního parku	Dolní Lánov	99	80	A
