OKRES	KODZASTUP	COBVODU	POR_STR_HL	OSTRANA	PORCISLO	JMENO	PRIJMENI	POHLAVI	TITULPRED	TITULZA	VEK	POVOLANI	BYDLISTEN	PSTRANA	NSTRANA	PLATNOST
5205	579599	1	1	901	1	Josef	Červený	M			43	prodejce vozů	Pilníkov	99	80	A
5205	579599	1	1	901	2	Petr	Pěchoč	M			37	svářeč, montér	Pilníkov	99	80	A
5205	579599	1	1	901	3	Hana	Blažková	F			46	kuchařka	Pilníkov	99	80	A
5205	579599	1	1	901	4	Markéta	Gábrišová	F	Mgr.		33	ředitelka Domova pro seniory	Pilníkov	99	80	A
5205	579599	1	1	901	5	Eliška	Červená	F			23	studentka VŠ, lektorka dlou. primární prevence KHK	Pilníkov	99	80	A
5205	579599	1	1	901	6	Filip	Dostál	M			30	policista	Pilníkov	99	80	A
5205	579599	1	1	901	7	Lenka	Mikesková	F	Mgr. Bc.		50	školní psycholog	Pilníkov	99	80	A
5205	579599	1	1	901	8	Petr	Jirásko	M			30	vedoucí poprodejních služeb	Pilníkov	99	80	A
5205	579599	1	1	901	9	Pavel	Hajný	M			47	živnostník OSVČ	Pilníkov	99	80	A
5205	579599	1	2	902	1	Miroslav	Klapka	M			61	starosta obce	Pilníkov	99	80	A
5205	579599	1	2	902	2	Pavel	Fajfr	M	Ing.		50	státní zaměstnanec	Pilníkov	99	80	A
5205	579599	1	2	902	3	Libor	Luňák	M			29	zdravotnický záchranář	Pilníkov	99	80	A
5205	579599	1	2	902	4	Naděžda	Valentová	F			53	účetní, OSVČ	Pilníkov	99	80	A
5205	579599	1	2	902	5	Dušan	Hanuš	M			38	jednatel společnosti Lesy-voda s.r.o.	Pilníkov	99	80	A
5205	579599	1	2	902	6	Ludvík	Novák	M			40	seřizovač SMT linek, Siemens NST Trutnov	Pilníkov	99	80	A
5205	579599	1	2	902	7	Tomáš	Prokop	M			24	operátor QMPP specialista	Pilníkov	99	80	A
5205	579599	1	2	902	8	Jan	Coufal	M	Ing.		73	důchodce	Pilníkov	99	80	A
5205	579599	1	2	902	9	Ingrid	Sagaserová	F			40	výstupní kontrola, ZPA Smart Energy	Pilníkov	99	80	A
