OKRES	KODZASTUP	COBVODU	POR_STR_HL	OSTRANA	PORCISLO	JMENO	PRIJMENI	POHLAVI	TITULPRED	TITULZA	VEK	POVOLANI	BYDLISTEN	PSTRANA	NSTRANA	PLATNOST
7203	542911	1	1	901	1	Marie	Chovanečková	F			52	starostka	Karolinka	99	80	A
7203	542911	1	1	901	2	Bohumila	Václavíková	F	Mgr.		63	učitelka	Karolinka	99	80	A
7203	542911	1	1	901	3	Michal	Kořenek	M	Ing.		47	živnostník	Karolinka	99	80	A
7203	542911	1	1	901	4	Oldřich	Škorňák	M	Bc.		43	zdravotnický záchranář	Karolinka	99	80	A
7203	542911	1	1	901	5	Arnošt	Koňařík	M			41	živnostník	Karolinka	99	80	A
7203	542911	1	1	901	6	Sylva	Gehrová	F			47	ekonomka	Karolinka	99	80	A
7203	542911	1	1	901	7	Leona	Šuláková	F			51	živnostník	Karolinka	99	80	A
7203	542911	1	1	901	8	Otto	Kořístka	M			37	živnostník	Karolinka	99	80	A
7203	542911	1	1	901	9	Jiří	Orság	M			29	vzpěrač, osobní trenér	Karolinka	99	80	A
7203	542911	1	1	901	10	Rostislav	Kocůrek	M	Bc.		40	policista	Karolinka	99	80	A
7203	542911	1	1	901	11	Pavlína	Kopcová	F			47	pracovnice provozu ZŠ	Karolinka	99	80	A
7203	542911	1	1	901	12	Josef	Zbranek	M			38	zaměstnanec v soukromém sektoru	Karolinka	99	80	A
7203	542911	1	1	901	13	Josef	Orság	M			61	dělník	Karolinka	99	80	A
7203	542911	1	1	901	14	Ondřej	Šulák	M			30	OSVČ	Karolinka	99	80	A
7203	542911	1	1	901	15	Evžen	Mynář	M			42	školník	Karolinka	99	80	A
7203	542911	1	2	47	1	Daniela	Bártková	F			54	vedoucí knihovny	Karolinka	47	47	A
7203	542911	1	2	47	2	Jaroslav	Heger	M			54	dělník	Karolinka	99	47	A
7203	542911	1	2	47	3	Radomír	Gášek	M			60	dělník	Karolinka	47	47	A
7203	542911	1	2	47	4	René	Vrchovský	M			42	dělník	Karolinka	99	47	A
7203	542911	1	2	47	5	Antonín	Polách	M			65	dělník	Karolinka	47	47	A
7203	542911	1	2	47	6	Kilián	Jaroš	M			67	důchodce	Karolinka	47	47	A
7203	542911	1	2	47	7	Ervín	Dittrich	M			68	důchodce	Karolinka	99	47	A
7203	542911	1	2	47	8	Ladislav	Bártek	M			60	elektromontér	Karolinka	47	47	A
7203	542911	1	2	47	9	Jan	Karafa	M			47	dělník	Karolinka	99	47	A
7203	542911	1	2	47	10	Pavel	Bartošek	M			63	dělník	Karolinka	99	47	A
7203	542911	1	2	47	11	Tomáš	Němeček	M			44	dělník	Karolinka	99	47	A
7203	542911	1	2	47	12	Jana	Vraníková	F			40	mateřská dovolená	Karolinka	99	47	N
7203	542911	1	2	47	13	Marie	Zapalačová	F			69	důchodce	Karolinka	99	47	A
7203	542911	1	2	47	14	Pavel	Šurlák	M			76	důchodce	Karolinka	47	47	A
7203	542911	1	2	47	15	Oldřich	Pavelka	M			90	důchodce	Karolinka	47	47	A
7203	542911	1	3	53	1	Tomáš	Hořelica	M	Ing.		51	vrchní rada	Karolinka	53	53	A
7203	542911	1	3	53	2	Luděk	Klíma	M	Ing.		62	projektant	Karolinka	99	53	A
7203	542911	1	3	53	3	Adam	Králík	M			61	vrchní mistr	Karolinka	99	53	A
7203	542911	1	3	53	4	Gabriela	Zemánková	F	Mgr.		42	OSVČ	Karolinka	99	53	A
7203	542911	1	3	53	5	Alexandra	Šinkmajerová	F		DiS.	39	mzdová účetní	Karolinka	99	53	A
7203	542911	1	3	53	6	Veronika	Urbanová	F			22	administrativní pracovnice na ÚP ČR	Karolinka	99	53	A
7203	542911	1	3	53	7	Tomáš	Jochec	M	Bc.		51	pracovník kvality	Karolinka	99	53	A
7203	542911	1	3	53	8	Štěpán	Králík	M			39	technický poradce	Karolinka	99	53	A
7203	542911	1	3	53	9	Tomáš	Rovnaník	M			51	natěrač	Karolinka	99	53	A
7203	542911	1	3	53	10	Vladislav	Bambušek	M			76	důchodce	Karolinka	99	53	A
7203	542911	1	3	53	11	Miloš	Václavík	M			51	řidič	Karolinka	99	53	A
7203	542911	1	3	53	12	Jiří	Švec	M	Bc.		31	cenař	Karolinka	99	53	A
7203	542911	1	3	53	13	Karel	Palička	M	Ing.		45	stavební inženýr	Karolinka	99	53	A
7203	542911	1	3	53	14	Zdeněk	Greguš	M			51	OSVČ	Karolinka	99	53	A
7203	542911	1	3	53	15	Aleš	Heger	M			29	skladník-expedient v Crystalex s.r.o. sklárna Kar.	Karolinka	99	53	A
7203	542911	1	4	7	1	Bohumil	Rožnovják	M			57	vedoucí oddělení údržby a energetiky	Karolinka	7	7	A
7203	542911	1	4	7	2	Karla	Urbanová	F			49	finanční poradce	Karolinka	7	7	A
7203	542911	1	4	7	3	Robert	Suchý	M	Bc.		48	policista	Karolinka	99	7	A
7203	542911	1	4	7	4	Svatopluk	Vrážel	M			44	řidič-strojník	Karolinka	7	7	A
7203	542911	1	4	7	5	Bronislava	Juračáková	F			55	administrativní pracovnice	Karolinka	99	7	A
7203	542911	1	4	7	6	Richard	Ježík	M	Bc.		46	policista	Karolinka	99	7	A
7203	542911	1	4	7	7	František	Švec	M			60	soukromý zemědělec	Karolinka	99	7	A
7203	542911	1	4	7	8	Petra	Babjar	F			37	mateřská dovolená	Karolinka	99	7	A
7203	542911	1	4	7	9	Ludmila	Bitalová	F			72	důchodkyně	Karolinka	99	7	A
7203	542911	1	4	7	10	Marie	Jurajdová	F			44	prodavačka	Karolinka	99	7	A
7203	542911	1	4	7	11	Jiří	Bitala	M			74	důchodce	Karolinka	99	7	A
7203	542911	1	4	7	12	Petr	Havliš	M			46	jednatel společnosti	Karolinka	99	7	A
7203	542911	1	4	7	13	Tomáš	Čampa	M			22	OSVČ	Karolinka	99	7	A
7203	542911	1	4	7	14	Ludmila	Pavelková	F			41	servírka	Karolinka	99	7	A
7203	542911	1	4	7	15	Josef	Urban	M			29	řidič dálkové přepravy	Karolinka	7	7	A
7203	542911	1	5	902	1	Michal	Orság	M			38	manažer nákupu	Karolinka	99	80	A
7203	542911	1	5	902	2	Vlastimil	Rapant	M	Ing.		33	projektant	Karolinka	99	80	A
7203	542911	1	5	902	3	Oldřich	Pavelka	M	Mgr.		58	učitel	Karolinka	99	80	A
7203	542911	1	5	902	4	Petra	Křupalová	F			36	malířka skla	Karolinka	99	80	A
7203	542911	1	5	902	5	Richard	Holiš	M	Bc.		52	team leader	Karolinka	99	80	A
7203	542911	1	5	902	6	Pavel	Horák	M			50	OSVČ	Karolinka	99	80	A
7203	542911	1	5	902	7	Josef	Michálek	M			41	OSVČ	Karolinka	99	80	A
7203	542911	1	5	902	8	Helena	Langrová	F			47	referent kalkulací a cen, předseda odbor.organizac	Karolinka	99	80	A
7203	542911	1	5	902	9	Martin	Balcar	M			40	vedoucí rekreačního střediska	Karolinka	99	80	A
7203	542911	1	5	902	10	Jiří	Malina	M			51	zaměstnanec wellness hotelu	Karolinka	99	80	A
7203	542911	1	5	902	11	Vlastimil	Gašek	M			45	výrobní seřizovač	Karolinka	99	80	A
7203	542911	1	5	902	12	Martin	Šarman	M			45	obchodně technický zástupce	Karolinka	99	80	A
7203	542911	1	5	902	13	Adam	Mikula	M	Ing.		28	rada pozemkových úprav	Karolinka	99	80	A
7203	542911	1	5	902	14	Josef	Orság	M			55	vedoucí údržbář	Karolinka	99	80	A
7203	542911	1	5	902	15	Václav	Skalka	M			57	vedoucí hrázný	Karolinka	99	80	A
7203	542911	1	6	903	1	Jiří	Čampa	M	Bc.		46	policista	Karolinka	99	80	A
7203	542911	1	6	903	2	Jiří	Orság	M			45	policista	Karolinka	99	80	A
7203	542911	1	6	903	3	Petr	Hána	M			67	důchodce	Karolinka	99	80	A
7203	542911	1	6	903	4	Karel	Pavelka	M			53	OSVČ	Karolinka	99	80	A
7203	542911	1	6	903	5	Karel	Boroš	M			57	hlídač	Karolinka	99	80	A
7203	542911	1	6	903	6	Dagmar	Martincová	F			36	pokojská	Karolinka	99	80	A
7203	542911	1	6	903	7	Marek	Gerstberger	M			33	OSVČ	Karolinka	99	80	A
7203	542911	1	6	903	8	Milan	Orság	M			40	soukromý zemědělec	Karolinka	99	80	A
7203	542911	1	6	903	9	Jiří	Ondryáš	M			46	mistr	Karolinka	99	80	A
7203	542911	1	6	903	10	Rostislav	Janík	M			47	technik	Karolinka	99	80	A
7203	542911	1	6	903	11	Jaromír	Orság	M			53	řidič autobusu	Karolinka	99	80	A
