OKRES	KODZASTUP	COBVODU	POR_STR_HL	OSTRANA	PORCISLO	JMENO	PRIJMENI	TITULPRED	TITULZA	VEK	POVOLANI	BYDLISTEN	PSTRANA	NSTRANA	PLATNOST	POHLAVI
7203	544931	1	1	902	1	Ladislava	Šerá			47	starostka	Študlov	99	80	A	F
7203	544931	1	2	901	1	Ludmila	Proislová	Mgr.		61	ředitelka ZŠ	Študlov	99	80	A	F
7203	544931	1	3	1	1	Petr	Běloň			38	mechanik - seřizovač	Študlov	99	1	A	M
7203	544931	1	1	902	2	Martina	Havelková	Ing.	DiS.	34	všeobecná sestra	Študlov	99	80	A	F
7203	544931	1	2	901	2	Alois	Polách			67	elektromechanik	Študlov	99	80	A	M
7203	544931	1	3	1	2	Tomáš	Zádrapa	Mgr.		29	právník	Študlov	99	1	A	M
7203	544931	1	1	902	3	Tomáš	Polách			44	OSVČ	Študlov	99	80	A	M
7203	544931	1	2	901	3	Svatopluk	Surovec			50	živnostník	Študlov	99	80	A	M
7203	544931	1	3	1	3	Jan	Polách			62	OSVČ	Študlov	99	1	A	M
7203	544931	1	1	902	4	Kateřina	Mačková		DiS.	34	všeobecná sestra	Študlov	99	80	A	F
7203	544931	1	2	901	4	Hana	Poláchová	Mgr.		35	učitelka	Študlov	99	80	A	F
7203	544931	1	3	1	4	František	Tvarůžek			57	podnikatel	Študlov	1	1	A	M
7203	544931	1	1	902	5	Anna	Čížová			42	všeobecná sestra	Študlov	99	80	A	F
7203	544931	1	2	901	5	Jarmila	Mikušová			52	prodavačka	Študlov	99	80	A	F
7203	544931	1	3	1	5	Pavel	Janáč			62	zedník	Študlov	1	1	A	M
7203	544931	1	1	902	6	Marie	Vaňková	Mgr.		52	vedoucí Centra pro rodinu	Študlov	99	80	A	F
7203	544931	1	2	901	6	Mojmír	Ďulík			53	prodavač	Študlov	99	80	A	M
7203	544931	1	3	1	6	Hana	Smetánková			45	mateř. dovolená	Študlov	99	1	A	F
7203	544931	1	1	902	7	Renáta	Vašičková			50	kontrolorka výroby	Študlov	99	80	A	F
7203	544931	1	2	901	7	Josef	Orság			46	dělník	Študlov	99	80	A	M
7203	544931	1	3	1	7	Rostislav	Čureček			53	zámečník	Študlov	99	1	A	M
7203	544931	1	1	902	8	Stanislav	Šerý			48	OSVČ	Študlov	99	80	A	M
7203	544931	1	2	901	8	Josef	Chovanec			48	živnostník	Študlov	99	80	A	M
7203	544931	1	3	1	8	Antonín	Tvarůžek			54	elektromechanik	Študlov	1	1	A	M
7203	544931	1	1	902	9	Marie	Poláchová			69	důchodkyně	Študlov	99	80	A	F
7203	544931	1	2	901	9	Marie	Řeháková			46	prodavačka	Študlov	99	80	A	F
7203	544931	1	3	1	9	Josef	Chovanec			48	nástrojař	Študlov	99	1	A	M
