OKRES	KODZASTUP	COBVODU	POR_STR_HL	OSTRANA	PORCISLO	JMENO	PRIJMENI	POHLAVI	TITULPRED	TITULZA	VEK	POVOLANI	BYDLISTEN	PSTRANA	NSTRANA	PLATNOST
6206	593222	1	1	7	1	Radek	Hrabovský	M			43	stavební technik	Křižanovice	99	7	A
6206	593222	1	1	7	2	Pavel Lukáš	Ehrenberger	M	Bc.		44	strážník městs. policie, soudce z lidu (přísedící)	Křižanovice	7	7	A
6206	593222	1	1	7	3	Miloš	Zahradník	M			37	OSVČ	Křižanovice	7	7	A
6206	593222	1	1	7	4	Zdeňka	Floriánová	F			68	důchodkyně	Křižanovice	99	7	A
6206	593222	1	1	7	5	Petr	Hedbávný	M			40	kuchař	Křižanovice	99	7	A
6206	593222	1	1	7	6	Květoslava	Hrabovská	F			42	řeznice	Křižanovice	99	7	A
6206	593222	1	1	7	7	Radim	Vrána	M	Mgr.		46	nákupčí	Křižanovice	99	7	A
6206	593222	1	1	7	8	Martina	Křetínská	F			48	OSVČ	Křižanovice	99	7	A
6206	593222	1	1	7	9	Michal	Krátký	M			56	OSVČ	Křižanovice	99	7	A
6206	593222	1	1	7	10	Jana	Duráková	F			40	dělnice	Křižanovice	99	7	A
6206	593222	1	1	7	11	Miroslava	Kalendová	F			47	dělnice	Křižanovice	99	7	A
6206	593222	1	2	901	1	Lubomír	Cenek	M			50	elektrotechnik	Křižanovice	99	80	A
6206	593222	1	2	901	2	Radim	Kukla	M			40	THP	Křižanovice	99	80	A
6206	593222	1	2	901	3	Marie	Rozehnalová	F			55	ekonom	Křižanovice	99	80	A
6206	593222	1	2	901	4	Josef	Klusoň	M	doc. Mgr.	Ph.D.	44	vědecký pracovník	Křižanovice	99	80	A
6206	593222	1	2	901	5	Světlana	Honsová	F			37	HR specialista	Křižanovice	99	80	A
6206	593222	1	2	901	6	Stanislav	Vinklárek	M			39	elektromechanik	Křižanovice	99	80	A
6206	593222	1	2	901	7	Jiří	Gottwald	M			39	bezpečnostní technik	Křižanovice	99	80	A
6206	593222	1	2	901	8	Martin	Cabala	M	Ing.		33	ekonom	Křižanovice	53	80	A
6206	593222	1	2	901	9	Jan	Horáček	M			39	obchodní manažer	Křižanovice	99	80	A
6206	593222	1	2	901	10	Eva	Malá	F	Ing.		40	ekonom	Křižanovice	99	80	A
6206	593222	1	2	901	11	Petr	Voňka	M			42	zemědělec	Křižanovice	99	80	A
