OKRES	KODZASTUP	COBVODU	POR_STR_HL	OSTRANA	PORCISLO	JMENO	PRIJMENI	TITULPRED	TITULZA	VEK	POVOLANI	BYDLISTEN	PSTRANA	NSTRANA	PLATNOST	POHLAVI
6207	593737	1	1	902	1	Marian	Mandát			42	řidič	Stupešice	99	80	A	M
6207	593737	1	2	901	1	Václav	Svoboda			50	svářeč, zámečník	Ratišovice	99	80	A	M
6207	593737	1	3	903	1	Iveta	Moudrá	Mgr. Bc.		49	starostka	Běhařovice	99	80	A	F
6207	593737	1	1	902	2	Šárka	Holubová			42	úřednice	Stupešice	99	80	A	F
6207	593737	1	2	901	2	Rostislav	Novák			47	montér-plynař	Stupešice	99	80	A	M
6207	593737	1	3	903	2	Hana	Vavřinová	Bc.		30	úřednice	Běhařovice	99	80	A	F
6207	593737	1	1	902	3	Petr	Navrátil			47	svářeč kovů	Stupešice	99	80	A	M
6207	593737	1	2	901	3	Marie	Plechatá			37	odborná referentka	Ratišovice	99	80	A	F
6207	593737	1	3	903	3	Lubomír	Kožnar			45	mistr výroby	Běhařovice	99	80	A	M
6207	593737	1	1	902	4	David	Holub			44	zedník-obkladač	Stupešice	99	80	A	M
6207	593737	1	2	901	4	Milada	Ludvíková			73	důchodkyně	Běhařovice	99	80	A	F
6207	593737	1	3	903	4	František	Vavřina			31	OSVČ	Běhařovice	99	80	A	M
6207	593737	1	1	902	5	Rudolf	Veselý			34	stavební dělník	Stupešice	99	80	A	M
6207	593737	1	2	901	5	Ladislav	Holcr			44	ošetřovatel hospodářských zvířat	Ratišovice	99	80	A	M
6207	593737	1	3	903	5	Ilona	Černá			46	poštovní doručovatelka	Běhařovice	99	80	A	F
6207	593737	1	1	902	6	Hana	Bulínová			46	úřednice	Stupešice	99	80	A	F
6207	593737	1	2	901	6	Milan	Polák			38	svářeč, zámečník	Stupešice	99	80	A	M
6207	593737	1	3	903	6	Alena	Jelínková	Bc.		38	OSVČ	Běhařovice	99	80	A	F
6207	593737	1	1	902	7	Jaroslav	Jelínek			34	soustružník	Stupešice	99	80	A	M
6207	593737	1	2	901	7	Jakub	Hůrek			33	živnostník	Ratišovice	99	80	A	M
6207	593737	1	3	903	7	Jiří	Čapoun			61	OSVČ	Běhařovice	99	80	A	M
6207	593737	1	1	902	8	Roman	Ďuračka			40	invalidní důchodce	Stupešice	99	80	A	M
6207	593737	1	2	901	8	Milan	Dřevojan			60	zedník	Ratišovice	99	80	A	M
6207	593737	1	3	903	8	Veronika	Horáková			40	poštovní doručovatelka	Běhařovice	99	80	A	F
6207	593737	1	2	901	9	Leoš	Kovařík			53	elektromontér	Běhařovice	99	80	A	M
6207	593737	1	3	903	9	Pavel	Kaláb	Bc.		42	policista	Běhařovice	99	80	A	M
