OKRES	KODZASTUP	COBVODU	POR_STR_HL	OSTRANA	PORCISLO	JMENO	PRIJMENI	POHLAVI	TITULPRED	TITULZA	VEK	POVOLANI	BYDLISTEN	PSTRANA	NSTRANA	PLATNOST
6207	594351	1	1	901	1	Pavel	Herman	M			42	zootechnik	Lesonice	99	80	A
6207	594351	1	1	901	2	Michal	Veleba	M	Ing.		44	úředník	Lesonice	99	80	A
6207	594351	1	1	901	3	Rudolf	Pazourek	M			55	specialista v dopravě	Lesonice	99	80	A
6207	594351	1	1	901	4	Josef	Kocáb	M			56	dělník	Lesonice	99	80	A
6207	594351	1	1	901	5	Danuše	Jelínková	F			61	kuchařka	Lesonice	99	80	A
6207	594351	1	1	901	6	Vítězslav	Urbánek	M			56	úředník	Lesonice	99	80	A
6207	594351	1	2	902	1	Marek	Štros	M	Bc.		33	mechanizátor	Lesonice	99	80	A
6207	594351	1	2	902	2	Lenka	Vaníčková	F	Bc.		54	úřednice	Lesonice	99	80	A
6207	594351	1	2	902	3	Milena	Chvalovská	F			64	laborantka	Lesonice	99	80	A
6207	594351	1	2	902	4	David	Pejsar	M			41	dělník	Lesonice	99	80	A
6207	594351	1	2	902	5	Monika	Zedníková	F			41	zdravotní sestra	Lesonice	99	80	A
6207	594351	1	2	902	6	Petr	Vespalec	M			44	dělník	Lesonice	99	80	A
