OKRES	KODZASTUP	COBVODU	POR_STR_HL	OSTRANA	PORCISLO	JMENO	PRIJMENI	POHLAVI	TITULPRED	TITULZA	VEK	POVOLANI	BYDLISTEN	PSTRANA	NSTRANA	PLATNOST
2102	531162	1	1	902	1	Roman	Čech	M			51	servisní technik	Felbabka	99	80	A
2102	531162	1	1	902	2	Jana	Uriková	F			41	administrativní pracovník	Felbabka	99	80	A
2102	531162	1	1	902	3	Jaroslav	Kořínek	M			37	mechanik strojů a zařízení	Felbabka	99	80	A
2102	531162	1	1	902	4	David	Volejník	M			47	technolog	Felbabka	99	80	A
2102	531162	1	1	902	5	Michal	Labský	M			55	mistr ve skladu	Felbabka	99	80	A
2102	531162	1	1	902	6	Jiří	Červenka ml.	M			49	dělník	Felbabka	99	80	A
2102	531162	1	1	902	7	Romana	Záhoříková	F			49	správce DS a DPS	Felbabka	99	80	A
2102	531162	1	2	7	1	Libor	Štorkán	M			51	podnikatel	Felbabka	7	7	A
2102	531162	1	2	7	2	Dana	Feňáková	F			48	administrativní pracovník	Felbabka	99	7	A
2102	531162	1	2	7	3	Petra	Kadeřábková	F			47	cukrářka	Felbabka	99	7	A
2102	531162	1	2	7	4	Zdeněk	Sábel	M			48	vedoucí střediska	Felbabka	99	7	A
2102	531162	1	2	7	5	Stanislav	Prepsl	M			44	truhlář	Felbabka	99	7	A
2102	531162	1	2	7	6	Alexandr	Ohrablo	M			70	důchodce	Felbabka	99	7	A
2102	531162	1	2	7	7	Jaromír	Anděl	M			63	klempíř, pokrývač	Felbabka	99	7	A
2102	531162	1	3	901	1	Martin	Vybíral	M	Bc.		35	vrchní komisař PČR	Felbabka	99	80	A
2102	531162	1	3	901	2	Vojtěch	Petřík	M			34	stavební a technický dozor	Felbabka	99	80	A
2102	531162	1	3	901	3	Miroslav	Kotěra	M			70	důchodce	Felbabka	99	80	A
2102	531162	1	3	901	4	Milan	Štochl	M			29	elektrikář	Felbabka	99	80	A
2102	531162	1	3	901	5	Josef	Jahelka	M			45	OSVČ	Felbabka	99	80	A
2102	531162	1	3	901	6	František	Touš	M			50	skladník	Felbabka	99	80	A
2102	531162	1	3	901	7	Jiří	Anděl	M			72	důchodce	Felbabka	99	80	A
