OKRES	KODZASTUP	COBVODU	POR_STR_HL	OSTRANA	PORCISLO	JMENO	PRIJMENI	TITULPRED	TITULZA	VEK	POVOLANI	BYDLISTEN	PSTRANA	NSTRANA	PLATNOST	POHLAVI
6201	581330	1	1	902	1	Petr	Kolář	Ing.		44	projektant	Benešov	99	80	A	M
6201	581330	1	2	1	1	Michal	Kovařík			43	řidič autobusu	Benešov	99	1	A	M
6201	581330	1	3	901	1	Lukáš	Krénar			42	dělník	Benešov	99	80	A	M
6201	581330	1	1	902	2	Martin	Abrahám	Ing.		31	výzkumný pracovník	Benešov	99	80	A	M
6201	581330	1	2	1	2	Petr	Švancara			33	konstruktér	Benešov	99	1	A	M
6201	581330	1	3	901	2	Lukáš	Minx			43	dělník	Benešov	99	80	A	M
6201	581330	1	1	902	3	Jindřich	Kolář	Ing.		61	soukromý podnikatel	Benešov	99	80	A	M
6201	581330	1	2	1	3	Jana	Šteflová	Ing.		41	tester softwaru	Benešov	721	1	A	F
6201	581330	1	3	901	3	Vít	Koudelka			36	dělník	Benešov	99	80	A	M
6201	581330	1	1	902	4	Michal	Abrahám	Ing.		34	soukromý podnikatel	Benešov	99	80	A	M
6201	581330	1	2	1	4	Veronika	Koudelková	Mgr.		27	advokátní koncipient	Benešov	99	1	A	F
6201	581330	1	3	901	4	Mojmír	Slepánek	Ing.		27	projektant	Benešov	99	80	A	M
6201	581330	1	1	902	5	Dagmar	Hebelková			60	kuchařka	Benešov	99	80	A	F
6201	581330	1	2	1	5	Petr	Koudelka	Ing.		58	technik	Benešov	99	1	A	M
6201	581330	1	3	901	5	Martin	Švéda	Ing.		26	vedoucí výroby	Benešov	99	80	A	M
6201	581330	1	1	902	6	Leona	Koledová	Mgr.		53	učitelka	Benešov	99	80	A	F
6201	581330	1	2	1	6	Zdeněk	Veselý			40	elektromechanik	Benešov	99	1	A	M
6201	581330	1	3	901	6	Lenka	Kosková			44	fakturantka	Benešov	99	80	A	F
6201	581330	1	1	902	7	Jiří	Barák			53	soukromý podnikatel	Benešov	99	80	A	M
6201	581330	1	2	1	7	Tereza	Koudelková	Mgr. et Mgr.		32	finanční analytička	Benešov	99	1	A	F
6201	581330	1	3	901	7	Petr	Klučka			35	OSVČ	Benešov	99	80	A	M
6201	581330	1	1	902	8	Zdenka	Šínová			60	obchodní referent	Benešov	99	80	A	F
6201	581330	1	2	1	8	Karel	Všetula			68	důchodce	Benešov	99	1	A	M
6201	581330	1	3	901	8	David	Chládek	Bc.		46	státní správa	Benešov	99	80	A	M
6201	581330	1	1	902	9	Ludmila	Abrahámová			53	prodavačka	Benešov	99	80	A	F
6201	581330	1	2	1	9	Alena	Veselá			39	prodavačka	Benešov	99	1	A	F
6201	581330	1	3	901	9	Pavol	Herda			61	dělník	Benešov	99	80	A	M
6201	581330	1	1	902	10	Tomáš	Mucha			29	dělník	Benešov	99	80	A	M
6201	581330	1	2	1	10	Kateřina	Palečková			48	nezaměstnaná	Benešov	99	1	A	F
6201	581330	1	3	901	10	Jiří	Vaněrek			51	pečující osoba	Benešov	99	80	A	M
6201	581330	1	1	902	11	Iveta	Baráková			52	dělnice	Benešov	99	80	A	F
6201	581330	1	2	1	11	Kamila	Balašová			28	asistent pedagoga	Benešov	99	1	A	F
6201	581330	1	3	901	11	Lukáš	Zemánek	Ing.		34	elektrokonstruktér	Benešov	99	80	A	M
6201	581330	1	1	902	12	Lubomír	Šín	Mgr.		38	ředitel	Benešov	99	80	A	M
6201	581330	1	2	1	12	Jiří	Abrle			41	OSVČ	Benešov	99	1	A	M
6201	581330	1	3	901	12	Michal	Havelka	Ing.		40	OSVČ	Benešov	99	80	A	M
6201	581330	1	1	902	13	Světlana	Chlupová			46	pracovník přepážky-specialista	Benešov	99	80	A	F
6201	581330	1	2	1	13	Marta	Skotáková			65	důchodce	Benešov	99	1	A	F
6201	581330	1	3	901	13	Radek	Polák	Ing.		37	servisní manažer	Benešov	99	80	A	M
6201	581330	1	1	902	14	Petra	Vondálová			42	dělnice	Benešov	99	80	A	F
6201	581330	1	2	1	14	Monika	Linder			45	důchodce	Benešov	99	1	A	F
6201	581330	1	3	901	14	Lenka	Švédová			24	studentka	Benešov	99	80	A	F
6201	581330	1	1	902	15	Antonín	Rus			67	starosta	Benešov	99	80	A	M
6201	581330	1	2	1	15	Jan	Zachoval			72	důchodce	Benešov	99	1	A	M
6201	581330	1	3	901	15	Michal	Kovář			30	dělník	Benešov	99	80	A	M
