OKRES	KODZASTUP	COBVODU	POR_STR_HL	OSTRANA	PORCISLO	JMENO	PRIJMENI	TITULPRED	TITULZA	VEK	POVOLANI	BYDLISTEN	PSTRANA	NSTRANA	PLATNOST	POHLAVI
6201	581739	1	1	181	1	Petr	Grénar			44	zkušební komisař	Knínice	99	181	A	M
6201	581739	1	2	902	1	Pavel	Lajšner			47	technik, místostarosta	Knínice	99	80	A	M
6201	581739	1	3	901	1	Miroslav	Přikryl			37	městská policie	Knínice	99	80	A	M
6201	581739	1	4	904	1	Tomáš	Trmač			24	operátor vyvážecí soupravy	Knínice	99	80	A	M
6201	581739	1	5	903	1	Tomáš	Bohatec			39	jednatel společnosti	Knínice	99	80	A	M
6201	581739	1	1	181	2	Miroslav	Hartl	Bc.		39	tajemník MěÚ	Knínice	99	181	A	M
6201	581739	1	2	902	2	Petr	Ševčík			47	živnostník	Knínice	99	80	A	M
6201	581739	1	3	901	2	Pavel	Přikryl			44	mistr ve stavebnictví	Knínice	99	80	A	M
6201	581739	1	4	904	2	Michal	Zemánek	Bc.		25	student	Knínice	99	80	A	M
6201	581739	1	5	903	2	Miroslav	Přikryl			65	jednatel	Knínice	99	80	A	M
6201	581739	1	1	181	3	Petr	Ošlejšek	Mgr.		54	učitel	Knínice	99	181	A	M
6201	581739	1	2	902	3	Tomáš	Trmač			47	státní zaměstnanec	Knínice	99	80	A	M
6201	581739	1	3	901	3	Petr	Grulich			42	voják	Knínice	99	80	A	M
6201	581739	1	4	904	3	Matěj	Lajšner			22	elektromontér	Knínice	99	80	A	M
6201	581739	1	5	903	3	Vlastimil	Blaha			52	obchodní zástupce	Knínice	99	80	A	M
6201	581739	1	1	181	4	Michal	Štolfa	Ing.		43	procesní inženýr	Knínice	99	181	A	M
6201	581739	1	2	902	4	Kateřina	Pokorná			45	učitelka MŠ	Knínice	99	80	A	F
6201	581739	1	3	901	4	Lubomír	Koutný			52	klempíř	Knínice	99	80	A	M
6201	581739	1	4	904	4	Martin	Oliva			20	student	Knínice	99	80	A	M
6201	581739	1	5	903	4	Adam	Jedlička			27	projektant	Knínice	99	80	A	M
6201	581739	1	1	181	5	Miroslav	Dvořák			54	elektrikář	Knínice	99	181	A	M
6201	581739	1	2	902	5	Daneš	Pulec			58	školník	Knínice	99	80	A	M
6201	581739	1	3	901	5	Jiří	Barva			35	software konzultant	Knínice	99	80	A	M
6201	581739	1	4	904	5	Pavel	Trmač			21	PČR	Knínice	99	80	A	M
6201	581739	1	5	903	5	Lenka	Ožvoldíková			43	mzdová účetní	Knínice	99	80	A	F
6201	581739	1	1	181	6	František	Dračka			57	elektrikář	Knínice	99	181	A	M
6201	581739	1	2	902	6	Miroslava	Pitnerová			56	pracovník v sociálních službách	Knínice	99	80	A	F
6201	581739	1	3	901	6	Stanislav	Šaršon			38	konstruktér	Knínice	99	80	A	M
6201	581739	1	4	904	6	Aneta	Bílková	Ing.		25	nutriční terapeut	Knínice	99	80	A	F
6201	581739	1	5	903	6	Lucie	Görlichová			40	sekretářka	Knínice	99	80	A	F
6201	581739	1	1	181	7	Radovan	Jedlička			51	OSVČ	Knínice	99	181	A	M
6201	581739	1	2	902	7	Michal	Oliva			50	elektromontér	Knínice	99	80	A	M
6201	581739	1	3	901	7	Jiří	Petr			54	technik Městyse	Knínice	99	80	A	M
6201	581739	1	4	904	7	Zdeněk	David			18	student	Knínice	99	80	A	M
6201	581739	1	5	903	7	Roman	Ožvoldík			43	technik	Knínice	99	80	A	M
6201	581739	1	1	181	8	Anežka	Přikrylová			52	administrativní pracovnice	Knínice	99	181	A	F
6201	581739	1	2	902	8	František	Pitner	Ing.		69	důchodce	Knínice	99	80	A	M
6201	581739	1	3	901	8	Josef	Přikryl			36	zedník	Knínice	99	80	A	M
6201	581739	1	4	904	8	Adéla	Pokorná	Mgr.		24	učitelka	Knínice	99	80	A	F
6201	581739	1	5	903	8	Miroslav	Tomášek			46	technik	Knínice	99	80	A	M
6201	581739	1	1	181	9	Daniela	Valentová			42	prodavačka	Knínice	99	181	A	F
6201	581739	1	2	902	9	Jana	Petrová			52	účetní	Knínice	99	80	A	F
6201	581739	1	3	901	9	Lukáš	Soška			36	klempíř	Knínice	99	80	A	M
6201	581739	1	4	904	9	Štěpán	Ambrož			24	seřizovač CNC	Knínice	99	80	A	M
6201	581739	1	5	903	9	Veronika	Blahová			31	projektový manager	Knínice	99	80	A	F
