OKRES	KODZASTUP	COBVODU	POR_STR_HL	OSTRANA	PORCISLO	JMENO	PRIJMENI	TITULPRED	TITULZA	VEK	POVOLANI	BYDLISTEN	PSTRANA	NSTRANA	PLATNOST	POHLAVI
6201	582727	1	1	902	1	František	Tenora			62	podnikatel	Zbraslavec	99	80	A	M
6201	582727	1	2	901	1	Milan	Vaněrka			60	elektromontér	Zbraslavec	99	80	A	M
6201	582727	1	3	903	1	Michal	Štoudek			36	OSVČ	Zbraslavec	99	80	A	M
6201	582727	1	1	902	2	Pavel	Doležel	Ing.		26	konstruktér	Zbraslavec	99	80	A	M
6201	582727	1	2	901	2	Zdeněk	Křepela			40	programátor analytik	Zbraslavec	99	80	A	M
6201	582727	1	3	903	2	Zdeněk	Tenora			60	zámečník	Zbraslavec	99	80	A	M
6201	582727	1	1	902	3	Ondřej	Kyzlink			37	podnikatel	Zbraslavec	99	80	A	M
6201	582727	1	2	901	3	Vladimír	Odehnal	Ing.		58	ekonom	Zbraslavec	99	80	A	M
6201	582727	1	3	903	3	Aleš	Hrnčíř			55	hasič-vyšetřovatel požárů	Zbraslavec	99	80	A	M
6201	582727	1	1	902	4	Pavel	Dufek			29	podnikatel	Zbraslavec	99	80	A	M
6201	582727	1	2	901	4	Pavel	Pelíšek			38	elektrokonstruktér	Zbraslavec	99	80	A	M
6201	582727	1	3	903	4	Václav	Křepela			47	OSVČ	Zbraslavec	99	80	A	M
6201	582727	1	1	902	5	Dominik	Špinar			31	vedoucí směny	Zbraslavec	99	80	A	M
6201	582727	1	2	901	5	Libor	Knoflíček			50	mistr elektrikář	Zbraslavec	99	80	A	M
6201	582727	1	2	901	6	Tomáš	Tenora			34	skladník	Zbraslavec	99	80	A	M
