OKRES	KODZASTUP	COBVODU	POR_STR_HL	OSTRANA	PORCISLO	JMENO	PRIJMENI	TITULPRED	TITULZA	VEK	POVOLANI	BYDLISTEN	PSTRANA	NSTRANA	PLATNOST	POHLAVI
6204	584649	1	1	47	1	Vojtěch	Jedlička	Mgr. Bc.		43	právník	Mikulov	99	47	A	M
6204	584649	1	2	166	1	Petra	Korlaar	Mgr.		40	středoškolský pedagog	Mikulov	166	166	A	F
6204	584649	1	3	768	1	Martin	Chromý			51	jednatel pohřební služby	Mikulov	768	768	A	M
6204	584649	1	4	901	1	Darja	Kocábová	Mgr.		54	archivářka a opoziční zastupitelka	Mikulov	99	80	A	F
6204	584649	1	5	720	1	Ivo	Hrdlička	Ing. arch.		45	architekt	Mikulov	720	720	A	M
6204	584649	1	6	7	1	Zbyněk	Tureček	Mgr.		32	učitel na základní škole	Mikulov	7	7	A	M
6204	584649	1	7	53	1	Pavel	Šuba			60	podnikatel	Mikulov	53	53	A	M
6204	584649	1	8	1	1	Jiří	Švadlenka			69	důchodce	Mikulov	1	1	A	M
6204	584649	1	9	1245	1	Lenka	Jadrná		DBA	52	pedagogický pracovník	Mikulov	1245	1245	A	F
6204	584649	1	1	47	2	Antonín	Šišulák			60	dělník	Mikulov	47	47	A	M
6204	584649	1	2	166	2	Rostislav	Souchop	Mgr.		52	ředitel ZŠ	Mikulov	99	166	A	M
6204	584649	1	3	768	2	Marta	Korandová	Mgr.		51	vedoucí sociálního a zdravotního úseku G- centra	Mikulov	99	768	A	F
6204	584649	1	4	901	2	Jan	Vrbka	MUDr.		35	chirurg	Mikulov	99	80	A	M
6204	584649	1	5	720	2	Stanislav	Mach	Ing. et Ing.		32	projektant	Mikulov	720	720	A	M
6204	584649	1	6	7	2	Hana	Míčková	Mgr.		51	zástupkyně ředitele základní školy	Mikulov	7	7	A	F
6204	584649	1	7	53	2	Rostislav	Koštial			61	starosta města, vinohradník, zemědělec	Mikulov	53	53	A	M
6204	584649	1	8	1	2	Jana	Vlková	Mgr.		63	žurnalistka	Mikulov	99	1	A	F
6204	584649	1	9	1245	2	Richard	Stacha			45	OSVČ	Mikulov	99	1245	A	M
6204	584649	1	1	47	3	Stanislav	Baláž			56	podnikatel	Mikulov	99	47	A	M
6204	584649	1	2	166	3	Jaromír	Crhan	Mgr.		75	aktivní důchodce	Mikulov	99	166	A	M
6204	584649	1	3	768	3	Karel	Pavlík	Mgr.		65	ředitel Mikulovské sportovní, p.o.	Mikulov	99	768	A	M
6204	584649	1	4	901	3	Tomáš	Zejda			39	projektový inženýr	Mikulov	99	80	A	M
6204	584649	1	5	720	3	Josef	Bárta	Ing.		32	aplikační inženýr	Mikulov	720	720	A	M
6204	584649	1	6	7	3	Zbyněk	Tureček	Mgr.		54	ředitel příspěvkové organizace JMK	Mikulov	7	7	A	M
6204	584649	1	7	53	3	Ivo	Koneš	MUDr.		71	lékař	Mikulov	53	53	A	M
6204	584649	1	8	1	3	Lubomír	Husák	Ing.		42	specialista	Mikulov	99	1	A	M
6204	584649	1	9	1245	3	Jiří	Federsel			47	pracovník v sociálních službách	Mikulov	99	1245	A	M
6204	584649	1	1	47	4	Janka	Šišuláková			59	zdravotní sestra	Mikulov	47	47	A	F
6204	584649	1	2	166	4	Jiří	Matuška	RNDr.		63	ochranář přírody	Mikulov	99	166	A	M
6204	584649	1	3	768	4	Petr	Kulhavý		B. A.	45	policista	Mikulov	99	768	A	M
6204	584649	1	4	901	4	Vojtěch	Mihalík	JUDr.		35	advokát a opoziční zastupitel	Mikulov	99	80	A	M
6204	584649	1	5	720	4	Petra	Szekeresová	MUDr.		29	lékařka	Mikulov	720	720	A	F
6204	584649	1	6	7	4	Sylva	Chludilová			59	místostarostka města Mikulov	Mikulov	99	7	A	F
6204	584649	1	7	53	4	Petr	Marcinčák	Ing.	B. A.	57	vinař	Mikulov	53	53	A	M
6204	584649	1	8	1	4	Slavomír	Měšťánek	MUDr.		70	lékař	Mikulov	99	1	A	M
6204	584649	1	9	1245	4	Lenka	Šebestová	Mgr.		46	učitelka	Mikulov	99	1245	A	F
6204	584649	1	1	47	5	Marek	Michna			49	mechanik	Mikulov	47	47	A	M
6204	584649	1	2	166	5	Tomáš	Hlavenka	Ing. et Ing.	MBA	39	konzultant v oblasti odpadového hospodářství	Mikulov	721	166	A	M
6204	584649	1	3	768	5	Milan	Poláček	MUDr.		49	dětský lékař	Mikulov	99	768	A	M
6204	584649	1	4	901	5	Jiří	Szekeres	Mgr.		36	konzervátor	Mikulov	99	80	A	M
6204	584649	1	5	720	5	Petra	Janelová			48	podnikatelka	Mikulov	720	720	A	F
6204	584649	1	6	7	5	Leona	Alexová	Mgr. Bc.	MBA	52	místostarostka města Mikulov	Mikulov	7	7	A	F
6204	584649	1	7	53	5	Kateřina	Šílová	Mgr.		48	vinařka	Mikulov	53	53	A	F
6204	584649	1	8	1	5	Vojtěch	Příbramský			74	stavební technik	Mikulov	1	1	A	M
6204	584649	1	9	1245	5	Radek	Otoupalík			44	provozní ředitel	Mikulov	99	1245	A	M
6204	584649	1	1	47	6	Stanislav	Šprtel	JUDr.		67	důchodce	Mikulov	47	47	A	M
6204	584649	1	2	166	6	Miloš	Škamrada	Mgr.		43	advokát	Mikulov	99	166	A	M
6204	584649	1	3	768	6	Jiří	Soukup			61	bezpečnostní analytik	Mikulov	99	768	A	M
6204	584649	1	4	901	6	Jana	Svojáková	Mgr.		46	optik- optometrista, podnikatelka	Mikulov	99	80	A	F
6204	584649	1	5	720	6	Jiří	Daniel	Ing.	MBA, MSc.	47	finanční ředitel, zastupitel	Mikulov	99	720	A	M
6204	584649	1	6	7	6	Vítězslav	Pfeffer			60	geodet	Mikulov	99	7	A	M
6204	584649	1	7	53	6	Jiří	Tichý	Mgr.		41	právník	Mikulov	53	53	A	M
6204	584649	1	8	1	6	Michal	Vojtek	Ing.		36	elektroprojektant	Mikulov	99	1	A	M
6204	584649	1	9	1245	6	Helena	Židelová			37	pedagog volného času	Mikulov	99	1245	A	F
6204	584649	1	1	47	7	Denis	Hlavačka			19	student	Mikulov	47	47	A	M
6204	584649	1	2	166	7	Helena	Chytrá	Mgr.		34	botanička	Mikulov	99	166	A	F
6204	584649	1	3	768	7	Jitka	Sobotková	Mgr.		51	učitelka	Mikulov	99	768	A	F
6204	584649	1	4	901	7	Vlastimil	Mihalík	Ing.		37	ředitel výroby a opoziční zastupitel	Mikulov	99	80	A	M
6204	584649	1	5	720	7	Jana	Drochytková	Ing.		38	VŠ pedagožka, krajinářská projektantka	Mikulov	99	720	A	F
6204	584649	1	6	7	7	Karel	Štogl			71	technik	Mikulov	7	7	A	M
6204	584649	1	7	53	7	Silvie	Pospíšilová	Ing.		58	učitelka	Mikulov	53	53	A	F
6204	584649	1	8	1	7	Marie	Sheargold	Mgr.		47	pedagog	Mikulov	99	1	A	F
6204	584649	1	9	1245	7	Kamil	Míček	Mgr.		54	učitel	Mikulov	99	1245	A	M
6204	584649	1	1	47	8	Milan	Křivánek			51	dělník	Mikulov	99	47	A	M
