OKRES	KODZASTUP	COBVODU	POR_STR_HL	OSTRANA	PORCISLO	JMENO	PRIJMENI	POHLAVI	TITULPRED	TITULZA	VEK	POVOLANI	BYDLISTEN	PSTRANA	NSTRANA	PLATNOST
6202	551171	1	1	1504	1	Miroslav	Motyčka	M	JUDr.		79	právník	Brno-Jundrov	99	47	A
6202	551171	1	1	1504	2	Libuše	Gottwaldová	F			82	konstruktérka dopravních staveb	Brno-Jundrov	99	47	A
6202	551171	1	1	1504	3	Jarmila	Fukarová	F			84	důchodkyně	Brno-Jundrov	99	47	A
6202	551171	1	1	1504	4	Jan	Hošek	M			40	vedoucí pracovník	Brno-Jundrov	99	1221	A
6202	551171	1	1	1504	5	Věra	Hošková	F			70	OSVČ	Brno-Jundrov	99	1221	A
6202	551171	1	2	738	1	Richard	Hubl	M	Mgr.	Ph.D.	43	manažer rozvojových projektů Masarykovy univerzity	Brno-Jundrov	738	738	A
6202	551171	1	2	738	2	Lenka	Konopáčová	F	Ing.		35	IT analytik	Brno-Jundrov	99	738	A
6202	551171	1	2	738	3	Ondřej	Šťastník	M	Ing.		50	podnikatel v zemědělství	Brno-Jundrov	738	738	A
6202	551171	1	2	738	4	Zbyněk	Lenomar	M	Ing.		47	zaměstnanec veřejné správy	Brno-Jundrov	99	738	A
6202	551171	1	2	738	5	Jan	Soukup	M	PhDr.	Ph.D.	48	psycholog, pedagog	Brno-Jundrov	99	738	A
6202	551171	1	2	738	6	Pavel	Tyleček	M	Ing.		48	finanční ředitel	Brno-Jundrov	738	738	A
6202	551171	1	2	738	7	Michaela	Rychtecká	F	Ing.		39	metodik vzdělávání	Brno-Jundrov	99	738	A
6202	551171	1	2	738	8	Petr	Konopáč	M	Mgr.		38	právník, Masarykova univerzita	Brno-Jundrov	99	738	A
6202	551171	1	2	738	9	Helena	Vaňková	F	Mgr.		43	speciální pedagog - logoped	Brno-Jundrov	99	738	A
6202	551171	1	2	738	10	Šárka	Švecová	F	Mgr.		40	vedoucí týmu administrativní podpory	Brno-Jundrov	99	738	A
6202	551171	1	2	738	11	Petr	Kratina	M	MUDr.		84	lékař na penzi	Brno-Jundrov	99	738	A
6202	551171	1	2	738	12	Gabriela	Hublová	F	Mgr.	Ph.D.	41	VŠ pedagog, Masarykova univerzita	Brno-Jundrov	738	738	A
6202	551171	1	2	738	13	Jaroslav	Knoll	M			54	podnikatel	Brno-Jundrov	99	738	A
6202	551171	1	2	738	14	Antonín	Továrek	M	Mgr. Ing.		48	advokát	Brno-Jundrov	738	738	A
6202	551171	1	2	738	15	Jakub	Němec	M			53	stavební konzultant	Brno-Jundrov	99	738	A
6202	551171	1	3	364	1	Ivana	Fajnorová	F			54	starostka MČ Brno-Jundrov	Brno-Jundrov	5	5	A
6202	551171	1	3	364	2	Irena	Koláčná	F			50	administrativa, místostarostka MČ Brno-Jundrov	Brno-Jundrov	99	80	A
6202	551171	1	3	364	3	Lubomír	Hošek	M	MVDr.		64	veterinární lékař	Brno-Jundrov	99	80	A
6202	551171	1	3	364	4	Tomáš	Beránek	M			49	živnostník	Brno-Jundrov	99	80	A
6202	551171	1	3	364	5	Alena	Krestová	F	Ing.		46	IT pracovnice	Brno-Jundrov	99	80	A
6202	551171	1	3	364	6	Martina	Žídková	F	Mgr.		39	specialistka PR a marketingu	Brno-Jundrov	99	80	A
6202	551171	1	3	364	7	Radoslav	Hanák	M	Ing.		62	stavební podnikatel	Brno-Jundrov	99	80	A
6202	551171	1	3	364	8	Petr	Kameník	M	Ing. arch.		37	manažer	Brno-Jundrov	99	80	A
6202	551171	1	3	364	9	Daniela	Fejtková	F	Ing.		39	marketingová specialistka	Brno-Jundrov	99	80	A
6202	551171	1	3	364	10	Jan	Dungel	M			71	malíř, grafik	Brno-Jundrov	99	80	A
6202	551171	1	3	364	11	Aleš	Vyskočil	M	Mgr.	Ph.D.	48	historik	Brno-Jundrov	99	80	A
6202	551171	1	3	364	12	Lenka	Pivodová	F	Mgr.	Ph.D.	41	psycholožka	Brno-Jundrov	99	80	A
6202	551171	1	3	364	13	Jiří	Trubák	M	Ing.		57	zástupce vedoucího skladu	Brno-Jundrov	99	80	A
6202	551171	1	3	364	14	Pavlína	Doležalová	F	Mgr.		49	grafická designerka	Brno-Jundrov	99	80	A
6202	551171	1	3	364	15	Jaroslav	Dolák	M	Ing.		61	továrník	Brno-Jundrov	99	80	A
6202	551171	1	4	687	1	Michal	Chládek	M	Mgr.		26	advokátní koncipient a analytik	Brno-Jundrov	53	53	A
6202	551171	1	4	687	2	Ondřej	Vitula	M	Mgr.		28	učitel	Brno-Jundrov	99	53	A
6202	551171	1	4	687	3	Richard	Jílek	M			42	obchodní manažer	Brno-Jundrov	99	721	A
6202	551171	1	4	687	4	Renata	Šťastná	F	Ing.		58	referent	Brno-Jundrov	53	53	A
6202	551171	1	4	687	5	František	Vitula	M	Ing.	Ph.D.	60	lesní inženýr a soudní znalec	Brno-Jundrov	53	53	A
6202	551171	1	4	687	6	Michal	Kuba	M			47	OSVČ	Brno-Jundrov	99	53	A
6202	551171	1	4	687	7	Josef	Trojáček	M			37	podnikatel	Brno-Jundrov	99	53	A
6202	551171	1	4	687	8	Karel	Kroupa	M			42	sportovní manažer	Brno-Jundrov	99	53	A
6202	551171	1	4	687	9	Jarmila	Nováková	F			67	důchodce	Brno-Jundrov	721	721	A
6202	551171	1	4	687	10	Radim	Křivánek	M			58	obchodní vedoucí regionu MJ	Brno-Jundrov	53	53	A
6202	551171	1	4	687	11	Hana	Kašpárková	F	Mgr.		53	OSVČ	Brno-Jundrov	53	53	A
6202	551171	1	4	687	12	Jiří	Pokorný	M	Ing.		40	vedoucí zásobování	Brno-Jundrov	53	53	A
6202	551171	1	4	687	13	Daniel	Šperka	M			44	podnikatel	Brno-Jundrov	99	721	A
6202	551171	1	4	687	14	Jana	Sedláčková	F			45	administrativní pracovnice	Brno-Jundrov	99	53	A
6202	551171	1	4	687	15	Filip	Skoupý	M			47	obchodník	Brno-Jundrov	53	53	A
