OKRES	KODZASTUP	COBVODU	POR_STR_HL	OSTRANA	PORCISLO	JMENO	PRIJMENI	TITULPRED	TITULZA	VEK	POVOLANI	BYDLISTEN	PSTRANA	NSTRANA	PLATNOST	POHLAVI
6203	584720	1	1	1	1	Ondřej	Chumela			40	řidič, technik, vzorkař	Nosislav	99	1	A	M
6203	584720	1	2	901	1	Pavel	Fröhlich			58	starosta městyse	Nosislav	99	80	A	M
6203	584720	1	1	1	2	Lukáš	Kokrhel			27	prodejní technik	Nosislav	99	1	A	M
6203	584720	1	2	901	2	Josef	Crhák			43	obchodní poradce	Nosislav	99	80	A	M
6203	584720	1	1	1	3	Petr	Flekač			43	podnikatel	Nosislav	99	1	A	M
6203	584720	1	2	901	3	Martin	Burian			38	technik	Nosislav	99	80	A	M
6203	584720	1	1	1	4	Zbyněk	Čermák			35	kovoobráběč	Nosislav	99	1	A	M
6203	584720	1	2	901	4	Jaromír	Kokrhel	Bc.		57	jednatel	Nosislav	99	80	A	M
6203	584720	1	1	1	5	Rostislav	Laichman			55	technik	Nosislav	99	1	A	M
6203	584720	1	2	901	5	Martin	Beránek			38	cukrář	Nosislav	99	80	A	M
6203	584720	1	1	1	6	Petr	Jelínek			37	technolog	Nosislav	99	1	A	M
6203	584720	1	2	901	6	Alena	Novotná			52	mzdová účetní	Nosislav	99	80	A	F
6203	584720	1	1	1	7	Kamil	Rozek	Ing.		48	administrátor IT	Nosislav	99	1	A	M
6203	584720	1	2	901	7	Miroslav	Rylich			25	elektrotechnik	Nosislav	99	80	A	M
6203	584720	1	1	1	8	Josef	Pavka			49	zkušební technik	Nosislav	99	1	A	M
6203	584720	1	2	901	8	Petr	Svoboda			49	referent	Nosislav	99	80	A	M
6203	584720	1	1	1	9	Vojtěch	Mrkvica			30	vedoucí servisního centra	Nosislav	99	1	A	M
6203	584720	1	2	901	9	Lukáš	Vala	Ing.		29	jednatel	Nosislav	99	80	A	M
6203	584720	1	1	1	10	Martin	Jalový	Ing.		45	stavbyvedoucí	Nosislav	99	1	A	M
6203	584720	1	2	901	10	Karel	Hasala			63	instalatér	Nosislav	99	80	A	M
6203	584720	1	1	1	11	Tomáš	Havlát			38	OSVČ	Nosislav	99	1	A	M
6203	584720	1	2	901	11	Libor	Pilát			30	stavbyvedoucí	Nosislav	99	80	A	M
6203	584720	1	1	1	12	Martin	Zbořil	Bc.		32	truhlář	Nosislav	99	1	A	M
6203	584720	1	2	901	12	Ludmila	Mahovská			50	živnostník	Nosislav	99	80	A	F
6203	584720	1	1	1	13	Martin	Kern	Bc.		30	státní zaměstnanec	Nosislav	99	1	A	M
6203	584720	1	2	901	13	Drahomír	Mrkvica			57	geodet	Nosislav	99	80	A	M
6203	584720	1	1	1	14	Jan	Řihošek			38	OSVČ	Nosislav	99	1	A	M
6203	584720	1	2	901	14	Karel	Vodák			42	jednatel	Nosislav	99	80	A	M
6203	584720	1	2	901	15	Libor	Brabec			62	jednatel	Nosislav	99	80	A	M
