OKRES	KODZASTUP	COBVODU	POR_STR_HL	OSTRANA	PORCISLO	JMENO	PRIJMENI	TITULPRED	TITULZA	VEK	POVOLANI	BYDLISTEN	PSTRANA	NSTRANA	PLATNOST	POHLAVI
6203	584151	1	1	903	1	Pavel	Škarecký	Ing.		30	stavební inženýr	Vranov	99	80	A	M
6203	584151	1	2	901	1	Miloslav	Křivánek			59	stavbyvedoucí	Vranov	99	80	A	M
6203	584151	1	3	902	1	Robert	Škarecký			49	stavbyvedoucí	Vranov	99	80	A	M
6203	584151	1	4	53	1	Kateřina	Jetelinová	Ing.		59	starostka obce	Vranov	53	53	A	F
6203	584151	1	1	903	2	Martin	Holešovský			27	podnikatel	Vranov	99	80	A	M
6203	584151	1	2	901	2	Eduard	Filka			49	podnikatel	Vranov	99	80	A	M
6203	584151	1	3	902	2	Bedřich	Valášek			51	hasič	Vranov	99	80	A	M
6203	584151	1	4	53	2	Martina	Dobešová	Mgr.		48	advokátka	Vranov	99	53	A	F
6203	584151	1	1	903	3	Lenka	Vrbňáková	Ing.		38	projektový manažer	Vranov	99	80	A	F
6203	584151	1	2	901	3	Dagmar	Zemanová	Ing.		63	podnikatel	Vranov	99	80	A	F
6203	584151	1	3	902	3	Petr	Kotyza	Mgr.		52	ředitel základní školy	Vranov	99	80	A	M
6203	584151	1	4	53	3	Roman	Jonáš			45	živnostník ve stavebnictví	Vranov	99	53	A	M
6203	584151	1	1	903	4	Jiří	Dufek	Mgr.		54	výzkumný pracovník	Vranov	99	80	A	M
6203	584151	1	2	901	4	Pavel	Mašek			37	instalatér	Vranov	99	80	A	M
6203	584151	1	3	902	4	Aleš	Macho	Ing.		46	výcvikový inženýr jaderné elektrárny	Vranov	99	80	A	M
6203	584151	1	4	53	4	Jan	Kočař			28	podnikatel, filantrop	Vranov	99	53	A	M
6203	584151	1	1	903	5	Klára	Střítežská			27	marketingová specialistka	Vranov	99	80	A	F
6203	584151	1	2	901	5	Marta	Polášková	Ing.		45	finanční analytik	Vranov	99	80	A	F
6203	584151	1	3	902	5	Oldřich	Sova			46	podnikatel	Vranov	99	80	A	M
6203	584151	1	4	53	5	Jan	Kouřil	Ing.		36	programátor inteligentních systémů	Vranov	99	53	A	M
6203	584151	1	1	903	6	Zbyněk	Svozil			38	profesionální řidič	Vranov	99	80	A	M
6203	584151	1	2	901	6	Kateřina	Potočková	Mgr.		38	radiologický fyzik	Vranov	99	80	A	F
6203	584151	1	3	902	6	Kateřina	Holzmannová	Bc.		24	student	Vranov	99	80	A	F
6203	584151	1	4	53	6	Jiří	Šmerda	Ing. Mgr.		39	IT ředitel	Vranov	99	53	A	M
6203	584151	1	1	903	7	Monika	Štreitová	Bc.		34	referent v cestovní kanceláři	Vranov	99	80	A	F
6203	584151	1	2	901	7	Jiří	Majer			42	elektromontér	Vranov	99	80	A	M
6203	584151	1	3	902	7	Zbyněk	Kršek			41	živnostník	Vranov	99	80	A	M
6203	584151	1	4	53	7	Zuzana	Černá	Mgr.		61	ředitelka základní a mateřské školy	Vranov	53	53	A	F
6203	584151	1	1	903	8	Jan	Klíma			40	podnikatel	Vranov	99	80	A	M
6203	584151	1	2	901	8	Hana	Holzmannová			48	zdravotní laborant	Vranov	99	80	A	F
6203	584151	1	3	902	8	Daniel	Kotyza			21	student	Vranov	99	80	A	M
6203	584151	1	4	53	8	Věra	Kopecká	RNDr.	Ph.D.	55	výzkumný pracovník	Vranov	99	53	A	F
6203	584151	1	1	903	9	Jindřich	Skácel			78	důchodce	Vranov	7	80	A	M
6203	584151	1	2	901	9	David	Kovář	Ing.		46	geodet	Vranov	99	80	A	M
6203	584151	1	3	902	9	Oldřich	Křípač			47	podnikatel	Vranov	99	80	A	M
6203	584151	1	4	53	9	Ivana	Rundstuk Škrobová			61	podnikatelka v gastronomii	Vranov	53	53	A	F
