OKRES	KODZASTUP	COBVODU	POR_STR_HL	OSTRANA	PORCISLO	JMENO	PRIJMENI	POHLAVI	TITULPRED	TITULZA	VEK	POVOLANI	BYDLISTEN	PSTRANA	NSTRANA	PLATNOST
5101	561983	1	1	901	1	Jan	Piškula	M	Mgr.		46	státní zaměstnanec	Provodín	99	80	A
5101	561983	1	1	901	2	Alena	Brodská	F	Ing.		51	manažer kvality	Provodín	99	80	A
5101	561983	1	1	901	3	Jan	Fridrich	M			27	projektový technik	Provodín	99	80	A
5101	561983	1	1	901	4	Miroslav	Procházka	M			36	vedoucí směny	Provodín	99	80	A
5101	561983	1	1	901	5	Zdeněk	Ryšlavý	M		DiS.	52	státní zaměstnanec	Provodín	99	80	A
5101	561983	1	1	901	6	Kateřina	Piškulová	F			19	student	Provodín	99	80	A
5101	561983	1	1	901	7	Marie	Oplová	F			44	účetní	Provodín	99	80	A
5101	561983	1	1	901	8	Ladislav	Paslavský	M			54	technik	Srní u České Lípy	99	80	A
5101	561983	1	1	901	9	Zdeňka	Bratršovská	F			41	státní zaměstnanec	Provodín	99	80	A
5101	561983	1	2	902	1	Erik	Kovář	M			48	technik, předseda spolku SRPŠ Jestřebí – Provodín	Srní u České Lípy	99	80	A
5101	561983	1	2	902	2	Livia	Vážná Hoffmannová	F			66	důchodce, kronikářka obce, autorka „Můj Provodín“	Provodín	99	80	A
5101	561983	1	2	902	3	Jan	Bratršovský	M			46	nákupčí, místostarosta	Provodín	99	80	A
5101	561983	1	2	902	4	Anna	Ernešová	F	Bc.		35	učitelka	Srní u České Lípy	99	80	A
5101	561983	1	2	902	5	Pavla	Pražáková	F			45	laborantka	Provodín	99	80	A
5101	561983	1	2	902	6	Jindřiška	Sujová	F			48	OSVČ	Provodín	99	80	A
5101	561983	1	2	902	7	Helena	Lebedová	F			67	důchodce, OSVČ-účetní	Provodín	99	80	A
5101	561983	1	2	902	8	Jiří	Štěrba	M			66	starosta	Provodín	99	80	A
5101	561983	1	2	902	9	Alena	Perunová	F			45	technický pracovník, knihovnice OÚ Provodín	Provodín	99	80	A
