OKRES	KODZASTUP	COBVODU	POR_STR_HL	OSTRANA	PORCISLO	JMENO	PRIJMENI	TITULPRED	TITULZA	VEK	POVOLANI	BYDLISTEN	PSTRANA	NSTRANA	PLATNOST	POHLAVI
4101	539279	1	1	540	1	Václav	Jelínek	Ing.		63	technik DMaŠJ	Klimentov	99	721	A	M
4101	539279	1	2	768	1	Jaroslava	Brožová Lampertová	Ing.		68	starostka obce	Velká Hleďsebe	768	768	A	F
4101	539279	1	3	901	1	Zdeněk	Vršecký			46	referent řízení výroby, zastupitel obce	Velká Hleďsebe	99	80	A	M
4101	539279	1	1	540	2	Jaroslav	Vaněk			49	hasič	Velká Hleďsebe	99	721	A	M
4101	539279	1	2	768	2	Lucie	Šimůnková	Ing.		46	státní zaměstnanec	Velká Hleďsebe	99	768	A	F
4101	539279	1	3	901	2	František	Jauris	Mgr.		44	učitel	Velká Hleďsebe	99	80	A	M
4101	539279	1	1	540	3	Radek	Chmela			53	OSVČ	Klimentov	721	721	A	M
4101	539279	1	2	768	3	Miroslav	Brož			72	projektant	Velká Hleďsebe	768	768	A	M
4101	539279	1	3	901	3	Pavel	Zteiskar	Ing.		35	jednatel, administrátor veřejných zakázek	Klimentov	99	80	A	M
4101	539279	1	1	540	4	Lumír	Chmelař	Bc.		42	manažer prodeje	Velká Hleďsebe	99	721	A	M
4101	539279	1	2	768	4	Roman	Zídek			46	živnostník	Velká Hleďsebe	99	768	A	M
4101	539279	1	3	901	4	Jana	Šályová	Mgr.		46	učitelka	Velká Hleďsebe	99	80	A	F
4101	539279	1	1	540	5	Barbora	Čerstvá			40	rodičovská dovolená	Klimentov	99	721	A	F
4101	539279	1	2	768	5	Pavel	Šťastný			51	směnový mistr	Velká Hleďsebe	768	768	A	M
4101	539279	1	3	901	5	Aneta	Kubanová			38	housekeeping manažer	Velká Hleďsebe	99	80	A	F
4101	539279	1	1	540	6	Marek	Zajan			50	OSVČ	Klimentov	99	721	A	M
4101	539279	1	2	768	6	Zbyněk	Štěpánek			45	podnikatel	Velká Hleďsebe	768	768	A	M
4101	539279	1	3	901	6	Anna	Koštialová			32	koordinátorka výroby	Klimentov	99	80	A	F
4101	539279	1	1	540	7	Martina	Karenovičová	Mgr.		50	učitelka ZŠ	Velká Hleďsebe	99	721	A	F
4101	539279	1	2	768	7	Jakub	Šťastný	Mgr. Bc.		34	advokát	Velká Hleďsebe	99	768	A	M
4101	539279	1	3	901	7	Karel	Plzák			45	OSVČ truhlářství	Velká Hleďsebe	99	80	A	M
4101	539279	1	1	540	8	Ivan	Blažek			60	manažer prodeje	Velká Hleďsebe	99	721	A	M
4101	539279	1	2	768	8	Miroslav	Klukavý			58	obchodní manažer	Velká Hleďsebe	99	768	A	M
4101	539279	1	3	901	8	Slavomír	Ryzák			55	manažer prodeje	Velká Hleďsebe	99	80	A	M
4101	539279	1	1	540	9	Kateřina	Chmelová			47	zdravotní sestra	Klimentov	99	721	A	F
4101	539279	1	2	768	9	Václav	Kůta			38	vedoucí technik	Velká Hleďsebe	99	768	A	M
4101	539279	1	3	901	9	Zdeněk	Šály			52	plavčík	Velká Hleďsebe	99	80	A	M
4101	539279	1	1	540	10	Jozef	Tomek	Ing.		65	pracovník ostrahy	Velká Hleďsebe	99	721	A	M
4101	539279	1	2	768	10	Tomáš	Mazanec	Bc.		36	strážník městské policie	Velká Hleďsebe	99	768	A	M
4101	539279	1	3	901	10	Libuše	Benková			34	pěstební dělnice	Klimentov	99	80	A	F
4101	539279	1	1	540	11	Pavlína	Blažková			53	dělnice	Velká Hleďsebe	99	721	A	F
4101	539279	1	2	768	11	Kamila	Pešková			46	ředitelka mateřské školy	Velká Hleďsebe	99	768	A	F
4101	539279	1	3	901	11	Marie	Rőssnerová			29	mateřská dovolená, školitelka výroby	Velká Hleďsebe	99	80	A	F
4101	539279	1	1	540	12	Kateřina	Podubecká			35	OSVČ	Klimentov	99	721	A	F
4101	539279	1	2	768	12	Marcela	Kyselová	Ing.		69	důchodkyně, pedagog	Klimentov	99	768	A	F
4101	539279	1	3	901	12	Martin	Vodička			59	projektant	Velká Hleďsebe	99	80	A	M
4101	539279	1	1	540	13	Petra	Bartůšková			31	recepční	Velká Hleďsebe	99	721	A	F
4101	539279	1	2	768	13	Luděk	Kutta			50	revizní technik	Velká Hleďsebe	99	768	A	M
4101	539279	1	3	901	13	Marek	Kouba			50	OSVČ, obchodní poradce	Klimentov	99	80	A	M
4101	539279	1	1	540	14	Žaneta	Kosmatová			34	pokojská	Velká Hleďsebe	99	721	A	F
4101	539279	1	2	768	14	Soňa	Němcová	Mgr.		41	knihovnice	Klimentov	99	768	A	F
4101	539279	1	3	901	14	Olga	Vodičková	Mgr.		58	učitelka	Velká Hleďsebe	99	80	A	F
4101	539279	1	1	540	15	Jaroslav	Čerstvý			36	šéfkukař	Klimentov	99	80	A	M
4101	539279	1	2	768	15	Bohumil	Martínek			48	řidič, technik	Klimentov	99	768	A	M
4101	539279	1	3	901	15	Pavel	Charvát			52	manažer prodeje	Velká Hleďsebe	99	80	A	M
