OKRES	KODZASTUP	COBVODU	POR_STR_HL	OSTRANA	PORCISLO	JMENO	PRIJMENI	POHLAVI	TITULPRED	TITULZA	VEK	POVOLANI	BYDLISTEN	PSTRANA	NSTRANA	PLATNOST
5301	571661	1	1	902	1	Petr	Schmied	M	Mgr.		54	starosta	Krouna	166	80	A
5301	571661	1	1	902	2	Jiří	Socha	M	Ing.	Ph.D.	50	ředitel divize a prokurista	Rychnov	99	80	A
5301	571661	1	1	902	3	Luděk	Bělský	M	Bc.		56	profesionální hasič	Krouna	99	80	A
5301	571661	1	1	902	4	Robin	Mlynář	M	Mgr.		32	advokát	Krouna	99	80	A
5301	571661	1	1	902	5	Bohumil	Zlevor	M			63	OSVČ	Rychnov	99	80	A
5301	571661	1	1	902	6	Patrik	Bělský	M			29	profesionální hasič	Krouna	99	80	A
5301	571661	1	1	902	7	Zdeňka	Lohniská	F			57	administrativní pracovník	Krouna	99	80	A
5301	571661	1	1	902	8	Marek	Tomášek	M			56	zámečník	Krouna	99	80	A
5301	571661	1	1	902	9	Jaroslav	Lorenc	M			69	důchodce	Čachnov	99	80	A
5301	571661	1	1	902	10	Libor	Boháč	M	Mgr.		35	programátor	Oldřiš	99	80	A
5301	571661	1	1	902	11	Martina	Otradovská	F	Ing.		32	účetní	Krouna	99	80	A
5301	571661	1	1	902	12	Hana	Šmahelová	F	Mgr.		60	učitelka	Krouna	99	80	A
5301	571661	1	1	902	13	Jana	Vasičáková	F			38	manažer nákupu	Krouna	99	80	A
5301	571661	1	1	902	14	Miroslav	Baťa	M		DiS.	35	projektant	Krouna	99	80	A
5301	571661	1	1	902	15	Miloš	Vaňák	M	Ing.		40	manažer kvality	Krouna	99	80	A
5301	571661	1	2	53	1	Robert	Štorek	M			46	OSVČ	Krouna	53	53	A
5301	571661	1	2	53	2	Richard	Talácko	M			39	OSVČ	Krouna	99	53	A
5301	571661	1	2	53	3	Petr	Novák	M			51	OSVČ	Krouna	99	53	A
5301	571661	1	2	53	4	Pavel	Svatoň	M	Bc.		41	ekonomický ředitel	Krouna	99	53	A
5301	571661	1	2	53	5	Soňa	Talácková	F	Bc.		34	mateřská dovolená	Krouna	99	53	A
5301	571661	1	2	53	6	Prokop	Hostomský	M			23	kuchař, číšník	Krouna	99	53	A
5301	571661	1	2	53	7	Milan	Novotný	M			37	truhlář	Krouna	99	53	A
5301	571661	1	2	53	8	Martin	Žejdlík	M			35	OSVČ	Oldřiš	99	53	A
5301	571661	1	2	53	9	Daniel	Štorek	M			19	pracovník IT	Krouna	99	53	A
5301	571661	1	2	53	10	Pavel	Holík	M	Mgr.		44	lékárník	Krouna	99	53	A
5301	571661	1	2	53	11	Michaela	Nekvindová	F			43	reklamační specialista	Krouna	99	53	A
5301	571661	1	2	53	12	Ladislav	Hostomský	M			47	administrativní pracovník	Krouna	99	53	A
5301	571661	1	2	53	13	Ilona	Kavková	F			54	kadeřnice	Krouna	99	53	A
5301	571661	1	2	53	14	Michal	Dubinec	M			40	obsluha CNC	Oldřiš	99	53	A
5301	571661	1	2	53	15	Pavel	Ondra	M	Mgr.		74	důchodce	Krouna	99	53	A
5301	571661	1	3	1	1	Blanka	Talácková	F			56	administrativní pracovnice	Krouna	1	1	A
5301	571661	1	3	1	2	Blanka	Filipiová	F			42	poštovní doručovatelka	Krouna	1	1	A
5301	571661	1	3	1	3	Lukáš	Šendera	M			40	vedoucí směny výroby	Krouna	99	1	A
5301	571661	1	3	1	4	Marek	Kyncl	M			46	OSVČ	Čachnov	99	1	A
5301	571661	1	3	1	5	Zdeněk	Drahoš	M			52	OSVČ	Rychnov	99	1	A
5301	571661	1	3	1	6	Ladislav	Kopiště	M	Bc.		43	pracovník v soc. službě	Krouna	99	1	A
5301	571661	1	3	1	7	Jan	Šmok	M			53	učitel odborného výcviku	Krouna	99	1	A
5301	571661	1	3	1	8	Marek	Pavliš	M			42	jednatel společnosti	Krouna	99	1	A
5301	571661	1	3	1	9	Jana	Renzová	F			43	rodičovská dovolená	Krouna	99	1	A
5301	571661	1	3	1	10	Jiří	Šmok	M			51	řidič	Krouna	1	1	A
5301	571661	1	3	1	11	Aneta	Filipiová	F			21	studentka	Krouna	99	1	A
5301	571661	1	3	1	12	Hana	Pavlišová	F			47	administrativní pracovnice	Krouna	99	1	A
5301	571661	1	3	1	13	Markéta	Bohatá	F			41	rodičovská dovolená	Krouna	99	1	A
5301	571661	1	3	1	14	Martin	Švanda	M			43	skladník	Krouna	99	1	A
5301	571661	1	3	1	15	Pavel	Hyksa	M			56	OSVČ	Krouna	99	1	A
5301	571661	1	4	901	1	Leoš	Chlupáč	M	Ing.		49	ekonom	Krouna	99	80	A
5301	571661	1	4	901	2	Irena	Kavková	F	Mgr.		56	učitelka	Krouna	99	80	A
5301	571661	1	4	901	3	Michal	Pekař	M			55	jednatel společnosti	Krouna	99	80	A
5301	571661	1	4	901	4	Petr	Švanda	M			45	OSVČ	Krouna	99	80	A
5301	571661	1	4	901	5	Milan	Broulík	M	Ing.		46	vedoucí kamenolomu	Krouna	99	80	A
5301	571661	1	4	901	6	Zdeněk	Bukáček	M	Ing.		37	vývojový konstruktér	Krouna	99	80	A
5301	571661	1	4	901	7	Miloš	Kyncl	M			45	vedoucí prodeje stavebnin	Krouna	99	80	A
5301	571661	1	4	901	8	Adéla	Zástěrová	F			21	studentka lékařské fakulty UK	Krouna	99	80	A
5301	571661	1	4	901	9	Kristýna	Chlupáčová	F			20	studentka lékařské fakulty UPOL	Krouna	99	80	A
5301	571661	1	4	901	10	Jiří	Gregor	M			20	student fakulty strojního inženýrství VUT	Krouna	99	80	A
5301	571661	1	4	901	11	David	Kučera	M		DiS.	38	montér nábytku	Krouna	99	80	A
5301	571661	1	4	901	12	Zbyněk	Malý	M			51	OSVČ	Krouna	99	80	A
5301	571661	1	4	901	13	Martin	Kučera	M			43	pracovník odbytu	Krouna	99	80	A
5301	571661	1	4	901	14	Vladimír	Malý	M			65	podnikatel	Čachnov	99	80	A
5301	571661	1	4	901	15	Lenka	Frídlová	F			51	vedoucí odboru kultury a školství MěÚ Skuteč	Krouna	99	80	A
