OKRES	KODZASTUP	COBVODU	POR_STR_HL	OSTRANA	PORCISLO	JMENO	PRIJMENI	POHLAVI	TITULPRED	TITULZA	VEK	POVOLANI	BYDLISTEN	PSTRANA	NSTRANA	PLATNOST
4201	562718	1	1	47	1	Jiří	Šír	M	Bc.		49	samostatný referent krajského úřadu	Malšovice	47	47	A
4201	562718	1	1	47	2	Petr	Zalabák	M			47	strojník	Borek	99	47	A
4201	562718	1	1	47	3	Bohuslav	Hájek	M			70	technik	Malšovice	99	47	A
4201	562718	1	1	47	4	Alena	Šorčíková	F			48	OSVČ	Borek	99	47	A
4201	562718	1	1	47	5	Stanislav	Trojan	M			72	důchodce	Malšovice	99	47	A
4201	562718	1	1	47	6	Petr	Mostecký	M			44	OSVČ	Stará Bohyně	99	47	A
4201	562718	1	1	47	7	Miroslav	Šír	M			24	dělník	Borek	99	47	A
4201	562718	1	1	47	8	Tomáš	Smolík	M			51	dělník	Borek	99	47	A
4201	562718	1	1	47	9	Vendulka	Pešková	F			49	dělnice	Choratice	99	47	A
4201	562718	1	2	901	1	Jiří	Krpálek	M			50	starosta obce Malšovice	Choratice	99	80	A
4201	562718	1	2	901	2	Dušan	Jehlička	M			49	nástrojař	Malšovice	99	80	A
4201	562718	1	2	901	3	Radovan	Urban	M	Ing.		52	referent MM Děčín	Malšovice	99	80	A
4201	562718	1	2	901	4	Lubomír	Rajf	M	Ing.		62	středoškolský učitel	Javory	99	80	A
4201	562718	1	2	901	5	Eva	Plačková	F			47	číšník	Stará Bohyně	99	80	A
4201	562718	1	2	901	6	Daniela	Libichová	F	Mgr.		44	vedoucí SO FF UJEP	Stará Bohyně	99	80	A
4201	562718	1	2	901	7	Jaruška	Šmalclová	F			73	důchodce	Malšovice	99	80	A
4201	562718	1	2	901	8	Michal	Dušek	M			40	obchodní zástupce	Hliněná	99	80	A
4201	562718	1	2	901	9	Daniel	Nedělka	M			48	živnostník	Malšovice	99	80	A
4201	562718	1	3	902	1	Tomáš	Dostál	M			34	provozní	Malšovice	99	80	A
4201	562718	1	3	902	2	David	Vilhám	M			38	podnikatel	Malšovice	99	80	A
4201	562718	1	3	902	3	Lenka	Smolová	F			42	podnikatel	Malšovice	99	80	A
4201	562718	1	3	902	4	Miroslav	Mahdal		Mgr.		45	právník	Malšovice	99	80	A
4201	562718	1	3	902	5	Jakub	Jehlička	M			35	strojvedoucí	Malšovice	99	80	A
4201	562718	1	3	902	6	Eliška	Vilhámová	F			35	všeobecná sestra	Malšovice	99	80	A
4201	562718	1	3	902	7	Andrea	Dostálová	F		DiS.	32	úřednice	Malšovice	99	80	A
4201	562718	1	3	902	8	Lucie	Podradská	F			31	mateřská dovolená	Malšovice	99	80	A
4201	562718	1	3	902	9	Václav	Kuncl	M			44	technik	Malšovice	99	80	A
