OKRES	KODZASTUP	COBVODU	POR_STR_HL	OSTRANA	PORCISLO	JMENO	PRIJMENI	POHLAVI	TITULPRED	TITULZA	VEK	POVOLANI	BYDLISTEN	PSTRANA	NSTRANA	PLATNOST
4201	562777	1	1	470	1	Šárka	Štruplová Růžičková	F	Mgr.	MBA	46	ředitelka domu kultury	Rumburk 1	99	166	A
4201	562777	1	1	470	2	Romana	Heráková	F	Mgr.		32	projektová manažerka na dotační zdroje	Rumburk 1	99	166	A
4201	562777	1	1	470	3	Dalibor	Dvořák	M	Mgr.		31	učitel	Rumburk 1	99	166	A
4201	562777	1	1	470	4	Jan	Hnilica	M	Ing.		36	účetní	Rumburk 1	166	166	A
4201	562777	1	1	470	5	Martin	Bláha	M			36	jednatel firmy	Rumburk 1	99	80	A
4201	562777	1	1	470	6	Daniel	Bajraj	M			21	asistent poslance	Nusle	99	80	A
4201	562777	1	1	470	7	Michal	Falta	M			40	obchodní zástupce	Rumburk 2-Horní Jindřichov	99	80	A
4201	562777	1	1	470	8	Marek	Blažek	M			46	živnostník	Rumburk 1	99	166	A
4201	562777	1	1	470	9	Martina	Kučerová	F	MUDr.		54	všeobecná lékařka	Rumburk 1	99	80	A
4201	562777	1	1	470	10	Martin	Kohout	M			52	živnostník - obchod se sportovními potřebami	Rumburk 1	99	80	A
4201	562777	1	1	470	11	Dennis Gerrit Lev	Smit	M			23	manažer	Rumburk 1	99	166	A
4201	562777	1	1	470	12	Lukáš	Havlas	M			26	živnostník - gastronomie	Rumburk 1	99	80	A
4201	562777	1	1	470	13	Petr	Neshyba	M			39	prodavač - elektro	Rumburk 1	99	80	A
4201	562777	1	1	470	14	Luděk	Píštěk	M	Ing.		60	technik TOS	Rumburk 1	99	80	A
4201	562777	1	1	470	15	Lukáš	Šír	M			45	finanční poradce	Rumburk 1	99	80	A
4201	562777	1	1	470	16	Eva	Mejsnarová	F			68	důchodkyně	Rumburk 1	99	80	A
4201	562777	1	1	470	17	Eva	Dvořáková	F	Bc.		50	učitelka	Rumburk 1	99	80	A
4201	562777	1	1	470	18	Helena	Turynová	F			57	dělnice ve výrobě	Rumburk 3-Dolní Křečany	99	80	A
4201	562777	1	1	470	19	Petr	Kudroň	M			26	živnostník - nákup a prodej konstrukčních materiálů	Rumburk 2-Horní Jindřichov	99	80	A
4201	562777	1	1	470	20	David	Burdej	M			30	holič	Rumburk 1	99	80	A
4201	562777	1	1	470	21	Roman	Koukal	M			52	zedník	Rumburk 1	99	80	A
4201	562777	1	1	470	22	Filip	Jelínek	M			30	živnostník - rozvoz obědů	Rumburk 1	99	80	A
4201	562777	1	1	470	23	Jarmila	Mahnelová	F	Ing.		62	ekonomka	Rumburk 1	99	80	A
4201	562777	1	2	768	1	Lubomír	Veselka	M	Ing.		44	ředitel výrobní společnosti	Rumburk 1	768	768	A
4201	562777	1	2	768	2	Lumír	Kus	M	Ing.		54	starosta	Rumburk 1	768	768	A
4201	562777	1	2	768	3	Miroslav	Sabo	M			41	stavbyvedoucí	Rumburk 2 - Horní Jindřichov	768	768	A
4201	562777	1	2	768	4	Josef	Nechanický	M			45	vedoucí týmu procesních inženýrů	Rumburk 1	768	768	A
4201	562777	1	2	768	5	Radek	Andrš	M	Ing.		53	IT poradce	Rumburk 1	768	768	A
4201	562777	1	2	768	6	Ondřej	Skurčák	M			31	podnikatel v grafické činnosti a servise	Rumburk 1	768	768	A
4201	562777	1	2	768	7	Martin	Hýbl	M	Mgr. Bc.		53	ředitel školy	Rumburk 1	99	768	A
4201	562777	1	2	768	8	Pavel	Jonásek	M			45	podnikatel v autodopravě a taxi službě	Rumburk 2 - Horní Jindřichov	99	768	A
4201	562777	1	2	768	9	Ladislav	Růžička	M	Ing.		52	místostarosta	Rumburk 1	768	768	A
4201	562777	1	2	768	10	Karel	Kovář	M			27	podnikatel v obchodní činnosti	Rumburk 1	99	768	A
4201	562777	1	2	768	11	Oldřich	Bajer	M	Ing.		74	senior	Rumburk 1	768	768	A
4201	562777	1	2	768	12	Jana	Kusová	F	Ing.		52	vedoucí úřednice	Rumburk 1	768	768	A
4201	562777	1	2	768	13	Petr	Skala	M			34	strážník Městské policie	Rumburk 2 - Horní Jindřichov	99	768	A
4201	562777	1	2	768	14	Miroslav	Sabo	M			65	vedoucí úředník	Rumburk 3 - Dolní Křečany	99	768	A
4201	562777	1	2	768	15	Jan	Bredl	M	Ing.		33	výrobní ředitel	Rumburk 3 - Dolní Křečany	99	768	A
4201	562777	1	2	768	16	Karel	Diviš	M	Mgr.		59	sociální pracovník	Rumburk 1	99	768	A
4201	562777	1	2	768	17	Jiří	Votoček	M	Ing.		48	manažer oddělení kvality	Rumburk 1	99	768	A
4201	562777	1	2	768	18	Václav	Cerman	M			51	mistr nástrojárny	Rumburk 1	99	768	A
4201	562777	1	2	768	19	Tomáš	Hladík	M			47	podnikatel v stavební činnosti	Rumburk 2 - Horní Jindřichov	99	768	A
4201	562777	1	2	768	20	Josef	Nechanický	M			19	student	Rumburk 1	99	768	A
4201	562777	1	2	768	21	Lenka	Kazberuková	F	Ing.		49	tajemnice městského úřadu	Rumburk 1	99	768	A
