OKRES	KODZASTUP	COBVODU	POR_STR_HL	OSTRANA	PORCISLO	JMENO	PRIJMENI	TITULPRED	TITULZA	VEK	POVOLANI	BYDLISTEN	PSTRANA	NSTRANA	PLATNOST	POHLAVI
8102	598232	1	1	901	1	Tomáš	Kadlubiec	Ing.		30	projektový manažer	Hrčava	99	80	A	M
8102	598232	1	2	902	1	Marek	Sikora	Ing.		32	zemědělec	Hrčava	99	80	A	M
8102	598232	1	1	901	2	Martin	Bojko			43	operátor výroby	Hrčava	99	80	A	M
8102	598232	1	2	902	2	Rostislav	Sikora	Bc.		58	předseda spolku	Hrčava	99	80	A	M
8102	598232	1	1	901	3	Martin	Koper			42	OSVČ	Hrčava	99	80	A	M
8102	598232	1	2	902	3	Petr	Koziel			46	strojní zámečník	Hrčava	99	80	A	M
8102	598232	1	1	901	4	Jan	Ondruch			73	starobní důchodce	Hrčava	99	80	A	M
8102	598232	1	2	902	4	Renata	Kopečná			54	uklízečka	Hrčava	99	80	A	F
8102	598232	1	1	901	5	Anna	Bažantová			64	starobní důchodce	Hrčava	99	80	A	F
8102	598232	1	2	902	5	Ondřej	Dragon	Bc.		31	projektový manažer	Hrčava	99	80	A	M
8102	598232	1	1	901	6	Petr	Vyšlan			36	elektromontér	Hrčava	99	80	A	M
8102	598232	1	2	902	6	Lubomír	Husar			58	masér	Hrčava	99	80	A	M
8102	598232	1	1	901	7	Josef	Wawrzacz			66	starobní důchodce	Hrčava	99	80	A	M
8102	598232	1	2	902	7	Otakar	Litera	Ing.		56	obchodní zástupce	Hrčava	99	80	A	M
8102	598232	1	2	902	8	Tomáš	Haratyk			43	elektro montér	Hrčava	99	80	A	M
8102	598232	1	2	902	9	Zdislav	Pawlas			21	finančník	Hrčava	99	80	A	M
