OKRES	KODZASTUP	COBVODU	POR_STR_HL	OSTRANA	PORCISLO	JMENO	PRIJMENI	POHLAVI	TITULPRED	TITULZA	VEK	POVOLANI	BYDLISTEN	PSTRANA	NSTRANA	PLATNOST
6101	569704	1	1	901	1	David	Drahoš	M			40	starosta obce	Věžnice	99	80	A
6101	569704	1	1	901	2	Adam	Drahoš	M			34	zaměstnanec Ministerstva vnitra ČR	Věžnice	99	80	A
6101	569704	1	1	901	3	Tomáš	Vavroušek	M			37	montážní technik	Věžnice	99	80	A
6101	569704	1	1	901	4	Ondřej	Bachmann	M			33	mistr ve výrobě	Věžnice	99	80	A
6101	569704	1	1	901	5	Josef	Kaňkovský	M			45	předák výrobní dílny	Věžnice	99	80	A
6101	569704	1	1	901	6	Prokop	Kunc	M			25	vedoucí půjčovny	Věžnice	99	80	A
6101	569704	1	1	901	7	Blanka Tereza	Kuncová	F			31	finanční poradce	Věžnice	99	80	A
6101	569704	1	1	901	8	Ondřej	Prokeš	M	Ing.		35	zaměstnanec Ministerstva vnitra ČR	Věžnice	99	80	A
6101	569704	1	1	901	9	Miloš	Fikejz	M			43	řidič	Věžnice	99	80	A
6101	569704	1	2	902	1	Stanislav	Wasserbauer	M	MUDr.		64	lékař, vysokoškolský pedagog	Věžnice	99	80	A
6101	569704	1	2	902	2	Milan	Chalupník	M			44	mistr stavební výroby	Věžnice	99	80	A
6101	569704	1	2	902	3	Jan	Kunc	M			64	jáhen katolické církve	Věžnice	99	80	A
6101	569704	1	2	902	4	Anna	Adamcová	F			64	místostarostka obce	Věžnice	99	80	A
6101	569704	1	2	902	5	Marek	Bořil	M			42	zaměstnanec obce	Věžnice	99	80	A
6101	569704	1	2	902	6	Ivan	Landa	M			41	soukromý podnikatel	Věžnice	99	80	A
6101	569704	1	2	902	7	Jan	Wasserbauer	M			46	soukromý zemědělec	Věžnice	99	80	A
6101	569704	1	2	902	8	Jaroslav	Procházka	M			38	soukromý podnikatel	Věžnice	99	80	A
6101	569704	1	2	902	9	Radek	Maštalíř	M			51	servisní mechanik	Věžnice	99	80	A
6101	569704	1	3	1	1	Josef	Málek	M	Ing. Bc.		57	důchodce	Věžnice	1	1	A
6101	569704	1	3	1	2	Antonín	Kunc	M	Ing.		58	konstruktér	Věžnice	99	1	A
6101	569704	1	3	1	3	Vítězslav	Kunc	M	Ing.		34	procesní inženýr	Věžnice	99	1	A
6101	569704	1	3	1	4	Jaroslav	Kunc	M			36	vedoucí dispečinku	Věžnice	99	1	A
6101	569704	1	3	1	5	Michal	Dušek	M			45	OSVČ	Věžnice	99	1	A
6101	569704	1	3	1	6	Jaroslav	Novotný	M			47	strojník V+K	Věžnice	99	1	A
6101	569704	1	3	1	7	Vojtěch	Kunc	M	Mgr.		38	policista	Věžnice	99	1	A
6101	569704	1	3	1	8	Radka	Chalupníková	F			40	OSVČ	Věžnice	99	1	A
6101	569704	1	3	1	9	Marie	Štohanzlová	F	Mgr.		62	učitelka	Věžnice	99	1	A
