OKRES	KODZASTUP	COBVODU	POR_STR_HL	OSTRANA	PORCISLO	JMENO	PRIJMENI	TITULPRED	TITULZA	VEK	POVOLANI	BYDLISTEN	PSTRANA	NSTRANA	PLATNOST	POHLAVI
6205	586536	1	1	901	1	Jan	Pimek			34	dělník	Skalka	99	80	A	M
6205	586536	1	2	902	1	Lenka	Kůřilová			52	referent odbytu	Skalka	99	80	A	F
6205	586536	1	1	901	2	Petr	Mrkůs			31	dělník	Skalka	99	80	A	M
6205	586536	1	2	902	2	Kamila	Cintulová	Mgr.		31	učitelka ZŠ	Skalka	99	80	A	F
6205	586536	1	1	901	3	Jarmila	Rychnovská	Mgr.		55	vedoucí sociální služby	Skalka	99	80	A	F
6205	586536	1	2	902	3	Miloslav	Pavličík	Bc.		42	úředník	Skalka	99	80	A	M
6205	586536	1	1	901	4	Kristýna	Novotná			36	prodavačka	Skalka	99	80	A	F
6205	586536	1	2	902	4	Vlastimil	Coufal			50	řidič	Skalka	99	80	A	M
6205	586536	1	1	901	5	Josef	Hromada			61	dělník	Skalka	99	80	A	M
6205	586536	1	2	902	5	Štěpán	Lupač			29	stolař	Skalka	99	80	A	M
6205	586536	1	1	901	6	Zdeněk	Rychnovský			57	řidič	Skalka	99	80	A	M
6205	586536	1	2	902	6	Vít	Cahlík			43	konstruktér	Skalka	99	80	A	M
