OKRES	KODZASTUP	COBVODU	POR_STR_HL	OSTRANA	PORCISLO	JMENO	PRIJMENI	TITULPRED	TITULZA	VEK	POVOLANI	BYDLISTEN	PSTRANA	NSTRANA	PLATNOST	POHLAVI
6102	587346	1	1	901	1	Jiří	Nevosad	Bc.		51	hasič profesionál	Kamenice	99	80	A	M
6102	587346	1	2	902	1	Michal	Bumbálek			43	technik	Kamenička	99	80	A	M
6102	587346	1	3	1	1	Hana	Krejčová	Bc.		51	ekonomka	Kamenice	1	1	A	F
6102	587346	1	1	901	2	Roman	Procházka			40	technik	Kamenice	99	80	A	M
6102	587346	1	2	902	2	Eva	Jonášová			42	technik nástrojárny	Kamenička	99	80	A	F
6102	587346	1	3	1	2	Ladislav	Klíma			41	profesionální hasič	Kamenice	99	1	A	M
6102	587346	1	1	901	3	Jiří	Hrad	Ing.		39	technolog	Kamenice	99	80	A	M
6102	587346	1	2	902	3	Lukáš	Solař			41	řezník	Kamenička	99	80	A	M
6102	587346	1	3	1	3	Lukáš	Fiala	Ing.		27	konstruktér	Kamenice	99	1	A	M
6102	587346	1	1	901	4	Miroslav	Krul			57	technik	Kamenice	99	80	A	M
6102	587346	1	2	902	4	Lukáš	Čermák			36	mistr výroby	Kamenička	99	80	A	M
6102	587346	1	3	1	4	Zdislava	Součková	Bc.		50	sociální pracovník	Kamenice	1	1	A	F
6102	587346	1	1	901	5	Leoš	Neckař			52	technik	Kamenice	99	80	A	M
6102	587346	1	2	902	5	Ivana	Panáčková			37	sociální pedagog	Kamenička	99	80	A	F
6102	587346	1	3	1	5	Josef	Kalný			55	mechanik - seřizovač	Kamenice	99	1	A	M
6102	587346	1	1	901	6	Milan	Souček	Ing.		45	úředník	Kamenice	99	80	A	M
6102	587346	1	2	902	6	Lenka	Solařová			38	prodavačka	Kamenička	99	80	A	F
6102	587346	1	3	1	6	Jiří	Vaněk			55	živnostník	Kamenice	1	1	A	M
6102	587346	1	1	901	7	Tomáš	Nejedlý	Bc.		31	konstruktér	Kamenice	99	80	A	M
6102	587346	1	2	902	7	Pavel	Jonáš			42	skladník	Kamenička	99	80	A	M
6102	587346	1	3	1	7	Jiří	Michal	Ing.		41	odborný pracovník ve zdravotnictví	Vržanov	99	1	A	M
6102	587346	1	1	901	8	David	Halama	Bc.		26	OSVČ - programátor webových aplikací	Kamenice	99	80	A	M
6102	587346	1	2	902	8	Jonatan	Hána			35	učitel	Kamenička	99	80	A	M
6102	587346	1	3	1	8	Jaroslav	Munduch			53	kvalitář	Kamenice	99	1	A	M
6102	587346	1	1	901	9	Eva	Hradová			35	učitelka MŠ	Kamenice	99	80	A	F
6102	587346	1	2	902	9	Václav	Bumbálek			36	technik	Kamenička	99	80	A	M
6102	587346	1	3	1	9	Michaela	Böhmová	Bc.		47	referentka státní správy	Kamenice	1	1	A	F
6102	587346	1	1	901	10	Lenka	Dvořáčková			49	účetní	Kamenice	99	80	A	F
6102	587346	1	2	902	10	Josef	Bumbálek			46	vedoucí skladu	Kamenička	99	80	A	M
6102	587346	1	3	1	10	Radek	Čáp			49	vodárenský technik	Kamenice	1	1	A	M
6102	587346	1	1	901	11	Lukáš	Svoboda			41	prodavač, včelař	Kamenice	99	80	A	M
6102	587346	1	2	902	11	Petr	Baránek			46	procesní technik	Kamenička	99	80	A	M
6102	587346	1	3	1	11	Lukáš	Jelínek			46	správce budov	Kamenice	99	1	A	M
6102	587346	1	1	901	12	Marie	Nováková		DiS.	40	asistentka pedagoga, OSVČ	Kamenice	99	80	A	F
6102	587346	1	2	902	12	Jan	Jakš			30	zámečník	Kamenička	99	80	A	M
6102	587346	1	3	1	12	Jarmila	Semerádová			49	všeobecná zdravotní sestra	Kamenice	99	1	A	F
6102	587346	1	1	901	13	Ivana	Štelbacká	Mgr.		50	učitelka MŠ	Kamenice	99	80	A	F
6102	587346	1	2	902	13	Jiří	Zezula			44	OSVČ	Kamenička	99	80	A	M
6102	587346	1	3	1	13	Jan	Souček			53	učitel autoškoly	Kamenice	1	1	A	M
6102	587346	1	1	901	14	Pavel	Černý	Ing.		39	hasič profesionál, operační důstojník	Kamenice	99	80	A	M
6102	587346	1	2	902	14	Ivo	Marousek			41	administrativní pracovník	Kamenička	7	80	A	M
6102	587346	1	3	1	14	Miluše	Kalinová			45	zdravotní laborantka	Kamenice	99	1	A	F
6102	587346	1	1	901	15	Pavel	Kűhtreiber			47	provozní technik bioplynové stanice	Kamenice	99	80	A	M
6102	587346	1	2	902	15	Lubomír	Vyzibla			39	OSVČ	Kamenička	99	80	A	M
6102	587346	1	3	1	15	Jiří	Jelínek			44	řezník, uzenář	Kamenice	99	1	A	M
