OKRES	KODZASTUP	COBVODU	POR_STR_HL	OSTRANA	PORCISLO	JMENO	PRIJMENI	TITULPRED	TITULZA	VEK	POVOLANI	BYDLISTEN	PSTRANA	NSTRANA	PLATNOST	POHLAVI
3202	556041	1	1	902	1	Lenka	Sýkorová	PhDr.		56	starostka	Dešenice	99	80	A	F
3202	556041	1	2	901	1	Jan	Rejfek	RSDr.		69	důchodce	Dešenice	47	80	A	M
3202	556041	1	3	903	1	Roman	Zach			49	řidič	Dešenice	99	80	A	M
3202	556041	1	1	902	2	Tomáš	Šafařík	Ing.		57	učitel	Dešenice	99	80	A	M
3202	556041	1	2	901	2	Tomáš	Mottl			31	zámečník	Děpoltice	99	80	A	M
3202	556041	1	3	903	2	David	Kratejl	Ing.		47	ekonom	Dešenice	99	80	A	M
3202	556041	1	1	902	3	Miroslav	Kubát			56	elektrikář	Dešenice	99	80	A	M
3202	556041	1	2	901	3	Patrik	Kindlman			24	OSVČ	Dešenice	47	80	A	M
3202	556041	1	3	903	3	Petr	Bek			45	OSVČ	Milence	99	80	A	M
3202	556041	1	1	902	4	Soňa	Šetlíková			60	prodavačka	Dešenice	99	80	A	F
3202	556041	1	2	901	4	Iveta	Kindlmanová			42	vedoucí prodejny	Dešenice	99	80	A	F
3202	556041	1	3	903	4	Josef	Němec			36	dělník	Milence	99	80	A	M
3202	556041	1	1	902	5	Jan	Walz			69	důchodce	Městiště	99	80	A	M
3202	556041	1	2	901	5	Slavomír	Chlup			67	důchodce	Dešenice	99	80	A	M
3202	556041	1	3	903	5	Jiří	Irlbek			33	OSVČ	Dešenice	99	80	A	M
3202	556041	1	1	902	6	Václav	Svoboda			35	svářeč	Milence	99	80	A	M
3202	556041	1	2	901	6	Michal	Vlček			48	OSVČ	Dešenice	99	80	A	M
3202	556041	1	3	903	6	Hugo	Syrovec			50	údržbář	Milence	99	80	A	M
3202	556041	1	1	902	7	Pavel	Cihlář			29	technik	Dešenice	99	80	A	M
3202	556041	1	2	901	7	Dominik	Kalman			28	zaměstnanec	Dešenice	99	80	A	M
3202	556041	1	3	903	7	Václav	Toman			72	důchodce	Žiznětice	99	80	A	M
3202	556041	1	1	902	8	Pavlína	Neumayerová			51	operátorka výroby	Dešenice	99	80	A	F
3202	556041	1	2	901	8	Božena	Flachsová			44	zaměstnanec	Dešenice	99	80	A	F
3202	556041	1	3	903	8	Marian	Jirka			60	OSVČ	Datelov	99	80	A	M
3202	556041	1	1	902	9	Štěpánka	Cihlářová			52	pokojská	Dešenice	99	80	A	F
3202	556041	1	2	901	9	Miroslav	Raišl			74	důchodce	Dešenice	47	80	A	M
3202	556041	1	3	903	9	Romana	Zdichyncová			33	cenová referentka	Milence	99	80	A	F
3202	556041	1	1	902	10	Jaroslav	Slunčík			56	montér	Dešenice	99	80	A	M
3202	556041	1	2	901	10	Zdeněk	Uldrych			22	student	Dešenice	99	80	A	M
3202	556041	1	3	903	10	Luděk	Stuiber			56	OSVČ	Dešenice	99	80	A	M
3202	556041	1	1	902	11	Jan	Nový			27	OSVČ	Dešenice	99	80	A	M
3202	556041	1	2	901	11	Miroslava	Vlčková			71	důchodce	Dešenice	47	80	A	F
3202	556041	1	3	903	11	Zbyněk	Jílek			44	lesník	Dešenice	99	80	A	M
3202	556041	1	1	902	12	Miroslav	Jakubec			69	důchodce	Milence	99	80	A	M
3202	556041	1	2	901	12	Michaela	Zvěřinová			41	zaměstnanec	Dešenice	99	80	A	F
3202	556041	1	3	903	12	Dana	Riedelová			51	kuchařka	Milence	99	80	A	F
3202	556041	1	1	902	13	Vít	Urbánek			44	elektrikář	Dešenice	99	80	A	M
3202	556041	1	2	901	13	Patrik	Zvěřina			31	zaměstnanec	Dešenice	99	80	A	M
3202	556041	1	3	903	13	Martin	Boček	Mgr.	Ph.D.	32	vysokoškolský učitel	Milence	99	80	A	M
3202	556041	1	1	902	14	Veronika	Machová	Ing.		34	lesní inženýrka	Dešenice	99	80	A	F
3202	556041	1	2	901	14	Jaroslava	Vávrová			82	důchodce	Dešenice	47	80	A	F
3202	556041	1	3	903	14	Josef	Mazánek			40	dělník	Milence	99	80	A	M
3202	556041	1	1	902	15	Linda	Neumayerová	Mgr.		35	pracovnice v informačním centru	Milence	99	80	A	F
3202	556041	1	2	901	15	Věra	Jandovská			85	důchodce	Dešenice	47	80	A	F
3202	556041	1	3	903	15	Jan	Miškovič			44	zedník	Dešenice	99	80	A	M
