OKRES	KODZASTUP	COBVODU	POR_STR_HL	OSTRANA	PORCISLO	JMENO	PRIJMENI	TITULPRED	TITULZA	VEK	POVOLANI	BYDLISTEN	PSTRANA	NSTRANA	PLATNOST	POHLAVI
2104	533815	1	1	803	1	Pavlína	Lehká			50	pedagogický pracovník	Uhlířská Lhota	99	80	A	F
2104	533815	1	2	808	1	Markéta	Pospíšilová			53	řidička	Uhlířská Lhota	99	80	A	F
2104	533815	1	3	801	1	Michael	Novotný	Ing.		72	důchodce	Uhlířská Lhota	99	80	A	M
2104	533815	1	4	807	1	Kamila	Bečvárovská			51	vedoucí přípravy staveb, fi Výstavba sítí Kolín a. s.	Uhlířská Lhota	99	80	A	F
2104	533815	1	5	802	1	Petra	Marková			47	administrativní pracovnice	Uhlířská Lhota	99	80	A	F
2104	533815	1	6	806	1	Miloslav	Semenec			31	montér TZB, instalatér	Uhlířská Lhota	99	80	A	M
2104	533815	1	7	901	1	Jiří	Kalousek			68	OSVČ, stavební činnost	Uhlířská Lhota	99	80	A	M
2104	533815	1	8	804	1	Jan	Jetýlek			32	OSVČ	Uhlířská Lhota	99	80	A	M
2104	533815	1	9	809	1	Martin	Jasiowka			32	obsluha bioplynové stanice	Rasochy	99	80	A	M
2104	533815	1	10	805	1	Eliška	Semencová	Bc.		27	mzdová účetní	Uhlířská Lhota	99	80	A	F
2104	533815	1	7	901	2	Petr	Studecký	Ing.		58	technik ČOV	Rasochy	99	80	A	M
2104	533815	1	7	901	3	Tereza	Soukupová			22	úřednice	Rasochy	99	80	A	F
2104	533815	1	7	901	4	Milada	Novotná			45	obchodní manažerka	Uhlířská Lhota	99	80	A	F
2104	533815	1	7	901	5	Jaromír	Linhart	Ing.		71	ředitel	Uhlířská Lhota	99	80	A	M
2104	533815	1	7	901	6	Monika	Šímová			42	v domácnosti	Uhlířská Lhota	99	80	A	F
2104	533815	1	7	901	7	Jan	Soukup			60	úředník	Rasochy	99	80	A	M
