OKRES	KODZASTUP	COBVODU	POR_STR_HL	OSTRANA	PORCISLO	JMENO	PRIJMENI	TITULPRED	TITULZA	VEK	POVOLANI	BYDLISTEN	PSTRANA	NSTRANA	PLATNOST	POHLAVI
7201	557188	1	1	7	1	Josef	Palička			65	důchodce	Šelešovice	99	7	A	M
7201	557188	1	2	901	1	Radomil	Jašek			55	starosta obce	Šelešovice	99	80	A	M
7201	557188	1	1	7	2	Radovan	Oborný			52	technik	Šelešovice	99	7	A	M
7201	557188	1	2	901	2	Petr	Šiška	Bc.		38	grafik Montis CZ s.r.o.	Šelešovice	99	80	A	M
7201	557188	1	1	7	3	Pavel	Šulek	Ing.		49	referent	Šelešovice	99	7	A	M
7201	557188	1	2	901	3	Lubomír	Uličník			68	důchodce	Šelešovice	99	80	A	M
7201	557188	1	2	901	4	Richard	Sedláček			36	automechanik	Šelešovice	99	80	A	M
7201	557188	1	2	901	5	Vlastimil	Malošík			47	OSVČ	Šelešovice	99	80	A	M
7201	557188	1	2	901	6	Jakub	Šmíd			33	Policie ČR	Šelešovice	99	80	A	M
7201	557188	1	2	901	7	Petr	Čáp			45	obecní zaměstnanec	Šelešovice	99	80	A	M
7201	557188	1	2	901	8	Vlastimil	Foltýn	Ing.		54	referent MěÚ Kroměříž	Šelešovice	99	80	A	M
7201	557188	1	2	901	9	Robin	Nesvadba			40	technik IT	Šelešovice	99	80	A	M
