OKRES	KODZASTUP	COBVODU	POR_STR_HL	OSTRANA	PORCISLO	JMENO	PRIJMENI	TITULPRED	TITULZA	VEK	POVOLANI	BYDLISTEN	PSTRANA	NSTRANA	PLATNOST	POHLAVI
2105	534561	1	1	470	1	Jiří	Lapáček			58	starosta	Kounice	99	166	A	M
2105	534561	1	2	901	1	Milan	Svoboda			41	technik	Vlastějovice	99	80	A	M
2105	534561	1	1	470	2	Marie	Hatáková			54	osobní bankéř	Vlastějovice	99	80	A	F
2105	534561	1	2	901	2	Milan	Novák			65	podnikatel	Vlastějovice	99	80	A	M
2105	534561	1	1	470	3	Radek	Cihlář	Ing.		48	sedlák	Milošovice	99	80	A	M
2105	534561	1	2	901	3	David	Filípek			41	vedoucí kamenolomu	Vlastějovice	99	80	A	M
2105	534561	1	1	470	4	Milan	Mojžíš			54	strojní zámečník	Budčice	99	80	A	M
2105	534561	1	2	901	4	Eva	Endalová			35	učitelka	Vlastějovice	99	80	A	F
2105	534561	1	1	470	5	Iveta	Marhanová			42	administrativní pracovník	Vlastějovice	99	80	A	F
2105	534561	1	2	901	5	Luboš	Pajer			35	obchodní zástupce	Vlastějovice	99	80	A	M
2105	534561	1	1	470	6	Zdeněk	Havlín	Ing.		69	důchodce	Volavá Lhota	99	80	A	M
2105	534561	1	1	470	7	Jan	Olišar			50	invalidní důchodce	Pavlovice	99	80	A	M
2105	534561	1	1	470	8	Ludmila	Jandlová			64	důchodce	Vlastějovice	99	80	A	F
2105	534561	1	1	470	9	Libuše	Sedláčková			65	důchodce	Kounice	99	80	A	F
