OKRES	KODZASTUP	COBVODU	POR_STR_HL	OSTRANA	PORCISLO	JMENO	PRIJMENI	POHLAVI	TITULPRED	TITULZA	VEK	POVOLANI	BYDLISTEN	PSTRANA	NSTRANA	PLATNOST
2106	535273	1	1	470	1	Filip	Volák	M	Mgr.		45	starosta a středoškolský učitel	Veltrusy	99	166	A
2106	535273	1	1	470	2	Barbora	Bělková	F	Mgr.		45	OSVČ, grafička	Veltrusy	99	80	A
2106	535273	1	1	470	3	Martin	Novák	M	Ing.		42	vedoucí oddělení komunikace v Národní technické knihovně	Veltrusy	99	166	A
2106	535273	1	1	470	4	Soňa	Dekastello	F	Mgr.		40	pedagog	Veltrusy	99	80	A
2106	535273	1	1	470	5	Soňa	Machová	F	Ing.	Ph.D.	41	soukromý podnikatel	Veltrusy	99	80	A
2106	535273	1	1	470	6	Václava	Víšková	F	Mgr.		37	právník	Veltrusy	99	80	A
2106	535273	1	1	470	7	Petr	Procházka	M	Bc.		47	IT specialista	Veltrusy	99	80	A
2106	535273	1	1	470	8	Lenka	Měšťánková	F	Mgr.		44	specialista v potravinářském průmyslu	Veltrusy	99	80	A
2106	535273	1	1	470	9	Jan	Fechtner	M	Ing.		72	důchodce, projektant	Veltrusy	99	80	A
2106	535273	1	1	470	10	Luděk	Málek	M			52	státní zaměstnanec	Veltrusy	99	80	A
2106	535273	1	1	470	11	Vlasta	Hykyšová	F	Mgr.		81	důchodce, pedagog	Veltrusy	99	80	A
2106	535273	1	2	541	1	Lukáš	Kohout	M			44	tajemník na Krajském úřadě Středočeského kraje	Veltrusy	720	720	A
2106	535273	1	2	541	2	Michal	Koldinský	M	Bc.		23	student elektrotechniky, vývojář asistenčních aplikací pro strojvedoucí	Veltrusy	99	720	A
2106	535273	1	2	541	3	Josef	Kubovský	M	Mgr.		41	konzultant rozvoje se specializací na mezinárodní vztahy, EU a státní správu	Veltrusy	99	80	A
2106	535273	1	2	541	4	Michal	Topor	M	Mgr.	Ph.D.	44	jazykovědec, ředitel Institut pro studium literatury, o. p. s.	Veltrusy	99	720	A
2106	535273	1	2	541	5	Kateřina	Kohoutová	F			47	asistentka pedagoga na ZŠ Veltrusy, fotografka	Veltrusy	99	720	A
2106	535273	1	2	541	6	Tomáš	Bednář	M			53	finanční ředitel ve stavebnictví, majitel účetní firmy	Veltrusy	99	720	A
2106	535273	1	2	541	7	Nikola	Klečková	F			18	studentka Dvořákova gymnázia	Veltrusy	99	720	A
2106	535273	1	2	541	8	Tereza	Tilajcsiková	F			37	vedoucí pracovnice v logistice, výtvarnice	Veltrusy	99	720	A
2106	535273	1	2	541	9	Ondřej	Řehounek	M	Ing.		29	programátor, UX designer	Veltrusy	99	720	A
2106	535273	1	2	541	10	Denisa	Grünwaldová	F			40	hairstylistka a majitelka vlasového studia	Veltrusy	99	720	A
2106	535273	1	2	541	11	Eva	Málková	F	MUDr.		52	praktická lékařka a internistka	Veltrusy	99	80	A
2106	535273	1	3	901	1	Antonín	Pražák	M			48	řidič, disponent dopravy, starosta SDH Veltrusy	Veltrusy	99	80	A
2106	535273	1	3	901	2	Ludmila	Hrubešová	F	Ing.		59	ekonom, místostarosta města	Veltrusy	99	80	A
2106	535273	1	3	901	3	Oldřich	Ritter	M			76	letecký konstruktér, projektant	Veltrusy	99	80	A
2106	535273	1	3	901	4	Věra	Krčmová	F			64	živnostník	Veltrusy	99	80	A
2106	535273	1	3	901	5	Jan	Novotný	M			35	IT specialista, živnostník	Veltrusy	99	80	A
2106	535273	1	3	901	6	Helena	Hájková	F			45	pedagogický pracovník, vedoucí mládeže SDH Veltrusy	Veltrusy	99	80	A
2106	535273	1	3	901	7	Michaela	Kejkrtová	F	Bc.	DiS.	33	zemědělská činnost	Veltrusy	99	80	A
2106	535273	1	3	901	8	Olga	Novotná	F			71	důchodkyně	Veltrusy	99	80	A
2106	535273	1	3	901	9	Jaroslav	Louda	M			56	servisní technik	Veltrusy	99	80	A
2106	535273	1	3	901	10	Jitka	Lísková	F	Ing.		63	kurátorka sbírek, knihovnice	Veltrusy	99	80	A
2106	535273	1	3	901	11	Marta	Hrdličková	F			46	analytik, na mateřské dovolené	Veltrusy	99	80	A
