OKRES	KODZASTUP	COBVODU	POR_STR_HL	OSTRANA	PORCISLO	JMENO	PRIJMENI	POHLAVI	TITULPRED	TITULZA	VEK	POVOLANI	BYDLISTEN	PSTRANA	NSTRANA	PLATNOST
8104	568732	1	1	903	1	Vojtěch	Rýdel	M	Bc.		61	starosta	Ženklava	99	80	A
8104	568732	1	1	903	2	Jana	Račková	F	Ing.		55	logistik specialista	Ženklava	99	80	A
8104	568732	1	1	903	3	Iveta	Bačáková	F			49	učitelka MŠ	Ženklava	99	80	A
8104	568732	1	1	903	4	Tomáš	Juroška	M			52	vychovatel	Ženklava	99	80	A
8104	568732	1	1	903	5	Roman	Hykel	M			53	hasič	Ženklava	99	80	A
8104	568732	1	1	903	6	Petr	Blažek	M	Ing.		50	OSVČ	Ženklava	99	80	A
8104	568732	1	1	903	7	Petr	Jalůvka	M	Ing.		46	jednatel společnosti	Ženklava	99	80	A
8104	568732	1	1	903	8	Vojtěch	Fabík	M	Ing.		33	biomedicínský technik	Ženklava	99	80	A
8104	568732	1	1	903	9	Lenka	Witková	F			58	ekonomická pracovnice	Ženklava	99	80	A
8104	568732	1	2	901	1	Luděk	Zavadil	M			59	ošetřovatel	Ženklava	99	80	A
8104	568732	1	2	901	2	Karla	Mlčáková	F	RNDr.		72	starobní důchodce	Ženklava	99	80	A
8104	568732	1	2	901	3	Renata	Petrová	F	Ing.		33	referent životního prostředí	Ženklava	99	80	A
8104	568732	1	2	901	4	Eliška	Petrášová	F			59	nezaměstnaná	Ženklava	99	80	A
8104	568732	1	2	901	5	Antonín	Biner	M			56	střelmistr DPP	Ženklava	99	80	A
8104	568732	1	2	901	6	Jan	Bernatský	M			43	CNC programátor	Ženklava	99	80	A
8104	568732	1	2	901	7	Jana	Pšenicová	F			70	starobní důchodce	Ženklava	99	80	A
8104	568732	1	2	901	8	Radek	Mikeš	M			54	revizní technik	Ženklava	99	80	A
8104	568732	1	2	901	9	Lenka	Mlčáková	F			46	vedoucí recepce	Ženklava	99	80	A
8104	568732	1	3	902	1	Jaroslav	Plaček	M	Ing.		39	konstruktér	Ženklava	99	80	A
8104	568732	1	3	902	2	Miroslav	Černoch	M			60	místostarosta	Ženklava	99	80	A
8104	568732	1	3	902	3	Kateřina	Plačková	F	Ing.		34	referent prodeje	Ženklava	99	80	A
8104	568732	1	3	902	4	Věra	Kahánková	F			59	prodavačka	Ženklava	99	80	A
8104	568732	1	3	902	5	Karel	Krhut	M			52	ředitel kovárny	Ženklava	99	80	A
8104	568732	1	3	902	6	Josef	Holub	M			43	báňský úpravář	Ženklava	99	80	A
8104	568732	1	3	902	7	Milada	Davidová	F			44	obchodní referent	Ženklava	99	80	A
8104	568732	1	3	902	8	Petr	Sopuch	M	Ing.		31	konstruktér	Ženklava	99	80	A
8104	568732	1	3	902	9	Pavel	David	M			48	soukromý podnikatel	Ženklava	99	80	A
8104	568732	1	4	904	1	Martina	Kahánková	F	Mgr.	MBA	43	pedagog	Ženklava	99	80	A
8104	568732	1	4	904	2	Pavla	Frant	F	Ing.		42	realitní makléř	Ženklava	99	80	A
8104	568732	1	4	904	3	Andrea	Besedová	F	Ing.		39	technik BOZP a PO	Ženklava	99	80	A
8104	568732	1	4	904	4	Jan	Přikryl	M			34	řidič	Ženklava	99	80	A
8104	568732	1	4	904	5	Marcela	Lacinová	F			51	prodavačka	Ženklava	99	80	A
8104	568732	1	4	904	6	Karla	Grossmannová	F			45	živnostník	Ženklava	99	80	A
8104	568732	1	4	904	7	Dana	Bršťáková	F			63	důchodce	Ženklava	99	80	A
8104	568732	1	4	904	8	Eva	Kahánková	F			64	důchodce	Ženklava	99	80	A
8104	568732	1	4	904	9	Naděžda	Michálková	F			69	důchodce	Ženklava	99	80	A
