OKRES	KODZASTUP	COBVODU	POR_STR_HL	OSTRANA	PORCISLO	JMENO	PRIJMENI	POHLAVI	TITULPRED	TITULZA	VEK	POVOLANI	BYDLISTEN	PSTRANA	NSTRANA	PLATNOST
7102	552011	1	1	355	1	Alena	Juřínková		Ing.		58	místostarostka Štarnova, referentka majetkové správy	Štarnov	99	1	A
7102	552011	1	1	355	2	Pavel	Roubínek	M	Mgr.	Ph.D.	37	projektový manažer, jednatel, Mikroregion Šternbersko	Štarnov	1	1	A
7102	552011	1	1	355	3	David	Kubenz	M	Mgr.		29	tiskový mluvčí, Celní správa ČR	Štarnov	99	80	A
7102	552011	1	1	355	4	Martin	Šamaj	M	PhDr.	MBA	42	manažer ve zdravotnictví	Štarnov	99	1	A
7102	552011	1	1	355	5	Martin	Stejskal	M	Ing.		49	programátor	Štarnov	99	80	A
7102	552011	1	1	355	6	Margita	Veselská	F			40	technická pracovnice	Štarnov	99	1	A
7102	552011	1	1	355	7	Petr	Fukala	M	Ing.		50	obchodní zástupce	Štarnov	99	1	A
7102	552011	1	1	355	8	Drahomíra	Boštíková	F			60	technická pracovnice	Štarnov	1	1	A
7102	552011	1	1	355	9	Miloslav	Faltynek	M	Bc.		39	projektant, OSVČ	Štarnov	99	1	A
7102	552011	1	1	355	10	Vratislav	Lenhart	M			45	jednatel, VTK Strojírenská s.r.o.	Štarnov	99	80	A
7102	552011	1	1	355	11	Milana	Kretschmerová	F	Bc.	DiS.	51	referentka majetkové správy	Štarnov	99	1	A
7102	552011	1	1	355	12	Martina	Ocelíková	F	PhDr.		33	psycholožka	Štarnov	99	80	A
7102	552011	1	1	355	13	Hana	Běhalová	F			52	školnice, MŠ Štarnov	Štarnov	99	1	A
7102	552011	1	1	355	14	Tomáš	Stejskal	M			47	mlynář	Štarnov	99	80	A
7102	552011	1	1	355	15	Martin	Svozil	M			47	obchodní zástupce	Štarnov	99	80	A
7102	552011	1	2	901	1	Vladimír	Král	M	Ing.		43	OSVČ	Štarnov	99	80	A
7102	552011	1	2	901	2	Michal	Čouka	M			43	OSVČ	Štarnov	99	80	A
7102	552011	1	2	901	3	Petr	Padalík	M			37	projektový manažer	Štarnov	99	80	A
7102	552011	1	2	901	4	Martin	Drozd	M			38	dělník	Štarnov	99	80	A
7102	552011	1	2	901	5	Rudolf	Lukeš	M			67	důchodce	Štarnov	99	80	A
7102	552011	1	2	901	6	Libor	Opluštil	M			43	OSVČ	Štarnov	99	80	A
7102	552011	1	2	901	7	Petr	Honzík	M			55	údržbář ZD	Štarnov	99	80	A
7102	552011	1	2	901	8	Leoš	Nykl	M			47	obchodní zástupce	Štarnov	99	80	A
7102	552011	1	2	901	9	Libor	Kolínek	M			50	OSVČ	Štarnov	99	80	A
7102	552011	1	2	901	10	Jakub	Šperlík	M			36	svářeč	Štarnov	99	80	A
7102	552011	1	2	901	11	Jiří	Šiška	M			47	automechanik	Štarnov	99	80	A
7102	552011	1	2	901	12	Radek	Lukeš	M			32	OSVČ	Štarnov	99	80	A
7102	552011	1	2	901	13	Marek	Plachta	M			28	voják	Štarnov	99	80	A
7102	552011	1	2	901	14	Radim	Doffek	M			51	IT technik	Štarnov	99	80	A
7102	552011	1	2	901	15	Pavel	Král	M			34	komisař PČR	Štarnov	99	80	A
