OKRES	KODZASTUP	COBVODU	POR_STR_HL	OSTRANA	PORCISLO	JMENO	PRIJMENI	TITULPRED	TITULZA	VEK	POVOLANI	BYDLISTEN	PSTRANA	NSTRANA	PLATNOST	POHLAVI
6103	561789	1	1	802	1	Josef	Maňas			55	tesař	Rodinov	99	80	A	M
6103	561789	1	2	812	1	Luboš	Pechek			50	OSVČ	Rodinov	99	80	A	M
6103	561789	1	3	809	1	Jiří	Holický	Ing.		35	ředitel společnosti	Rodinov	99	80	A	M
6103	561789	1	4	803	1	Eva	Zikmundová			67	důchodkyně	Rodinov	99	80	A	F
6103	561789	1	5	805	1	Jitka	Fiedlerová			54	ředitelka MŠ Rodinov	Rodinov	99	80	A	F
6103	561789	1	6	810	1	Bohuslav	Jůn			52	opravář	Rodinov	99	80	A	M
6103	561789	1	7	801	1	Růžena	Tománková			63	finanční ředitelka	Rodinov	99	80	A	F
6103	561789	1	8	804	1	Jaroslav	Tichý			49	řidič	Rodinov	99	80	A	M
6103	561789	1	9	811	1	Radek	Matějů			53	údržbář	Rodinov	99	80	A	M
6103	561789	1	10	807	1	Jakub	Lasovský			32	ŘSM specialista	Rodinov	99	80	A	M
6103	561789	1	11	808	1	Petr	Novotný			33	traktorista ZD Kalich	Rodinov	99	80	A	M
6103	561789	1	12	806	1	Václav	Kasal			51	opravář, mechanik	Rodinov	99	80	A	M
