OKRES	KODZASTUP	COBVODU	POR_STR_HL	OSTRANA	PORCISLO	JMENO	PRIJMENI	POHLAVI	TITULPRED	TITULZA	VEK	POVOLANI	BYDLISTEN	PSTRANA	NSTRANA	PLATNOST
3205	558877	1	1	1	1	Jan	Kalous	M			74	technik	Horní Bělá	99	1	A
3205	558877	1	1	1	2	Václav	Bulín	M			60	technik	Horní Bělá	1	1	A
3205	558877	1	1	1	3	Pavel	Sidorjak	M			37	technik	Horní Bělá	99	1	A
3205	558877	1	1	1	4	Radka	Švambergová	F			53	technik	Horní Bělá	99	1	A
3205	558877	1	1	1	5	Michaela	Bulínová	F			47	zdravotní sestra	Horní Bělá	99	1	A
3205	558877	1	2	901	1	Radek	Pešík	M	Ing.		52	starosta obce	Horní Bělá	99	80	A
3205	558877	1	2	901	2	Alena	Nová	F			70	důchodkyně	Horní Bělá	99	80	A
3205	558877	1	2	901	3	Michal	Marek	M	Mgr.		57	podnikatel	Tlucná	768	80	A
3205	558877	1	2	901	4	Petr	Želinský	M			42	podnikatel	Horní Bělá	99	80	A
3205	558877	1	2	901	5	Miroslav	Kraus	M			62	podnikatel	Hubenov	99	80	A
3205	558877	1	2	901	6	Oldřich	Dobrý	M	Bc.		37	hasič	Horní Bělá	99	80	A
3205	558877	1	2	901	7	Tereza	Příhodová	F			40	podnikatel	Tlucná	99	80	A
3205	558877	1	2	901	8	Ilona	Dolejšová	F	Bc.		47	vychovatelka	Horní Bělá	99	80	A
3205	558877	1	2	901	9	Alena	Hosprová	F			56	prodavačka	Hubenov	99	80	A
3205	558877	1	2	901	10	Ladislav	Pešička	M			63	technik	Horní Bělá	99	80	A
3205	558877	1	2	901	11	Petr	Pašek	M			47	elektrikář	Horní Bělá	99	80	A
