OKRES	KODZASTUP	COBVODU	POR_STR_HL	OSTRANA	PORCISLO	JMENO	PRIJMENI	POHLAVI	TITULPRED	TITULZA	VEK	POVOLANI	BYDLISTEN	PSTRANA	NSTRANA	PLATNOST
2109	533416	1	1	401	1	Jan	Černý	M	MVDr.		63	starosta města	Kostelec nad Černými lesy	99	80	A
2109	533416	1	1	401	2	Jiří	Vedral	M	Ing.		42	specialista kontrolingu	Kostelec nad Černými lesy	99	80	A
2109	533416	1	1	401	3	Milan	Drozdek	M			62	živnostník	Kostelec nad Černými lesy	99	88	A
2109	533416	1	1	401	4	Jaroslav	Brachovec	M			50	profesionální hasič	Kostelec nad Černými lesy	99	80	A
2109	533416	1	1	401	5	Simona	Hošťálková	F			38	obchodní zástupce	Kostelec nad Černými lesy	99	80	A
2109	533416	1	1	401	6	Miroslav	Zámostný	M			56	živnostník	Kostelec nad Černými lesy	99	80	A
2109	533416	1	1	401	7	Barbora	Puchý	F	Mgr.		41	projektový manažer	Kostelec nad Černými lesy	99	88	A
2109	533416	1	1	401	8	Jiří	Čvančara	M	Ing.		68	ekonom	Kostelec nad Černými lesy	47	80	A
2109	533416	1	1	401	9	Bohumil	Štěpán	M			47	podnikatel	Svatbín	99	80	A
2109	533416	1	1	401	10	Michaela	Kozadajev	F			47	zaměstnanec ŠLP	Kostelec nad Černými lesy	99	80	A
2109	533416	1	1	401	11	Petr	Vejvoda	M			70	důchodce	Kostelec nad Černými lesy	99	80	A
2109	533416	1	1	401	12	Lucie	Fousková	F			42	manažerka	Kostelec nad Černými lesy	99	80	A
2109	533416	1	1	401	13	Pavel	Hubal	M			54	živnostník	Kostelec nad Černými lesy	99	80	A
2109	533416	1	1	401	14	Jakub	Fous	M			42	živnostník	Kostelec nad Černými lesy	99	80	A
2109	533416	1	1	401	15	Eva	Pekárková	F			46	zaměstnanec ŠLP	Kostelec nad Černými lesy	99	80	A
2109	533416	1	2	902	1	Šárka	Žylová	F			50	administrativní pracovnice, člen SDH	Kostelec nad Černými lesy	99	80	A
2109	533416	1	2	902	2	Ondřej	Flek	M			40	podnikatel v IT, člen SDH, JPO	Kostelec nad Černými lesy	99	80	A
2109	533416	1	2	902	3	Veronika	Kšádová	F			35	referentka správy dat, člen SDH	Kostelec nad Černými lesy	99	80	A
2109	533416	1	2	902	4	Jan	Tipmann	M			33	lesní dělník	Kostelec nad Černými lesy	99	80	A
2109	533416	1	2	902	5	Jaroslav	Řeřicha	M	Ing.		56	kartograf	Kostelec nad Černými lesy	99	80	A
2109	533416	1	2	902	6	Patrik	Žyla	M			32	stavbyvedoucí, technik staveb, člen SDH, JPO	Kostelec nad Černými lesy	99	80	A
2109	533416	1	2	902	7	Jan	Kárník	M			23	seřizovač výroby, člen SDH	Kostelec nad Černými lesy	99	80	A
2109	533416	1	2	902	8	Pavlína	Vosecká	F		DiS.	45	staniční sestra	Kostelec nad Černými lesy	99	80	A
2109	533416	1	2	902	9	Jiří	Novák	M			72	důchodce, člen SDH	Kostelec nad Černými lesy	99	80	A
2109	533416	1	2	902	10	Martin	Nedvěd	M			46	OSVČ	Svatbín	99	80	A
2109	533416	1	2	902	11	Veronika	Fleková	F			42	hlavní účetní, člen SDH	Kostelec nad Černými lesy	99	80	A
2109	533416	1	2	902	12	Pavel	Vencl	M			45	OSVČ, člen SDH	Kostelec nad Černými lesy	99	80	A
2109	533416	1	2	902	13	Věra	Krupičková	F			48	zaměstnanec ve farmaceutické výrobě	Kostelec nad Černými lesy	99	80	A
2109	533416	1	2	902	14	Jan	Holeček	M			42	vedoucí autoservisu	Kostelec nad Černými lesy	99	80	A
2109	533416	1	2	902	15	Radovan	Žyla	M			52	OSVČ, starosta SDH, člen JPO	Kostelec nad Černými lesy	99	80	A
2109	533416	1	3	166	1	Jiří	Kahoun	M	Ing.		52	logistik	Kostelec nad Černými lesy	166	166	A
2109	533416	1	3	166	2	Tomáš	Král	M			39	podnikatel, cukrář, radní města	Kostelec nad Černými lesy	99	166	A
2109	533416	1	3	166	3	Petr	Hakl	M			48	specialista elektro - měření a regulace, informační technologie	Kostelec nad Černými lesy	99	166	A
2109	533416	1	3	166	4	Radek	Lomič	M			44	profesionální hasič	Kostelec nad Černými lesy	99	166	A
2109	533416	1	3	166	5	Jan	Zaněk	M			34	aplikační administrátor	Kostelec nad Černými lesy	99	166	A
2109	533416	1	3	166	6	Jiří	Urban	M			56	pracovník ve farmaceutické firmě	Kostelec nad Černými lesy	99	166	A
2109	533416	1	3	166	7	Václav	Chládek	M	Bc.		52	profesionální hasič	Svatbín	99	166	A
2109	533416	1	3	166	8	Alena	Skořepová Pospíšilová	F			41	zdravotní sestra	Svatbín	99	166	A
2109	533416	1	3	166	9	Dušan	Končický	M			55	podnikatel	Kostelec nad Černými lesy	99	166	A
2109	533416	1	3	166	10	Petr	Maršíček	M			38	podnikatel	Kostelec nad Černými lesy	99	166	A
2109	533416	1	3	166	11	Miroslav	Fehér	M			30	policista - Policie České republiky	Kostelec nad Černými lesy	99	166	A
2109	533416	1	3	166	12	Petra	Kubů	F			38	zdravotní sestra	Kostelec nad Černými lesy	99	166	A
2109	533416	1	3	166	13	Pavel	Soukup	M			60	specialista elektro - měření a regulace	Kostelec nad Černými lesy	99	166	A
2109	533416	1	3	166	14	Michaela	Pazderová	F			52	prodavačka	Kostelec nad Černými lesy	99	166	A
2109	533416	1	3	166	15	Viktor	Breth	M			63	podnikatel - autodoprava	Kostelec nad Černými lesy	99	166	A
2109	533416	1	4	901	1	Martin	Sandholc	M			37	ředitel a jednatel společnosti	Kostelec nad Černými lesy	99	80	A
2109	533416	1	4	901	2	Jana	Havelková	F	Ing.		63	projektová manažerka	Kostelec nad Černými lesy	721	80	A
2109	533416	1	4	901	3	Jan	Svatoš	M			34	jednatel společnosti	Kostelec nad Černými lesy	53	80	A
2109	533416	1	4	901	4	Hedvika	Voncová	F		DiS.	48	OSVČ, fyzioterapeutka	Kostelec nad Černými lesy	99	80	A
