OKRES	KODZASTUP	COBVODU	POR_STR_HL	OSTRANA	PORCISLO	JMENO	PRIJMENI	TITULPRED	TITULZA	VEK	POVOLANI	BYDLISTEN	PSTRANA	NSTRANA	PLATNOST	POHLAVI
2109	538833	1	1	901	1	Petr	Čuřík	Ing.		54	ekonom, starosta obce Sulice, zaměstnanec MF ČR	Hlubočinka	99	80	A	M
2109	538833	1	1	901	2	Karel	Stehno	JUDr.		67	právník, pověřenec GDPR	Želivec	99	80	A	M
2109	538833	1	1	901	3	Jana	Indrová			45	podnikatelka, místostarostka obce Sulice	Sulice	99	80	A	F
2109	538833	1	1	901	4	Miloslav	Skružný			56	podnikatel	Nechánice	99	80	A	M
2109	538833	1	1	901	5	Ondřej	Černil	Ing.		61	podnikatel, 1. místostarosta obce Sulice	Hlubočinka	99	80	A	M
2109	538833	1	1	901	6	Oldřich	Švábek			53	obchodní ředitel	Hlubočinka	99	80	A	M
2109	538833	1	1	901	7	Petr	Kreuz			53	podnikatel	Želivec	99	80	A	M
2109	538833	1	1	901	8	Lukáš	Vacík			37	podnikatel v oblasti marketingu	Želivec	99	80	A	M
2109	538833	1	1	901	9	Jaroslav	Švec	Ing.		50	IT specialista	Sulice	99	80	A	M
2109	538833	1	1	901	10	Ivana	Chrudimská			50	zdravotní sestra	Sulice	99	80	A	F
2109	538833	1	1	901	11	Marek	Gömö			62	obchodní manažer	Hlubočinka	99	80	A	M
2109	538833	1	1	901	12	Marie	Šimonicová			58	veterinární laborantka	Sulice	99	80	A	F
2109	538833	1	1	901	13	Alexandra	Hulvertová		DiS.	40	porodní asistentka, učitelka v MŠ	Hlubočinka	99	80	A	F
