OKRES	KODZASTUP	COBVODU	POR_STR_HL	OSTRANA	PORCISLO	JMENO	PRIJMENI	POHLAVI	TITULPRED	TITULZA	VEK	POVOLANI	BYDLISTEN	PSTRANA	NSTRANA	PLATNOST
2110	539627	1	1	480	1	Jaroslav	Drda	M	Mgr.		64	tajemník městského úřadu	Roztoky	721	721	A
2110	539627	1	1	480	2	Jan	Jakob	M			39	starosta města, poslanec	Roztoky	721	721	A
2110	539627	1	1	480	3	Zdeněk	Richter	M	Ing.		65	místostarosta, ředitel obchodní společnosti	Roztoky	99	721	A
2110	539627	1	1	480	4	Jaromír	Beran	M	Mgr.		34	ředitel odboru Ministerstva školství	Roztoky	721	721	A
2110	539627	1	1	480	5	Vladimíra	Drdová	F	Bc.		53	koordinátorka sociálních projektů	Roztoky	99	721	A
2110	539627	1	1	480	6	Lukáš	Hejduk	M	Mgr.		32	asistent poslance, skautský vedoucí	Roztoky	99	721	A
2110	539627	1	1	480	7	René	Šmíd	M			46	hasič - velitel družstva, velitel JSDH	Roztoky	99	721	A
2110	539627	1	1	480	8	Petr	Macoun	M		MSc., MBA	47	ředitel IT společnosti, procesní analytik	Roztoky	99	721	A
2110	539627	1	1	480	9	Martin	Štifter	M	Ing.	CSc.	73	radní, mikrobiolog	Roztoky	99	721	A
2110	539627	1	1	480	10	Aleš	Jeřábek	M			65	provozovatel pizzerie	Roztoky	721	721	A
2110	539627	1	1	480	11	Lenka	Červenková	F	Mgr.		57	novinářka, ředitelka vzdělávacího centra	Roztoky	99	721	A
2110	539627	1	1	480	12	Michal	Seidl	M	Ing.		27	stavbyvedoucí	Roztoky	721	721	A
2110	539627	1	1	480	13	Ivana	Vránková	F	Mgr.		37	projektová manažerka v neziskovém sektoru	Roztoky	99	721	A
2110	539627	1	1	480	14	Petr	Flek	M	Ing.		49	manažer ve stavebnictví	Roztoky	99	721	A
2110	539627	1	1	480	15	Tomáš	Treichel	M	Bc.		25	učitel, skautský vedoucí	Roztoky	99	721	A
2110	539627	1	1	480	16	Pavel	Jursík	M	Mgr.		28	právník	Roztoky	721	721	A
2110	539627	1	1	480	17	Jakub	Kapitán	M			28	správce sportovního areálu	Roztoky	99	721	A
2110	539627	1	1	480	18	Jan	Vidim	M			23	hypoteční specialista	Roztoky	721	721	A
2110	539627	1	1	480	19	Jaroslav	Kozdělka	M			37	manažer a spolumajitel pekárny	Roztoky	99	721	A
2110	539627	1	1	480	20	Kamila	Carbolová	F	Mgr.		43	psychoterapeutka	Roztoky	99	721	A
2110	539627	1	1	480	21	Michal	Černý	M	Mgr.		51	záchranář	Roztoky	99	721	A
2110	539627	1	2	901	1	Eva	Sodomová	F			71	podnikatelka	Roztoky	99	80	A
2110	539627	1	2	901	2	Ivana	Bartizalová	F	Ing.		61	vrchní disponentka - upisovatelka	Roztoky	99	80	A
2110	539627	1	2	901	3	Jan	Macháček	M	Ing.		29	ekonomický manažer	Roztoky	99	80	A
2110	539627	1	2	901	4	Petra	Lichnovská	F	Mgr.		46	tlumočnice, překladatelka	Roztoky	99	80	A
2110	539627	1	2	901	5	Jitka	Šrejberová	F	Mgr.	Ph.D.	45	umělecká historička	Roztoky	99	80	A
2110	539627	1	2	901	6	Milan	Štochel	M	Ing.		59	úředník	Roztoky	99	80	A
2110	539627	1	2	901	7	Lenka	Herzingerová	F			71	účetní	Roztoky	99	80	A
2110	539627	1	2	901	8	Viktor	Sodoma	M			77	zpěvák	Roztoky	99	80	A
2110	539627	1	2	901	9	Ivan	Bartizal	M			61	vedoucí prodejny	Roztoky	99	80	A
2110	539627	1	2	901	10	Ivan	Fritz	M	JUDr. Ing.		45	advokát	Roztoky	99	80	A
2110	539627	1	2	901	11	Pavel	Bečvář	M	Mgr.		42	programátor	Roztoky	99	80	A
2110	539627	1	2	901	12	Lenka	Vozková	F			44	OSVČ	Roztoky	99	80	A
2110	539627	1	2	901	13	Jindřich	Bečvář	M	Ing.		45	konzultant	Roztoky	99	80	A
2110	539627	1	2	901	14	Lumír	Nachmilner	M	Ing.	CSc.	72	konzultant v oblasti zneškodňování radioaktivních odpadů	Roztoky	99	80	A
2110	539627	1	2	901	15	Antonín	Sádlo	M			64	podnikatel	Roztoky	99	80	A
2110	539627	1	2	901	16	Milan	Valek	M			29	izolatér střech	Roztoky	99	80	A
2110	539627	1	2	901	17	Tomáš	Kratochvíl	M	Ing.		60	OSVČ	Roztoky	99	80	A
2110	539627	1	2	901	18	Vladimír	Fučík	M	Ing.		64	OSVČ	Roztoky	99	80	A
2110	539627	1	2	901	19	Jarmila	Rysplerová	F			46	OSVČ	Roztoky	99	80	A
2110	539627	1	2	901	20	Daniel	Mička	M	Ing.		51	IT architekt	Roztoky	99	80	A
2110	539627	1	2	901	21	Karel	Vlček	M	Ing.		68	důchodce	Roztoky	99	80	A
2110	539627	1	3	903	1	Zuzana	Šrůmová	F	Mgr.		37	projektová manažerka, test analytička v IT	Roztoky	99	80	A
2110	539627	1	3	903	2	Tereza	Kněžourková	F	Mgr.		40	majitelka kavárny, projektová manažerka	Roztoky	99	80	A
2110	539627	1	3	903	3	Martin	Svášek	M	Mgr.	PhD.	45	tiskový atašé	Roztoky	99	80	A
2110	539627	1	3	903	4	Marie	Kantorová	F			46	OSVČ, realitní makléřka	Roztoky	99	80	A
2110	539627	1	3	903	5	Karel	Blaha	M	Mgr.		43	náměstek ministra	Roztoky	99	80	A
2110	539627	1	3	903	6	Tomáš	Rolc				29	OSVČ, programátor	Roztoky	99	80	A
2110	539627	1	3	903	7	Tomáš	Zděblo	M			47	předseda environmentální org., zemědělec, lektor ekologické výchovy	Roztoky	99	80	A
2110	539627	1	3	903	8	Petra	Birlenbach	F	Ing.		44	OSVČ, finanční konzultant	Roztoky	99	80	A
2110	539627	1	3	903	9	Michael	Hošek	M	Ing.		45	spolumajitel firmy v oblasti udržitelného využívání přírodních zdrojů	Roztoky	99	80	A
2110	539627	1	3	903	10	Monika	Humplová	F	Bc.		41	sociální pracovnice	Roztoky	99	80	A
2110	539627	1	3	903	11	Martin	Čech	M	Mgr.		57	úředník ve školství	Roztoky	99	80	A
2110	539627	1	3	903	12	Emílie	Trakalová	F	Mgr.		39	hydrogeoložka, konzultantka a manažerka mezinárodních projektů	Roztoky	99	80	A
2110	539627	1	3	903	13	Martina	Krátká	F	Ing.		58	ekonomka	Roztoky	99	80	A
2110	539627	1	3	903	14	Ridina	Ahmedová	F	Bc.		48	umělkyně	Roztoky	99	80	A
2110	539627	1	3	903	15	Miroslava	Kuglerová	F	MUDr.		48	dětská lékařka	Roztoky	99	80	A
2110	539627	1	3	903	16	Štěpán	Jurajda	M	prof.	Ph.D.	52	náměstek ministryně, výzkumný pracovník	Roztoky	99	80	A
2110	539627	1	3	903	17	Lucie	Hošková	F	Mgr.		48	ornitoložka, fundraiserka	Roztoky	99	80	A
2110	539627	1	3	903	18	Václav	Mašek	M	Ing. arch.		76	důchodce	Roztoky	99	80	A
2110	539627	1	3	903	19	Anna	Kaucká	F	Mgr.		48	sociální pracovnice	Roztoky	99	80	A
2110	539627	1	3	903	20	Jitka	Ayazová	F	Ing.		47	finanční kontrolorka	Roztoky	99	80	A
2110	539627	1	3	903	21	Eva	Smolíková	F	Ing. arch		43	architektka	Roztoky	99	80	A
2110	539627	1	4	902	1	Marie	Dvořáková	F			45	koordinátorka dobrovolníků	Roztoky	99	80	A
2110	539627	1	4	902	2	Petra	Kazdová	F		DiS.	42	tisková mluvčí	Roztoky	99	80	A
2110	539627	1	4	902	3	Michal	Přikryl	M	Mgr.		59	filmový produkční	Roztoky	99	80	A
2110	539627	1	4	902	4	Marcela	Šášinková	F	Mgr.		59	historička	Roztoky	99	80	A
2110	539627	1	4	902	5	Kateřina	Gotthardová	F	Bc.		33	kavárnice	Roztoky	99	80	A
2110	539627	1	4	902	6	Jaroslav	Hladílek	M			55	obchodní manažer	Roztoky	99	80	A
2110	539627	1	4	902	7	Šárka	Urbanovská	F		DiS.	40	herečka, scénografka	Roztoky	99	80	A
