OKRES	KODZASTUP	COBVODU	POR_STR_HL	OSTRANA	PORCISLO	JMENO	PRIJMENI	TITULPRED	TITULZA	VEK	POVOLANI	BYDLISTEN	PSTRANA	NSTRANA	PLATNOST	POHLAVI
1199	539601	1	1	541	1	Martin	Zelený	Ing.	Ph.D.	33	ekonom	Praha 16	99	720	A	M
1199	539601	1	2	53	1	Karel	Hanzlík	Mgr.		56	starosta Městské části Praha 16	Praha 16	53	53	A	M
1199	539601	1	3	1344	1	Jan-Matěj	Rak			45	hudebník a učitel	Praha 16	721	721	A	M
1199	539601	1	1	541	2	Štěpán	Esterle	Mgr.		32	železniční expert	Praha 16	99	720	A	M
1199	539601	1	2	53	2	Miroslav	Knotek	Mgr.		54	místostarosta Městské části Praha 16	Praha 16	53	53	A	M
1199	539601	1	3	1344	2	Lucie	Malátová	Ing.	MBA	50	ekonom	Praha 16	1	1	A	F
1199	539601	1	1	541	3	Petr	Horský			56	projektový manažer	Praha 16	99	80	A	M
1199	539601	1	2	53	3	Simona	Baráková			52	učitelka	Praha 16	99	53	A	F
1199	539601	1	3	1344	3	Matěj	Pomahač	Mgr.		38	zemědělský konzultant	Praha 16	5	5	A	M
1199	539601	1	1	541	4	Karel	Nejedlík	Bc.		36	IT specialista	Praha 16	720	720	A	M
1199	539601	1	2	53	4	Viktor	Krištof	Ing.	MBA	43	filmový producent, ředitel filmové školy	Praha 16	53	53	A	M
1199	539601	1	3	1344	4	Jan	Šatra	Ing.		51	bankovní poradce	Praha 16	721	721	A	M
1199	539601	1	1	541	5	Martina	Homolová			35	průvodkyně v dětském klubu	Praha 16	99	80	A	F
1199	539601	1	2	53	5	Petr	Šiška	Ing.		59	odborný poradce v oblasti veřejných zakázek	Praha 16	53	53	A	M
1199	539601	1	3	1344	5	Václav	Vojíř			63	řidič autobusu MHD, předseda spolku Život na soutoku	Praha 16	99	80	A	M
1199	539601	1	1	541	6	Thomas	Jandečka			31	vývojář zdravotnických přístrojů	Praha 16	99	80	A	M
1199	539601	1	2	53	6	Jan	Fleischner			27	realitní makléř	Praha 16	53	53	A	M
1199	539601	1	3	1344	6	Petr	Martínek			61	řidič tramvaje MHD	Praha 16	1	1	A	M
1199	539601	1	1	541	7	Alice	Moravcová	Mgr.		33	vědecký pracovník	Praha 16	99	80	A	F
1199	539601	1	2	53	7	Jakub	Mareš	Mgr.		28	hydrogeolog	Praha 16	53	53	A	M
1199	539601	1	3	1344	7	Tomáš	Sladký	Bc.		51	projektový manažer	Praha 16	721	721	A	M
1199	539601	1	1	541	8	Monika	Radovanská	Mgr. Bc.		37	učitelka a teoložka	Praha 16	99	80	A	F
1199	539601	1	2	53	8	Irena	Farníková	Ing.		70	programátorka, knihovnice	Praha 16	53	53	A	F
1199	539601	1	3	1344	8	Milena	Raková Kratochvílová	Mgr.		46	psychoterapeut	Praha 16	99	80	A	
1199	539601	1	1	541	9	Michal	Cipryan			42	živnostník	Praha 16	99	80	A	M
1199	539601	1	2	53	9	Jan	Farník	Ing.		70	strojní inženýr, informatik	Praha 16	53	53	A	M
1199	539601	1	3	1344	9	Jiří	Horák	Ing.		63	zahradník, ředitel firmy	Praha 16	99	1	A	M
1199	539601	1	1	541	10	Jan	Cigánik			64	podnikatel	Praha 16	99	80	A	M
1199	539601	1	2	53	10	Sabina	Krejčí	Mgr.		29	vedoucí knihovny	Praha 16	53	53	A	F
1199	539601	1	3	1344	10	Vratislav	Šustr	Mgr.		24	archivář	Praha 16	721	721	A	M
1199	539601	1	1	541	11	Adéla	Urbanová	Mgr.		42	učitelka	Praha 16	99	80	A	F
1199	539601	1	2	53	11	Jana	Zdráhalová	Ing. arch.	Ph.D.	44	architektka, vysokoškolská pedagožka	Praha 16	99	53	A	F
1199	539601	1	3	1344	11	Zdeněk	Bohdanecký			45	technický konzultant	Praha 16	55	80	A	M
1199	539601	1	1	541	12	Vladimír	Radovanský	Ing.		61	konzultant a námořní kapitán	Praha 16	99	80	A	M
1199	539601	1	2	53	12	Kateřina	Poludová	Mgr. Bc.	DiS.	49	bezpečnostní specialistka	Praha 16	53	53	A	F
1199	539601	1	3	1344	12	Filip	Řehoř	Ing.	PhD.	35	projektant mostů	Praha 16	99	1	A	M
1199	539601	1	1	541	13	Tereza	Šedivá	Mgr.		45	učitelka	Praha 16	99	80	A	F
1199	539601	1	2	53	13	Martina	Ježková	Ing.		44	personální ředitelka	Praha 16	99	53	A	F
1199	539601	1	3	1344	13	Zuzana	Pomahačová	Mgr.		45	učitelka	Praha 16	99	80	A	F
1199	539601	1	1	541	14	Zbyněk	Čech			37	vodohospodářský dělník - řidič	Praha 16	99	80	A	M
1199	539601	1	2	53	14	Michal	Pavlát			42	profesionální hasič	Praha 16	99	53	A	M
1199	539601	1	3	1344	14	David	Garkisch			48	novinář	Praha 16	99	80	A	M
1199	539601	1	1	541	15	Ivan	Klusáček			48	strojní zámečník	Praha 16	99	80	A	M
1199	539601	1	2	53	15	Milan	Bouzek	Ing.		74	stavební inženýr	Praha 16	53	53	A	M
1199	539601	1	3	1344	15	Tereza	Hundáková			42	učitelka	Praha 16	99	1	A	F
