OKRES	KODZASTUP	COBVODU	POR_STR_HL	OSTRANA	PORCISLO	JMENO	PRIJMENI	TITULPRED	TITULZA	VEK	POVOLANI	BYDLISTEN	PSTRANA	NSTRANA	PLATNOST	POHLAVI
7104	513211	1	1	901	1	Ivo	Richter			47	umělec, hudebník	Domaželice	99	80	A	M
7104	513211	1	2	902	1	Petr	Zajíc	Mgr.		43	ředitel	Domaželice	99	80	A	M
7104	513211	1	1	901	2	Jan	Gybas	Ing. Bc.		35	IT technik	Domaželice	99	80	A	M
7104	513211	1	2	902	2	Ladislav	Lučan			44	manažer	Domaželice	99	80	A	M
7104	513211	1	1	901	3	Petra	Mrázková			40	asistent pedagoga ZŠ	Domaželice	99	80	A	F
7104	513211	1	2	902	3	Michal	Jančík	Bc.		37	technik projektu	Domaželice	99	80	A	M
7104	513211	1	1	901	4	František	Koláček			60	učitel	Domaželice	99	80	A	M
7104	513211	1	2	902	4	Jaromír	Zdráhala			63	údržbář	Domaželice	99	80	A	M
7104	513211	1	1	901	5	Jana	Nelešovská			50	kuchařka	Domaželice	99	80	A	F
7104	513211	1	2	902	5	Pavla	Matkowská	Mgr.		45	speciální pedagog	Domaželice	99	80	A	F
7104	513211	1	1	901	6	Petr	Olša			27	software engineer	Domaželice	99	80	A	M
7104	513211	1	2	902	6	Pavel	Dostál	Ing.		54	ředitel	Domaželice	99	80	A	M
7104	513211	1	1	901	7	Kateřina	Lučanová			55	asistent prodeje	Domaželice	99	80	A	F
7104	513211	1	2	902	7	Tomáš	Leskovjan			46	živnostník	Domaželice	99	80	A	M
7104	513211	1	1	901	8	Martin	Školoud	Bc.		28	technolog lakovny	Domaželice	99	80	A	M
7104	513211	1	2	902	8	Martin	Zajíc	Mgr.		39	učitel	Domaželice	99	80	A	M
