OKRES	KODZASTUP	COBVODU	POR_STR_HL	OSTRANA	PORCISLO	JMENO	PRIJMENI	TITULPRED	TITULZA	VEK	POVOLANI	BYDLISTEN	PSTRANA	NSTRANA	PLATNOST	POHLAVI
7104	500151	1	1	902	1	Vladimír	Kuchař			52	lesní	Luboměř pod Strážnou	99	80	A	M
7104	511382	1	1	768	1	Petr	Vrána	Ing.		47	poslanec, radní města Přerova	Přerov I-Město	768	768	A	M
7104	512231	1	1	470	1	Miroslav	Maštera	Ing.		41	vedoucí výroby	Bělotín	99	80	A	M
7104	512281	1	1	902	1	Tomáš	Smékal	Ing.		42	OSVČ	Beňov	99	80	A	M
7104	512401	1	1	901	1	Zdeněk	Pospíšilík	Mgr.		55	technik	Bezuchov	99	80	A	M
7104	512532	1	1	904	1	Hana	Nováková			43	účetní	Bochoř	99	80	A	F
7104	512800	1	1	720	1	Radek	Vojtek			33	manager	Brodek u Přerova	720	720	A	M
7104	512826	1	1	901	1	Jaroslav	Vrtělka			57	OSVČ	Buk	99	80	A	M
7104	512877	1	1	901	1	Pavel	Hlavička			46	prodejce	Býškovice	99	80	A	M
7104	512982	1	1	902	1	Jaromír	Otáhal			62	starosta obce	Citov	99	80	A	M
7104	513059	1	1	901	1	Marie	Navrátilová			50	pokladní	Čelechovice	99	80	A	F
7104	513067	1	1	1	1	Lucie	Mynářová	Mgr.		42	ředitelka ZŠ	Hluzov	99	1	A	F
7104	513105	1	1	901	1	Milan	Klimecký			67	důchodce	Dobrčice	99	80	A	M
7104	513199	1	1	901	1	Eduard	Rýček	Ing.		58	starosta obce	Dolní Újezd	99	80	A	M
7104	513211	1	1	901	1	Ivo	Richter			47	umělec, hudebník	Domaželice	99	80	A	M
7104	513229	1	1	901	1	Jaroslav	Jančík			57	místostarosta	Dřevohostice	99	80	A	M
7104	513491	1	1	53	1	Tomáš	Ostrčil	Ing.		47	ředitel plavebního úřadu Přerov	Horní Moštěnice	53	53	A	M
7104	513636	1	1	901	1	Ján	Kožiak	Ing.		64	důchodce	Hrabůvka	99	80	A	M
7104	513733	1	1	902	1	Marie	Galetová			51	OSVČ	Hradčany	99	80	A	F
7104	513750	1	1	1114	1	Martin	Malášek		MSc.	27	živnostník, tajemník krajského klubu zastupitelů, pracovník v sociálních službách, člen krajského zdravotního výboru, člen bytové a sociální komise rady města Hranice	Hranice I-Město	1114	1114	A	M
7104	513768	1	1	901	1	Roman	Vacula	Ing.		49	podnikatel	Hustopeče nad Bečvou	99	80	A	M
7104	513873	1	1	53	1	Alexandra	Holčáková	Ing.		56	terénní inspektor	Jindřichov	99	53	A	F
7104	514047	1	1	809	1	Kamila	Foltýnková			36	administrativní pracovník	Klokočí	99	80	A	F
7104	514055	1	1	47	1	František	Krejčiřík			73	zámečník	Kojetín III-Kovalovice	47	47	A	M
7104	514152	1	1	902	1	Jana	Habáňová	Ing.		44	starostka	Kokory	99	80	A	F
7104	514446	1	1	901	1	Pavlína	Kubíková			35	státní zaměstnanec	Lazníčky	99	80	A	F
7104	514471	1	1	902	1	Martin	Dočkal			46	technický specialista	Lazníky	99	80	A	M
7104	514497	1	1	901	1	Jana	Skopalová	Ing.		52	technik	Lhota	99	80	A	F
7104	514527	1	1	901	1	Milan	Trnčák	Ing.		53	projektant	Lhotka	99	80	A	M
7104	514705	1	1	53	1	Martin	Drietomský	Mgr.		52	ředitel  školy	Lipník nad Bečvou VI-Loučka	53	53	A	M
7104	514772	1	1	901	1	Rostislav	Filip			51	řidič	Lipová	99	80	A	M
7104	515191	1	1	768	1	Petr	Navrátil			49	celník	Chrbov	99	768	A	M
7104	515329	1	1	902	1	Tomáš	Maňas			51	OSVČ	Malhotice	99	80	A	M
7104	515418	1	1	47	1	Milada	Vašíčková			56	starostka	Milenov	99	47	A	F
7104	515477	1	1	806	1	Zdeněk	Matyásek			35	hasič - strojník HZS ČR	Milotice nad Bečvou	99	80	A	M
7104	515787	1	1	901	1	Zdeněk	Koukal			56	dispečer osobní dopravy	Nelešovice	99	80	A	M
7104	515825	1	1	901	1	Richard	Skřenek			54	hasič ve výsluze	Oldřichov	99	80	A	M
7104	516201	1	1	902	1	Jan	Bartošík	Ing.		40	technik	Opatovice	99	80	A	M
7104	516350	1	1	1	1	Karel	Dudík			62	zemědělec	Oprostovice	1	1	A	M
