OKRES	KODZASTUP	COBVODU	POR_STR_HL	OSTRANA	PORCISLO	JMENO	PRIJMENI	POHLAVI	TITULPRED	TITULZA	VEK	POVOLANI	BYDLISTEN	PSTRANA	NSTRANA	PLATNOST
7104	569143	1	1	1	1	Jan	Hrušák	M	Ing.		57	technik	Křenovice	99	1	A
7104	569143	1	1	1	2	Marta	Daňková	F			63	důchodce	Křenovice	99	1	A
7104	569143	1	1	1	3	Emilie	Vránová	F			68	důchodce	Křenovice	99	1	A
7104	569143	1	1	1	4	Pavel	Škařupa	M			60	agronom	Křenovice	99	1	A
7104	569143	1	1	1	5	Radek	Morong	M			53	strojní mechanik	Křenovice	99	1	A
7104	569143	1	1	1	6	Romana	Odstrčilová	F			27	pracovnice pohřební služby	Křenovice	1	1	A
7104	569143	1	1	1	7	Lumír	Kučírek	M			60	zámečník	Křenovice	99	1	A
7104	569143	1	1	1	8	Ondřej	Pilát	M			32	strojník	Křenovice	99	1	A
7104	569143	1	1	1	9	Petr	Majer	M			40	prodavač	Křenovice	99	1	A
7104	569143	1	2	901	1	Jaroslav	Lejnar	M			46	starosta obce	Křenovice	99	80	A
7104	569143	1	2	901	2	Jan	Štefan	M			43	příslušník HZS ČR	Křenovice	99	80	A
7104	569143	1	2	901	3	Jaroslav	Hruška	M			59	automechanik	Křenovice	99	80	A
7104	569143	1	2	901	4	Jaroslav	Brabec	M	Ing.		48	vedoucí projektant	Křenovice	99	80	A
7104	569143	1	2	901	5	Alena	Židlíková	F	Bc.		40	učitelka odborné výuky	Křenovice	99	80	A
7104	569143	1	2	901	6	Alice	Ohlídalová	F	Bc.		36	manažerka logistiky	Křenovice	99	80	A
7104	569143	1	2	901	7	Ondřej	Vrána	M	Bc.		29	technický obchodní zástupce	Křenovice	99	80	A
7104	569143	1	2	901	8	Radek	Švrčina	M			38	příslušník Vězeňské služby ČR	Křenovice	99	80	A
7104	569143	1	2	901	9	Jiří	Kašpar	M	Bc.		43	manažer logistiky	Křenovice	99	80	A
